"Bacteroidetes"	"Firmicutes"	"Proteobacteria"	"Unclassified_Bacteria"	"Actinobacteria"	"Verrucomicrobia"	"other"
9052	2225	253	10	8	0	1
2261	6855	60	41	216	0	0
7129	5339	378	27	128	0	0
23519	2156	83	29	1	97	1
21005	1507	27	51	0	2	0
1691	449	11	18	2	68	1
170	2373	17	15	66	0	0
6765	7096	176	89	5	0	0
2406	3632	33	16	67	0	0
1980	343	54	36	4	0	0
4287	1557	100	6	6	0	1
487	1594	77	3	0	0	0
14308	1670	91	59	3	0	0
1881	1750	8	61	21	1	1
3378	2453	78	28	8	0	2
1593	943	32	18	19	0	0
679	1732	0	0	0	0	0
6739	679	323	30	4	0	0
1637	1928	11	30	0	0	0
7745	6348	78	245	34	0	54
666	1677	43	84	4	28	0
2231	158	0	4	1	0	0
2710	6043	61	19	6	0	0
435	3878	1585	143	98	0	15
1440	911	6	8	3	104	0
1755	169	616	2	0	0	0
3012	782	533	60	12	0	0
1	3081	23	2	0	0	0
2659	3475	265	45	9	0	6
19160	291	5	4	2	0	0
15393	753	249	69	7	0	2
7876	2001	916	12	2	4	0
1727	690	58	19	67	544	0
8547	3221	222	17	8	0	0
9701	2913	683	107	12	0	3
1347	2001	66	156	81	0	0
0	5207	1	0	0	0	0
5019	1608	137	122	34	51	1
3092	209	7	6	3	0	0
9883	1230	670	12	3	0	0
0	3450	309	44	0	0	0
3204	903	367	3	3	0	3
902	6747	1451	30	19	0	30
11164	2179	534	24	3	0	0
2461	568	5	3	5	0	0
6102	1524	86	22	19	3	0
2242	753	63	6	0	0	0
2513	253	1	7	4	0	0
4775	1336	61	1	1	0	0
154	2440	15	7	50	3	1
2496	196	41	1	0	0	204
2420	68	0	0	1	2	0
1448	698	46	15	12	1	0
15596	1314	1008	40	4	0	0
2723	4358	57	16	124	0	1
8821	4545	128	51	104	0	1
15536	1459	0	6	0	0	0
547	2268	344	34	10	0	6
5388	897	140	9	0	0	0
500	1561	146	27	18	20	0
6619	4334	639	108	32	0	11
11720	906	17	13	0	88	21
1051	2471	39	21	198	0	0
16966	2238	5	46	4	553	0
283	2516	63	150	41	2	0
7	2923	1	8	6	0	0
14326	2885	142	37	23	0	1
13556	3554	591	47	6	0	0
8681	1461	25	46	3	0	2
2225	363	29	59	2	18	1
0	1724	1161	113	705	0	0
31254	1324	75	27	21	0	1
3006	597	5	29	5	0	0
9129	813	339	16	3	1	1
11	3142	23	21	26	0	0
2278	187	159	4	0	0	0
9838	1517	326	34	15	0	0
10053	896	148	60	0	0	189
1613	705	106	6	1	0	0
1497	847	51	14	8	7	0
9798	3037	627	58	43	0	1
3824	427	45	18	0	0	0
5786	1613	16	17	4	0	0
1506	1115	65	38	2	49	26
8400	3277	229	1190	44	22	1
17043	1614	1163	45	12	0	465
5845	2346	109	70	7	0	32
