"feature","Sample.type","visit","mean","sd","median","incidence"
"Bacteroidetes","control",1,0.520150710130069,0.23256371904306,0.53582787143824,0.944444444444444
"Bacteroidetes","control",2,0.337579648197289,0.346404008792486,0.337579648197289,1
"Bacteroidetes","patient",1,0.741252319463963,0.239830840319294,0.824990730441231,1
"Bacteroidetes","patient",2,0.608173559872243,0.317300527301684,0.731723237597911,0.941176470588235
"Bacteroidetes","patient",3,0.58298673460944,0.364218065616044,0.765680260099878,0.928571428571429
"Bacteroidetes","patient",4,0.555324867919753,0.316836001578322,0.711360799001248,1
"Firmicutes","control",1,0.402034416338383,0.183432055131247,0.417872241672415,1
"Firmicutes","control",2,0.596047714765438,0.321762161993465,0.596047714765438,1
"Firmicutes","patient",1,0.206254005086171,0.217169854251735,0.134593993325918,1
"Firmicutes","patient",2,0.369288041075813,0.321640301184785,0.245757180156658,1
"Firmicutes","patient",3,0.379632156650009,0.363288581225567,0.205310383811734,1
"Firmicutes","patient",4,0.384727945768211,0.285895488259735,0.268081564710778,1
"Proteobacteria","control",1,0.0425111529027094,0.0735424864687947,0.0176317450558863,1
"Proteobacteria","control",2,0.0115245578631243,0.0128656288401579,0.0115245578631243,1
"Proteobacteria","patient",1,0.0300601664021914,0.0571305251602649,0.0122840690978887,0.956521739130435
"Proteobacteria","patient",2,0.0190145602748632,0.0174804651831391,0.0167869733087124,0.941176470588235
"Proteobacteria","patient",3,0.0215651047042581,0.0267913040078507,0.00913095018133786,0.928571428571429
"Proteobacteria","patient",4,0.0515127533529192,0.0716240267940534,0.0217594031706559,0.923076923076923
"Unclassified_Bacteria","control",1,0.0136356737529298,0.0114078992134674,0.0105403856118059,1
"Unclassified_Bacteria","control",2,0.0261680411442857,0.0324304557666848,0.0261680411442857,1
"Unclassified_Bacteria","patient",1,0.00858634024282161,0.0185046670800913,0.00365755377843903,0.956521739130435
"Unclassified_Bacteria","patient",2,0.00216183301417297,0.00191684430656149,0.00195822454308094,0.882352941176471
"Unclassified_Bacteria","patient",3,0.00339075434607866,0.00312201459871869,0.00241694735380794,1
"Unclassified_Bacteria","patient",4,0.00470901633631929,0.00654895711192745,0.00141489804411153,1
"Actinobacteria","control",1,0.0173358144838908,0.0449262073067482,0.00272646018947468,0.944444444444444
"Actinobacteria","control",2,0.00731710708213497,0.00863167347777852,0.00731710708213497,1
"Actinobacteria","patient",1,0.00308162057129535,0.00658023058361887,0.000741564701520208,0.869565217391304
"Actinobacteria","patient",2,0.000948051544637089,0.00200474314223816,0.00022269235051776,0.764705882352941
"Actinobacteria","patient",3,0.00482898163756155,0.00811900050815973,0.000711176964056155,0.714285714285714
"Actinobacteria","patient",4,0.00329460804967685,0.00532131818981438,0.000665834373699542,0.692307692307692
"Verrucomicrobia","control",1,0.00255046882428031,0.00511977687034069,0,0.388888888888889
"Verrucomicrobia","control",2,0.0213629309477275,0.0292859112856005,0.0213629309477275,1
"Verrucomicrobia","patient",1,0.0105567272659478,0.0368540880165932,0,0.347826086956522
"Verrucomicrobia","patient",2,0.000390293413950836,0.00111218349936529,0,0.117647058823529
"Verrucomicrobia","patient",3,0.000572674705552087,0.00184383069796791,0,0.142857142857143
"Verrucomicrobia","patient",4,2.84610403933316e-05,0.000102617740491209,0,0.0769230769230769
