"feature","Drug.Before.Diet","Sample.type.1","mean","sd","median","incidence"
"Bacteroidetes","DrugBefore_NO","control",0.503112493787887,0.247081760985002,0.537665119600143,0.947368421052632
"Bacteroidetes","DrugBefore_NO","patient.after.diet",0.462318891802291,0.337323811136004,0.617574257425743,0.894736842105263
"Bacteroidetes","DrugBefore_NO","patient.before.diet",0.6493236729231,0.320153865150672,0.789950722363473,1
"Bacteroidetes","DrugBefore_YES","control",0.478734696765976,NA,0.478734696765976,1
"Bacteroidetes","DrugBefore_YES","patient.after.diet",0.677437165642942,0.289603926975958,0.802934407364787,1
"Bacteroidetes","DrugBefore_YES","patient.before.diet",0.811966662956935,0.126955480232166,0.825370675453048,1
"Firmicutes","DrugBefore_NO","control",0.417187186758859,0.202269113854747,0.398072117101035,1
"Firmicutes","DrugBefore_NO","patient.after.diet",0.502362845089626,0.337539460443611,0.349422442244224,1
"Firmicutes","DrugBefore_NO","patient.before.diet",0.297957494811822,0.295043669198683,0.167520210948673,1
"Firmicutes","DrugBefore_YES","control",0.502158375203453,NA,0.502158375203453,1
"Firmicutes","DrugBefore_YES","patient.after.diet",0.281972645186912,0.272223307520575,0.186719263642341,1
"Firmicutes","DrugBefore_YES","patient.before.diet",0.135712859143362,0.0936925422579927,0.0910727141828654,1
"Proteobacteria","DrugBefore_NO","control",0.040831314818689,0.0719078586739461,0.0180772391125719,1
"Proteobacteria","DrugBefore_NO","patient.after.diet",0.027556573321929,0.0323649027236902,0.0129623022951599,1
"Proteobacteria","DrugBefore_NO","patient.before.diet",0.0273244422986882,0.0473339884729289,0.0119342724532655,1
"Proteobacteria","DrugBefore_YES","control",0.0124548864199278,NA,0.0124548864199278,1
"Proteobacteria","DrugBefore_YES","patient.after.diet",0.0308499956401434,0.052383952355965,0.0139550714771954,0.88
"Proteobacteria","DrugBefore_YES","patient.before.diet",0.0321645695587324,0.0655163854829697,0.0122840690978887,0.923076923076923
"Unclassified_Bacteria","DrugBefore_NO","control",0.015341052643749,0.0138827257087641,0.0118838028169014,1
"Unclassified_Bacteria","DrugBefore_NO","patient.after.diet",0.00376859125633595,0.00353107119433445,0.00259993500162496,0.947368421052632
"Unclassified_Bacteria","DrugBefore_NO","patient.before.diet",0.0147999621018658,0.0271663810363806,0.00444846431831815,1
"Unclassified_Bacteria","DrugBefore_YES","control",0.00629820961007714,NA,0.00629820961007714,1
"Unclassified_Bacteria","DrugBefore_YES","patient.after.diet",0.00295342802351237,0.00463907795488141,0.00172612197928654,0.96
"Unclassified_Bacteria","DrugBefore_YES","patient.before.diet",0.00380663112047994,0.00416438408780798,0.00225743626062323,0.923076923076923
"Actinobacteria","DrugBefore_NO","control",0.0171750022565125,0.0436517566488589,0.00272789270288702,0.947368421052632
"Actinobacteria","DrugBefore_NO","patient.after.diet",0.00222184539676465,0.00473163220396619,0.000411353352529823,0.684210526315789
"Actinobacteria","DrugBefore_NO","patient.before.diet",0.0034710099479923,0.00762440035942487,0.000817210922188675,1
"Actinobacteria","DrugBefore_YES","control",0.000353832000566131,NA,0.000353832000566131,1
"Actinobacteria","DrugBefore_YES","patient.after.diet",0.00337349845167852,0.0063330933094156,0.000417710944026733,0.76
"Actinobacteria","DrugBefore_YES","patient.before.diet",0.00278209028152846,0.00596323215055307,0.000692700666724392,0.769230769230769
"Verrucomicrobia","DrugBefore_NO","control",0.0046649631964474,0.0103269670894094,0,0.473684210526316
"Verrucomicrobia","DrugBefore_NO","patient.after.diet",0.000230598832084693,0.000696353418190715,0,0.157894736842105
"Verrucomicrobia","DrugBefore_NO","patient.before.diet",0.00666149530240099,0.012038080638996,0,0.4
"Verrucomicrobia","DrugBefore_YES","control",0,NA,0,0
"Verrucomicrobia","DrugBefore_YES","patient.after.diet",0.000425641985215903,0.00154160897745527,0,0.08
"Verrucomicrobia","DrugBefore_YES","patient.before.diet",0.0135530595455992,0.0485697460662992,0,0.307692307692308
