"Bacteroidales"	"Clostridiales"	"Lactobacillales"	"Erysipelotrichales"	"Selenomonadales"	"Enterobacteriales"	"Burkholderiales"	"Unclassified_Bacteria"	"Unclassified_Firmicutes"	"Pasteurellales"	"Bifidobacteriales"	"Verrucomicrobiales"	"Rhizobiales"	"other"
9051	1974	5	143	28	1	160	10	71	3	7	0	86	10
2260	6695	4	71	43	4	0	41	40	49	205	0	0	21
7129	5257	4	59	2	366	0	27	17	12	122	0	0	6
23514	1792	17	141	197	50	0	29	7	20	0	97	10	12
20964	1423	2	17	45	0	1	51	19	0	0	2	26	42
1691	374	0	30	32	2	9	18	13	0	0	68	0	3
168	797	503	1023	0	9	3	15	35	3	27	0	2	56
6763	6845	22	104	1	0	0	89	123	0	0	0	174	10
2406	3518	30	58	8	5	0	16	18	0	60	0	24	11
1978	251	3	68	1	36	18	36	19	0	1	0	0	6
4286	569	74	60	773	84	0	6	80	11	3	0	4	7
487	1546	3	6	14	2	32	3	17	15	0	0	28	8
14308	455	1174	25	1	0	14	59	14	0	0	0	69	12
1880	1694	11	33	2	0	6	61	9	0	20	1	0	6
3378	2334	16	74	9	16	6	28	13	0	2	0	40	31
1591	753	8	22	156	1	27	18	1	2	3	0	0	23
679	4	1713	15	0	0	0	0	0	0	0	0	0	0
6737	632	5	19	16	2	287	30	7	9	3	0	21	7
1637	1805	28	5	35	0	0	30	55	10	0	0	0	1
7742	3091	1104	13	2116	6	48	245	22	23	23	0	1	70
666	1647	0	10	2	0	13	84	17	8	4	28	21	2
2231	142	0	15	0	0	0	4	1	0	0	0	0	1
2710	5502	72	301	117	43	0	19	43	0	3	0	15	14
425	3739	47	67	1	510	0	143	22	1070	92	0	3	35
1439	788	8	27	65	3	0	8	21	0	1	104	0	8
1755	127	2	30	9	605	0	2	0	1	0	0	0	11
3012	732	1	4	0	2	512	60	45	2	3	0	5	21
1	2235	2	760	11	18	2	2	66	2	0	0	0	8
2656	3227	9	65	11	0	166	45	162	4	0	0	57	57
19160	217	69	5	0	0	0	4	0	0	1	0	2	4
15389	714	3	24	5	0	220	69	5	9	1	0	13	21
7876	1660	5	16	311	0	900	12	9	1	2	4	0	15
1726	535	15	75	55	0	16	19	9	1	65	544	37	8
8547	3075	3	8	124	1	116	17	10	88	8	0	11	7
9701	2623	4	64	208	0	524	107	13	3	12	0	150	10
1347	1951	1	9	4	0	15	156	36	6	44	0	45	37
0	0	5207	0	0	0	0	0	0	1	0	0	0	0
5010	1570	6	9	4	2	9	122	19	0	26	51	75	69
3092	173	11	20	1	0	6	6	2	0	1	0	1	4
9882	1076	11	69	45	241	409	12	29	12	2	0	7	3
0	2687	6	171	325	220	0	44	250	76	0	0	0	24
3204	883	2	14	1	317	1	3	3	1	1	0	0	53
902	5916	213	436	160	1342	1	30	18	76	11	0	11	63
11164	2073	1	67	0	0	468	24	38	29	1	0	34	5
2461	525	0	1	37	1	0	3	4	4	5	0	0	1
6101	1456	0	16	24	0	17	22	28	1	17	3	68	3
2242	651	0	30	71	62	0	6	1	0	0	0	0	1
2513	245	0	4	2	0	0	7	2	0	4	0	0	1
4749	741	22	6	312	3	38	1	156	15	0	0	1	130
154	2130	24	102	105	11	1	7	79	0	21	3	0	33
2490	188	1	3	0	0	0	1	4	41	0	0	0	210
2420	63	4	0	0	0	0	0	0	0	0	2	0	2
1447	614	2	9	50	22	4	15	22	0	0	1	19	15
15596	1262	9	16	9	4	1004	40	14	0	4	0	0	4
2723	4105	7	236	2	16	0	16	5	36	124	0	0	9
8820	4302	5	188	21	9	83	51	28	13	81	0	20	29
15535	1218	1	238	0	0	0	6	2	0	0	0	0	1
547	1885	37	296	27	22	0	34	20	319	0	0	1	21
5388	791	1	19	86	113	21	9	0	1	0	0	0	5
498	1424	2	115	2	1	0	27	18	0	16	20	0	149
6619	3552	20	680	43	1	396	108	33	1	15	0	175	100
11712	685	16	50	145	4	0	13	10	0	0	88	0	42
1050	594	1034	0	837	8	6	21	4	10	185	0	4	27
16966	1980	3	234	10	0	3	46	11	0	1	553	0	5
282	2421	24	17	3	17	0	150	51	30	40	2	15	3
7	2392	196	292	0	0	0	8	3	0	0	0	0	47
14321	2616	5	41	197	0	31	37	26	11	14	0	99	16
13555	3411	5	48	82	0	355	47	7	2	5	0	216	21
8680	1443	9	4	4	1	0	46	1	12	2	0	4	12
2225	349	4	7	1	0	20	59	2	0	0	18	0	12
0	1219	253	0	84	1141	0	113	167	16	704	0	1	5
31248	953	75	101	192	57	0	27	2	0	17	0	2	28
3006	570	0	18	8	4	0	29	1	0	2	0	0	4
9125	596	1	89	121	3	318	16	6	0	0	1	2	24
9	2865	26	4	228	1	0	21	18	18	25	0	0	8
2278	185	1	0	1	0	152	4	0	0	0	0	5	2
9836	1463	1	35	2	2	143	34	13	1	15	0	180	5
9960	774	1	52	47	17	113	60	22	0	0	0	6	294
1613	193	4	0	508	0	105	6	0	0	0	0	0	2
1497	725	1	40	7	1	45	14	74	4	4	7	1	4
9797	2721	19	76	207	0	484	58	11	0	33	0	103	55
3824	349	0	12	29	5	0	18	37	0	0	0	0	40
5786	1441	1	106	8	0	0	17	56	0	2	0	16	3
1503	1052	1	21	34	1	6	38	4	1	1	49	54	36
8393	3110	19	83	31	0	216	1190	19	0	43	22	0	37
17043	1217	11	36	304	64	0	45	41	1070	4	0	0	507
5845	2091	3	138	17	31	64	70	97	0	2	0	7	44
