"feature","Sample.type","visit","mean","sd","median","incidence"
"Bacteroidales","control",1,0.519388227549499,0.231791101823343,0.535188928664473,0.944444444444444
"Bacteroidales","control",2,0.337213716704008,0.346349421208146,0.337213716704008,1
"Bacteroidales","patient",1,0.740991619904356,0.239865526917835,0.824990730441231,1
"Bacteroidales","patient",2,0.607849002970738,0.317209759400509,0.731723237597911,0.941176470588235
"Bacteroidales","patient",3,0.582777204983784,0.364060070567662,0.765643397817365,0.928571428571429
"Bacteroidales","patient",4,0.555181232961119,0.317018528644056,0.711360799001248,1
"Clostridiales","control",1,0.334746137869647,0.173835805475287,0.308821453603877,1
"Clostridiales","control",2,0.555620792483011,0.334957282616285,0.555620792483011,1
"Clostridiales","patient",1,0.15727984812943,0.143409718656136,0.103847745138602,1
"Clostridiales","patient",2,0.223102860992746,0.263654117618559,0.124722932651321,0.941176470588235
"Clostridiales","patient",3,0.330068789777446,0.31041669078065,0.186594183931593,1
"Clostridiales","patient",4,0.339733325950677,0.234385087846974,0.255930087390762,1
"Lactobacillales","control",1,0.0238796927707838,0.0664402235679678,0.00087043344403772,0.888888888888889
"Lactobacillales","control",2,0.00554610988405659,0.00326664089614302,0.00554610988405659,1
"Lactobacillales","patient",1,0.0134357190571086,0.0415706007104439,0.000786782061369001,0.869565217391304
"Lactobacillales","patient",2,0.103056996387331,0.287682750238719,0.001388246182323,0.941176470588235
"Lactobacillales","patient",3,0.00595214978368144,0.0175908679483044,0.000736557269404824,0.785714285714286
"Lactobacillales","patient",4,0.00282481139719475,0.00385091453120314,0.000462491906391638,1
"Erysipelotrichales","control",1,0.00992739599371359,0.0166163266500631,0.00402542830600385,0.888888888888889
"Erysipelotrichales","control",2,0.00824348910746349,0.00378845325896706,0.00824348910746349,1
"Erysipelotrichales","patient",1,0.0264272890442619,0.0794430587018678,0.00844529750479846,0.91304347826087
"Erysipelotrichales","patient",2,0.00583069051131528,0.00855254461676002,0.002776492364646,0.882352941176471
"Erysipelotrichales","patient",3,0.0190152140995407,0.0273993873311402,0.00605705652502166,1
"Erysipelotrichales","patient",4,0.0302434624708395,0.0688781736053235,0.00453811245288824,1
"Selenomonadales","control",1,0.0252263583406894,0.0595107014134602,0.00239871427669161,0.944444444444444
"Selenomonadales","control",2,0.0136382475542773,0.0178986415691872,0.0136382475542773,1
"Selenomonadales","patient",1,0.00614228795150503,0.0130033991548841,0.00151336808474861,0.91304347826087
"Selenomonadales","patient",2,0.0305337784238832,0.0575852074856443,0.00461867748113101,0.764705882352941
"Selenomonadales","patient",3,0.0139931241773632,0.0230823210155466,0.00564038222672936,0.785714285714286
"Selenomonadales","patient",4,0.00748655132246587,0.00835734415886391,0.00587120053819338,0.923076923076923
"Enterobacteriales","control",1,0.0180194458512939,0.0724385118212497,0.000321938542152493,0.611111111111111
"Enterobacteriales","control",2,0.00338912017542466,0.00307666112148486,0.00338912017542466,1
"Enterobacteriales","patient",1,0.0177481588287819,0.0568163803431699,0,0.478260869565217
"Enterobacteriales","patient",2,0.00257398078718624,0.00572553298587564,0.00022269235051776,0.647058823529412
"Enterobacteriales","patient",3,0.00668943475416366,0.0156508254334717,0.000791530202932809,0.714285714285714
"Enterobacteriales","patient",4,0.016506687882882,0.0281531126879356,0.00174301265977616,0.692307692307692
"Burkholderiales","control",1,0.0120484647761796,0.0275947196912611,0.00216697178989527,0.833333333333333
"Burkholderiales","control",2,0,0,0,0
"Burkholderiales","patient",1,0.00907665736963706,0.0145732638740079,0.00180886343081097,0.782608695652174
"Burkholderiales","patient",2,0.0120271103829421,0.0173457642129018,0,0.470588235294118
"Burkholderiales","patient",3,0.00559535764941079,0.0126940366483523,0,0.285714285714286
"Burkholderiales","patient",4,0.0104679180142269,0.0243840391596527,0,0.461538461538462
"Unclassified_Bacteria","control",1,0.0136356737529298,0.0114078992134674,0.0105403856118059,1
"Unclassified_Bacteria","control",2,0.0261680411442857,0.0324304557666848,0.0261680411442857,1
"Unclassified_Bacteria","patient",1,0.00858634024282161,0.0185046670800913,0.00365755377843903,0.956521739130435
"Unclassified_Bacteria","patient",2,0.00216183301417297,0.00191684430656149,0.00195822454308094,0.882352941176471
"Unclassified_Bacteria","patient",3,0.00339075434607866,0.00312201459871869,0.00241694735380794,1
"Unclassified_Bacteria","patient",4,0.00470901633631929,0.00654895711192745,0.00141489804411153,1
"Unclassified_Firmicutes","control",1,0.00803613058151371,0.0109414304506678,0.00321014654709419,1
"Unclassified_Firmicutes","control",2,0.0125945449922934,0.00579742617422861,0.0125945449922934,1
"Unclassified_Firmicutes","patient",1,0.00242860945308373,0.00339607512550795,0.00084100566572238,0.869565217391304
"Unclassified_Firmicutes","patient",2,0.00548534836806237,0.00923860093549762,0.000779423226812159,0.764705882352941
"Unclassified_Firmicutes","patient",3,0.00932468851922525,0.0180188537389994,0.00168850237521099,1
"Unclassified_Firmicutes","patient",4,0.0041550892910904,0.00660875973471268,0.000968775616662941,0.923076923076923
"Pasteurellales","control",1,0.00092344564899607,0.001278907297288,0.000405832067737312,0.666666666666667
