"feature","Drug.Before.Diet","Sample.type.1","mean","sd","median","incidence"
"Bacteroidales","DrugBefore_NO","control",0.502359071859644,0.246364667771564,0.536594073545162,0.947368421052632
"Bacteroidales","DrugBefore_NO","patient.after.diet",0.462083263142501,0.33709599600526,0.617574257425743,0.894736842105263
"Bacteroidales","DrugBefore_NO","patient.before.diet",0.64914475903477,0.320266322067798,0.789950722363473,1
"Bacteroidales","DrugBefore_YES","control",0.478593163965749,NA,0.478593163965749,1
"Bacteroidales","DrugBefore_YES","patient.after.diet",0.677203517962502,0.289717937935698,0.802934407364787,1
"Bacteroidales","DrugBefore_YES","patient.before.diet",0.8116430513425,0.126950163505773,0.825370675453048,1
"Clostridiales","DrugBefore_NO","control",0.350119792518138,0.196723575246273,0.315164835164835,1
"Clostridiales","DrugBefore_NO","patient.after.diet",0.365526909362624,0.289508286838963,0.255930087390762,0.947368421052632
"Clostridiales","DrugBefore_NO","patient.before.diet",0.212417254226936,0.191196211341253,0.148183663064781,1
"Clostridiales","DrugBefore_YES","control",0.484396008775034,NA,0.484396008775034,1
"Clostridiales","DrugBefore_YES","patient.after.diet",0.235409346129195,0.246919944724591,0.149093785960875,1
"Clostridiales","DrugBefore_YES","patient.before.diet",0.114866458823657,0.0761953321058296,0.0881929445644348,1
"Lactobacillales","DrugBefore_NO","control",0.0231247278336701,0.0646430065829354,0.000880281690140845,0.894736842105263
"Lactobacillales","DrugBefore_NO","patient.after.diet",0.0591402005947001,0.228286572439145,0.00157770181435709,0.947368421052632
"Lactobacillales","DrugBefore_NO","patient.before.diet",0.0293036050793179,0.0610414870443972,0.00146328467417082,0.9
"Lactobacillales","DrugBefore_YES","control",0.00155686080249098,NA,0.00155686080249098,1
"Lactobacillales","DrugBefore_YES","patient.after.diet",0.0299343108968157,0.141805902434031,0.00044612982377872,0.88
"Lactobacillales","DrugBefore_YES","patient.before.diet",0.00122965288617844,0.0015603299367675,0.000432937916702745,0.846153846153846
"Erysipelotrichales","DrugBefore_NO","control",0.00988528423631559,0.0161711952887534,0.00405405405405405,0.894736842105263
"Erysipelotrichales","DrugBefore_NO","patient.after.diet",0.030726342153112,0.0598480012213244,0.00278164116828929,0.894736842105263
"Erysipelotrichales","DrugBefore_NO","patient.before.diet",0.0486851632623643,0.119780831794338,0.00905828853365524,1
"Erysipelotrichales","DrugBefore_YES","control",0.00735970561177553,NA,0.00735970561177553,1
"Erysipelotrichales","DrugBefore_YES","patient.after.diet",0.00698796989190856,0.00856345074714381,0.00476935688203294,1
"Erysipelotrichales","DrugBefore_YES","patient.before.diet",0.00930584733802931,0.00891797377727786,0.00844529750479846,0.846153846153846
"Selenomonadales","DrugBefore_NO","control",0.0253305357284659,0.0578128306058908,0.00309437854564208,0.947368421052632
"Selenomonadales","DrugBefore_NO","patient.after.diet",0.0320812525381755,0.0546660711404725,0.0084138360860081,0.894736842105263
"Selenomonadales","DrugBefore_NO","patient.before.diet",0.00388841854926006,0.00640560892391959,0.0010090563419907,0.9
"Selenomonadales","DrugBefore_YES","control",7.07664001132262e-05,NA,7.07664001132262e-05,1
"Selenomonadales","DrugBefore_YES","patient.after.diet",0.00811037362623289,0.014649201766451,0.00381420579759281,0.76
"Selenomonadales","DrugBefore_YES","patient.before.diet",0.00787603364553962,0.0164842917729707,0.00199185552407932,0.923076923076923
"Enterobacteriales","DrugBefore_NO","control",0.0174278034565336,0.0704394749699678,0.000413678985107557,0.684210526315789
"Enterobacteriales","DrugBefore_NO","patient.after.diet",0.00523833309068512,0.0132251880903302,0.0008124796880078,0.736842105263158
"Enterobacteriales","DrugBefore_NO","patient.before.diet",0.0153451614214688,0.045995624358475,0.000128617363344051,0.5
