"Bacteroides"	"Prevotella"	"Unclassified_Lachnospiraceae"	"Faecalibacterium"	"Lachnospiracea_incertae_sedis"	"Parabacteroides"	"Alistipes"	"Blautia"	"Ruminococcus"	"Unclassified_Clostridiales"	"Lactobacillus"	"Unclassified_Ruminococcaceae"	"Roseburia"	"Clostridium_XI"	"Enterococcus"	"Erysipelotrichaceae_incertae_sedis"	"Megamonas"	"Sutterella"	"Escherichia_Shigella"	"Unclassified_Bacteria"	"Clostridium_IV"	"Clostridium_XlVa"	"Unclassified_Firmicutes"	"Haemophilus"	"Bifidobacterium"	"Dorea"	"Unclassified_Bacteroidales"	"Clostridium_XVIII"	"Akkermansia"	"Veillonella"	"Streptococcus"	"Clostridium_sensu_stricto"	"Unclassified_Clostridiaceae_1"	"Klebsiella"	"Gemmiger"	"Barnesiella"	"Unclassified_Enterobacteriaceae"	"Phascolarctobacterium"	"Oscillibacter"	"Turicibacter"	"Flavonifractor"	"Unclassified_Lactobacillales"	"Odoribacter"	"Unclassified_Burkholderiales"	"Coprococcus"	"Fusobacterium"	"Unclassified_Prevotellaceae"	"Parasutterella"	"Butyricicoccus"	"Unclassified_Alphaproteobacteria"	"Anaerovorax"	"Catenibacterium"	"Coprobacillus"	"Dialister"	"Paraprevotella"	"Cellulosilyticum"	"Collinsella"	"Acidaminococcus"	"Unclassified_Bacteroidetes"	"Clostridium_XlVb"	"Unclassified_Proteobacteria"	"Holdemania"	"Unclassified_Bacilli"	"Unclassified_Fusobacteriaceae"	"Weissella"	"Unclassified_Acidaminococcaceae"	"Campylobacter"	"Eggerthella"	"Unclassified_Veillonellaceae"	"Pseudoflavonifractor"	"Unclassified_Bacillales"	"Megasphaera"	"Porphyromonas"	"Brachyspira"	"Unclassified_Erysipelotrichaceae"	"Butyricimonas"	"Anaerobacter"	"TM7_genus_incertae_sedis"	"Bilophila"	"Acetobacterium"	"Unclassified_Selenomonadales"	"Subdoligranulum"	"Unclassified_Actinomycetales"	"Unclassified_Desulfovibrionaceae"	"Soehngenia"	"Unclassified_Porphyromonadaceae"	"Unclassified_Clostridia"	"Clostridium_III"	"Enterobacter"	"Rothia"	"Anaerotruncus"	"Lactococcus"	"Gemella"	"Moraxella"	"Desulfovibrio"	"Peptoniphilus"	"Eubacterium"	"Hespellia"	"Granulicatella"	"Anaerostipes"	"Pseudomonas"	"Finegoldia"	"Allisonella"	"Anaerococcus"	"Unclassified_Pasteurellaceae"	"Parvimonas"	"Corynebacterium"	"Staphylococcus"	"Anaerofustis"	"Victivallis"	"Cloacibacterium"	"Unclassified_Desulfovibrionales"	"Acidovorax"	"Howardella"	"Unclassified_Peptostreptococcaceae"	"Unclassified_Actinobacteria"	"Asaccharobacter"	"Pasteurella"	"Pseudobutyrivibrio"	"Unclassified_Gammaproteobacteria"	"Atopobium"	"Mogibacterium"	"Unclassified_Coriobacteriaceae"	"Abiotrophia"	"Unclassified_Pseudomonadaceae"	"Brevundimonas"	"Unclassified_Clostridiales_Incertae_Sedis_XI"	"Solobacterium"	"Unclassified_Betaproteobacteria"	"Succinivibrio"	"Rhizobium"	"Gordonibacter"	"Leuconostoc"	"Erysipelothrix"	"Unclassified_Corynebacteriaceae"	"Streptophyta"	"Porphyrobacter"	"Unclassified_Succinivibrionaceae"	"Clostridium_XIX"	"Scardovia"	"Unclassified_Flavobacteriales"	"Filifactor"	"Slackia"	"Murdochiella"	"Sphingopyxis"	"Unclassified_Rikenellaceae"	"Citrobacter"	"Sarcina"	"Catonella"	"Diaphorobacter"	"Unclassified_Phyllobacteriaceae"	"Aggregatibacter"	"Anaerofilum"	"Unclassified_Peptococcaceae_1"	"Acinetobacter"	"Syntrophococcus"
8933	3	523	119	270	0	113	367	55	89	0	139	69	10	0	14	0	0	0	10	33	76	71	3	7	11	2	120	0	1	5	135	1	0	86	0	0	0	0	1	63	0	0	0	0	0	0	160	6	0	1	0	0	19	0	0	0	0	1	1	0	0	0	0	0	0	3	1	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2230	0	2459	1279	1192	0	27	252	63	255	0	35	499	240	0	66	0	0	3	41	5	281	40	44	205	46	0	5	0	42	4	15	9	0	0	0	1	0	11	0	16	0	0	0	5	0	0	0	23	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	7	2	0	0	0	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	0	2	0	2	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7046	1	1701	1054	1062	0	81	242	34	164	0	33	406	138	0	44	0	0	341	27	15	254	17	12	122	27	1	12	0	0	4	0	0	3	0	0	22	0	14	1	25	0	0	0	3	0	0	0	81	0	0	0	2	1	0	1	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22205	9	114	878	167	3	1150	247	6	16	0	224	14	28	0	32	0	0	1	29	41	11	7	20	0	2	75	12	97	12	11	1	8	2	10	1	47	101	0	0	19	0	0	0	0	0	6	0	3	0	0	0	96	1	63	0	0	0	5	0	0	1	1	0	0	1	0	1	1	7	1	81	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	0	3	6	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19596	3	237	201	26	6	1268	71	95	38	0	495	85	0	0	14	0	1	0	51	33	64	19	0	0	16	82	2	2	0	2	0	0	0	26	0	0	33	31	0	18	0	0	0	3	0	2	0	1	0	0	0	0	0	7	0	0	0	41	0	0	1	0	0	0	0	0	0	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
962	37	25	9	11	68	556	6	18	18	0	22	6	92	0	0	0	9	1	18	16	2	13	0	0	10	1	4	68	0	0	63	6	1	0	27	0	31	7	25	19	0	39	0	7	0	0	0	1	0	32	0	0	1	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	49	163	177	50	7	0	125	5	64	14	18	55	92	2	1018	0	3	7	15	0	20	35	3	27	16	5	4	0	0	41	0	0	0	2	0	2	0	0	0	7	392	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	12	0	54	0	0	21	0	0	1	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	13	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5822	2	714	530	480	29	907	347	3002	237	1	805	89	139	0	7	0	0	0	89	311	65	123	0	0	75	1	23	0	1	21	0	0	0	174	0	0	0	19	72	11	0	0	0	2	0	0	0	0	2	3	0	0	0	0	0	0	0	2	3	0	1	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	2	0	0	0	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
2394	0	974	1122	503	11	0	154	5	149	4	71	310	135	0	14	0	0	4	16	2	28	18	0	60	12	0	24	0	1	26	0	0	0	24	0	1	0	3	0	17	0	0	0	0	0	0	0	30	0	0	0	0	7	0	0	0	0	0	1	4	6	0	0	0	0	0	6	0	0	0	0	1	0	14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1965	1	71	1	30	0	0	3	33	18	0	26	5	4	0	11	0	0	35	36	32	6	19	0	1	0	8	4	0	0	3	0	0	0	0	0	1	0	3	0	6	0	0	18	0	0	0	0	0	0	0	0	53	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	1	8	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
