"feature","Sample.type.Drug.Before","visit","mean","sd","median","incidence"
"N_0","1",1,38.9590277777778,8.19177201700552,38.515,1
"N_0","1",2,43.30125,0.15026019100214,43.30125,1
"N_0","patient FALSE .",1,36.44975,8.00929836797345,35.89125,1
"N_0","patient FALSE .",2,28.6860714285714,13.3227690328393,31.3825,1
"N_0","patient FALSE .",3,33.7508333333333,7.05272033804451,34.86875,1
"N_0","patient FALSE .",4,34.0925,6.335895556273,31.9025,1
"N_0","patient TRUE .",1,28.8667307692308,7.93343730573163,27.095,1
"N_0","patient TRUE .",2,25.81,8.34324668685865,27.90875,1
"N_0","patient TRUE .",3,30.4515625,6.48183119208442,31.87625,1
"N_0","patient TRUE .",4,28.6210714285714,6.8060677366387,28.5775,1
"N_0.25","1",1,24.4178608642569,5.80380462721454,24.5793343504983,1
"N_0.25","1",2,28.2773115506547,2.08467600128517,28.2773115506547,1
"N_0.25","patient FALSE .",1,21.4006894847978,7.1495573193564,19.3370534628563,1
"N_0.25","patient FALSE .",2,17.0670370295704,8.61151379955266,17.4728602722386,1
"N_0.25","patient FALSE .",3,21.3690940501783,5.47904085806858,21.4454469162365,1
"N_0.25","patient FALSE .",4,20.8431126396849,4.32636890447167,19.7787518720541,1
"N_0.25","patient TRUE .",1,15.6842009465397,6.05029709044027,14.6257339149869,1
"N_0.25","patient TRUE .",2,14.1724056996163,5.789983105171,14.9888436894265,1
"N_0.25","patient TRUE .",3,17.0934215169976,5.11686827941283,17.4972745453626,1
"N_0.25","patient TRUE .",4,16.0875315816216,5.37146202556838,17.4656118501198,1
"N_0.5","1",1,15.6584324266134,4.68051310215487,15.5118104877895,1
"N_0.5","1",2,19.418383991795,3.36945727960533,19.418383991795,1
"N_0.5","patient FALSE .",1,12.7862460584901,6.05163695415635,10.321469729414,1
"N_0.5","patient FALSE .",2,10.4032061616552,5.75361339243333,9.75198868735516,1
"N_0.5","patient FALSE .",3,14.0297871736885,5.00061119485274,14.2760834653886,1
"N_0.5","patient FALSE .",4,13.4049089255944,3.64546475884219,12.9733390669689,1
"N_0.5","patient TRUE .",1,8.5956197879651,4.20335287442812,7.92855478926466,1
"N_0.5","patient TRUE .",2,8.12357564973526,4.06815375447095,8.34147466134182,1
"N_0.5","patient TRUE .",3,9.86898095846032,4.15165472385185,9.74278007383585,1
"N_0.5","patient TRUE .",4,9.32613268299597,4.23129493028296,10.0023434950859,1
"N_1","1",1,8.07316117120871,3.42517385595272,8.38836935289729,1
"N_1","1",2,11.5691820095648,4.04715109039488,11.5691820095648,1
"N_1","patient FALSE .",1,6.12660221470342,4.0237770177029,4.43613827255435,1
"N_1","patient FALSE .",2,5.05962126298763,3.06590521583488,4.20397626323219,1
"N_1","patient FALSE .",3,7.71186760015995,4.26949024159771,6.89333579821836,1
"N_1","patient FALSE .",4,7.45885209548505,3.24489967722271,7.32958456864518,1
"N_1","patient TRUE .",1,3.69052768743794,1.94774210055059,3.17574789364018,1
"N_1","patient TRUE .",2,3.99836410390056,2.54180646867296,3.43721312980489,1
"N_1","patient TRUE .",3,4.77195078108268,2.82068715188953,4.45615272015264,1
"N_1","patient TRUE .",4,4.44651520804216,2.67234198803623,3.75957138772295,1
"N_2","1",1,4.53870478097424,2.30083733181536,4.11323207490358,1
"N_2","1",2,7.28068802753833,3.63538762852923,7.28068802753833,1
"N_2","patient FALSE .",1,3.4696921576314,2.45090209301752,2.64755216203778,1
"N_2","patient FALSE .",2,2.83131979543696,1.5122370409771,2.23491496780653,1
"N_2","patient FALSE .",3,4.59007573756515,2.90754300732075,3.89546111760131,1
"N_2","patient FALSE .",4,4.75248468768231,2.64600058979213,4.35081132534512,1
"N_2","patient TRUE .",1,2.11428691662967,0.900558449187401,1.65980310234845,1
"N_2","patient TRUE .",2,2.61282739646333,1.79612004466214,1.94529544877668,1
"N_2","patient TRUE .",3,2.8890741804085,1.83411113093332,2.31610326690184,1
"N_2","patient TRUE .",4,2.62591748314145,1.61090036196578,2.24518431622338,1
"N_4","1",1,3.37958576187928,1.71668925153207,3.07591455609843,1
"N_4","1",2,5.2441121998465,2.79632726509649,5.2441121998465,1
"N_4","patient FALSE .",1,2.64287574335908,1.71409285259377,2.22108855461944,1
"N_4","patient FALSE .",2,2.16147561501432,0.971885357417281,1.76121053008027,1
"N_4","patient FALSE .",3,3.32104540555239,1.83261931663527,2.97543819720581,1
"N_4","patient FALSE .",4,3.66985460883436,2.12650937629478,3.15328402960054,1
"N_4","patient TRUE .",1,1.72121324751586,0.601371375353675,1.40925604167736,1
"N_4","patient TRUE .",2,2.18870800717247,1.42608130643706,1.59252339542082,1
"N_4","patient TRUE .",3,2.28179289188231,1.35221601843087,1.82038850725801,1
"N_4","patient TRUE .",4,2.05732982496871,1.03896892028588,1.74297550442208,1
"N_8","1",1,2.97679025844017,1.46168962576214,2.64661399342698,1
"N_8","1",2,4.27842210830996,2.12725101642599,4.27842210830996,1
"N_8","patient FALSE .",1,2.33277143581973,1.3461581322846,2.08773968039277,1
"N_8","patient FALSE .",2,1.93670027850723,0.772798288205086,1.62506201057703,1
"N_8","patient FALSE .",3,2.82371155254566,1.37573567395476,2.61436719085319,1
"N_8","patient FALSE .",4,3.15879311701057,1.73027376341069,2.70761544429975,1
"N_8","patient TRUE .",1,1.59231543533377,0.49186143645952,1.34184332538067,1
"N_8","patient TRUE .",2,1.99025616768823,1.17754414617156,1.49013137535789,1
"N_8","patient TRUE .",3,2.05900601782927,1.14237492741081,1.67259569682149,1
"N_8","patient TRUE .",4,1.85445890277155,0.804019358372907,1.60997005150108,1
"N_Inf","1",1,2.6353879469119,1.19595040823791,2.34395342762067,1
"N_Inf","1",2,3.54792156199238,1.56393047870565,3.54792156199238,1
"N_Inf","patient FALSE .",1,2.08882820841323,1.0345952809397,1.90007291526416,1
"N_Inf","patient FALSE .",2,1.77143900513568,0.618740408107807,1.52934724628722,1
"N_Inf","patient FALSE .",3,2.45595631754361,1.0579664060287,2.31796821046487,1
"N_Inf","patient FALSE .",4,2.71152278121264,1.3198096755709,2.39014657663009,1
"N_Inf","patient TRUE .",1,1.49597609738669,0.405025765843851,1.29340698702886,1
"N_Inf","patient TRUE .",2,1.8052690101509,0.921216209017739,1.41764562883161,1
"N_Inf","patient TRUE .",3,1.88033336426245,0.944546395309709,1.56836865871408,1
"N_Inf","patient TRUE .",4,1.70435459882947,0.6347621988339,1.51690845145797,1
