"feature","Drug.Before.Diet","Sample.type.1","mean","sd","median","incidence"
"N_0","DrugBefore_NO","control",39.9336842105263,7.68751623161886,39.735,1
"N_0","DrugBefore_NO","patient.after.diet",31.9927631578947,9.5333826810617,31.8125,1
"N_0","DrugBefore_NO","patient.before.diet",36.44975,8.00929836797345,35.89125,1
"N_0","DrugBefore_YES","control",29.125,NA,29.125,1
"N_0","DrugBefore_YES","patient.after.diet",28.0824,7.35157244659263,28.5775,1
"N_0","DrugBefore_YES","patient.before.diet",28.8667307692308,7.93343730573163,27.095,1
"N_0.25","DrugBefore_NO","control",25.1045827784243,5.62440460933161,26.8032230135691,1
"N_0.25","DrugBefore_NO","patient.after.diet",19.6180262813774,6.50466104363483,20.7819541284309,1
"N_0.25","DrugBefore_NO","patient.before.diet",21.4006894847978,7.1495573193564,19.3370534628563,1
"N_0.25","DrugBefore_YES","control",19.089045867873,NA,19.089045867873,1
"N_0.25","DrugBefore_YES","patient.after.diet",15.6433660081398,5.39269051362424,15.4760036133457,1
"N_0.25","DrugBefore_YES","patient.before.diet",15.6842009465397,6.05029709044027,14.6257339149869,1
"N_0.5","DrugBefore_NO","control",16.1862837664813,4.71675383829906,17.0358179004677,1
"N_0.5","DrugBefore_NO","patient.after.diet",12.4963484066991,4.94318971349742,12.6357066436059,1
"N_0.5","DrugBefore_NO","patient.before.diet",12.7862460584901,6.05163695415635,10.321469729414,1
"N_0.5","DrugBefore_YES","control",13.1491600994875,NA,13.1491600994875,1
"N_0.5","DrugBefore_YES","patient.after.diet",9.01882131784028,4.03878888292405,9.0179114894604,1
"N_0.5","DrugBefore_YES","patient.before.diet",8.5956197879651,4.20335287442812,7.92855478926466,1
"N_1","DrugBefore_NO","control",8.46890898475318,3.62867446927384,8.50558881256319,1
"N_1","DrugBefore_NO","patient.after.diet",6.65482457972545,3.56357942288367,5.34858572204763,1
"N_1","DrugBefore_NO","patient.before.diet",6.12660221470342,4.0237770177029,4.43613827255435,1
"N_1","DrugBefore_YES","control",7.54599439057591,NA,7.54599439057591,1
"N_1","DrugBefore_YES","patient.after.diet",4.37139414975849,2.57717549420027,3.82250029786756,1
"N_1","DrugBefore_YES","patient.before.diet",3.69052768743794,1.94774210055059,3.17574789364018,1
"N_2","DrugBefore_NO","control",4.83626693713933,2.54446408048794,4.59272692165134,1
"N_2","DrugBefore_NO","patient.after.diet",3.99340005892334,2.42719767905428,2.85704284825865,1
"N_2","DrugBefore_NO","patient.before.diet",3.4696921576314,2.45090209301752,2.64755216203778,1
"N_2","DrugBefore_YES","control",4.36899030696579,NA,4.36899030696579,1
"N_2","DrugBefore_YES","patient.after.diet",2.70489159159566,1.69006869451102,1.976947167711,1
"N_2","DrugBefore_YES","patient.before.diet",2.11428691662967,0.900558449187401,1.65980310234845,1
"N_4","DrugBefore_NO","control",3.58572369380333,1.88604807045419,3.1941445734431,1
"N_4","DrugBefore_NO","patient.after.diet",3.0039857574432,1.72082437593449,2.35647139753657,1
"N_4","DrugBefore_NO","patient.before.diet",2.64287574335908,1.71409285259377,2.22108855461944,1
"N_4","DrugBefore_YES","control",3.19201793125675,NA,3.19201793125675,1
"N_4","DrugBefore_YES","patient.after.diet",2.18170927926257,1.25446605605644,1.61318167491166,1
"N_4","DrugBefore_YES","patient.before.diet",1.72121324751586,0.601371375353675,1.40925604167736,1
"N_8","DrugBefore_NO","control",3.12536086415961,1.55933040651251,2.77422848930917,1
"N_8","DrugBefore_NO","patient.after.diet",2.602733156152,1.35951760683697,2.13761817529458,1
"N_8","DrugBefore_NO","patient.before.diet",2.33277143581973,1.3461581322846,2.08773968039277,1
"N_8","DrugBefore_YES","control",2.75721244951053,NA,2.75721244951053,1
"N_8","DrugBefore_YES","patient.after.diet",1.97423288555669,1.03388019165917,1.50809815779558,1
"N_8","DrugBefore_YES","patient.before.diet",1.59231543533377,0.49186143645952,1.34184332538067,1
"N_Inf","DrugBefore_NO","control",2.74222967076255,1.2509437945184,2.44205571519529,1
"N_Inf","DrugBefore_NO","patient.after.diet",2.28447092781512,1.04658402162922,1.94627632873095,1
"N_Inf","DrugBefore_NO","patient.before.diet",2.08882820841323,1.0345952809397,1.90007291526416,1
"N_Inf","DrugBefore_YES","control",2.43046242391057,NA,2.43046242391057,1
"N_Inf","DrugBefore_YES","patient.after.diet",1.8010335682966,0.827052550003907,1.43258793719186,1
"N_Inf","DrugBefore_YES","patient.before.diet",1.49597609738669,0.405025765843851,1.29340698702886,1
