"feature","Sample.type","visit","mean","sd","median","incidence"
"2161","control",1,38.9772542215257,8.18818690393039,38.612610275576,1
"2161","control",2,43.2638549335953,0.20499310005929,43.2638549335953,1
"2161","patient",1,32.1554109628142,8.65102421491232,33.1649385780149,1
"2161","patient",2,26.992640707321,10.4242857380522,28.2278462444238,1
"2161","patient",3,31.8557505674091,6.6789442176013,32.1924087877364,1
"2161","patient",4,31.1659510813612,6.8949433532358,31.8413160299628,1
"1128.62068965517","control",1,33.3839245015439,6.78314647894499,33.0234193429395,1
"1128.62068965517","control",2,36.9919435680222,0.767222151633273,36.9919435680222,1
"1128.62068965517","patient",1,27.2072345878685,7.97183221120622,27.4179691362328,1
"1128.62068965517","patient",2,22.9865049433244,9.19560550351598,24.2927728737076,1
"1128.62068965517","patient",3,27.3693878606538,5.9945564790916,27.3711459192202,1
"1128.62068965517","patient",4,26.4699830745593,5.74155814075255,26.9502757867771,1
"1","control",1,0.999999999999996,2.25557610109054e-14,0.999999999999992,1
"1","control",2,0.999999999999987,9.26354550623427e-15,0.999999999999987,1
"1","patient",1,0.999999999999999,1.88860177229078e-14,1,1
"1","patient",2,0.999999999999999,2.17999330382722e-14,0.999999999999996,1
"1","patient",3,1,1.69810808066529e-14,1,1
"1","patient",4,1,2.3990238670476e-14,0.999999999999994,1
"2220","control",1,39.2222710150349,8.24661713019147,38.8389689181827,1
"2220","control",2,43.536700622065,0.264358168778996,43.536700622065,1
"2220","patient",1,32.3674453122639,8.68108684338942,33.3337713227381,1
"2220","patient",2,26.7327878798363,10.6634959890543,28.3335882948775,1
"2220","patient",3,32.0497009365631,6.70854294240505,32.3961691986807,1
"2220","patient",4,31.3713643946284,6.95199199551868,32.0509174662794,1
"2240","control",1,38.7263726991273,8.13723154633807,38.7545956699779,1
"2240","control",2,43.6276915224981,0.284590549346093,43.6276915224981,1
"2240","patient",1,32.4381426076294,8.69116658039029,33.389544590629,1
"2240","patient",2,26.7923147086655,10.6836501072662,28.3911006102721,1
"2240","patient",3,32.114485815739,6.7184032000789,32.4640954972283,1
"2240","patient",4,31.4399671632816,6.97116321949121,32.1012706115878,1
"2256.24137931034","control",1,38.7893607775696,8.15108290888416,38.8233526800855,1
"2256.24137931034","control",2,43.6999483735822,0.300812119000606,43.6999483735822,1
"2256.24137931034","patient",1,31.9674031204913,8.52001703233477,32.6436541833044,1
"2256.24137931034","patient",2,26.8396351346198,10.6996959635855,28.436815269306,1
"2256.24137931034","patient",3,32.1659743807402,6.72622987258661,32.5180319499388,1
"2256.24137931034","patient",4,31.4944844007937,6.98644001484679,32.1412058235444,1
"2272","control",1,38.8519798563559,8.16481884326165,38.8915757472162,1
"2272","control",2,43.7717338514381,0.317063379233627,43.7717338514381,1
"2272","patient",1,32.0218278407438,8.52655667497192,32.6931915252545,1
"2272","patient",2,26.886691834498,10.715674105263,28.4822716350269,1
"2272","patient",3,32.2171664652128,6.73400262335144,32.5716147573642,1
"2272","patient",4,31.548681953441,7.00166368297049,32.180837518934,1
"2394","control",1,39.1037715564475,8.4882070786491,38.326326419532,1
"2394","control",2,44.3040483056421,0.441747269217221,44.3040483056421,1
"2394","patient",1,32.4249782707951,8.57488598879752,33.0589480768747,1
"2394","patient",2,27.237179959293,10.8353782688904,28.8207600068143,1
"2394","patient",3,32.5982305348708,6.79157090744711,32.9691009346635,1
"2394","patient",4,31.9518629154406,7.11603001602038,32.473525778443,1
"2411","control",1,39.1647036256056,8.5012239960269,38.3943674725877,1
"2411","control",2,44.3761704340614,0.459198162793364,44.3761704340614,1
"2411","patient",1,32.4795582473958,8.58141714817404,33.1083103841848,1
"2411","patient",2,27.284897645312,10.8517717768419,28.8668375991081,1
"2411","patient",3,33.4655050337748,6.32452791685325,33.5698524949968,1
"2411","patient",4,32.0066882161999,7.13172995828197,32.5130400061752,1
"2417","control",1,39.186121272616,8.50578755391618,38.4182855621806,1
"2417","control",2,44.4015084676914,0.465360041607761,44.4015084676914,1
"2417","patient",1,32.4987318761795,8.58371101758211,33.125642665469,1
"2417","patient",2,28.5211247331167,10.0406316169428,29.1014558842107,1
"2417","patient",3,33.4837927397123,6.32761277098185,33.589691325807,1
"2417","patient",4,32.0259621889418,7.13725752366763,32.5269153210233,1
"2424","control",1,39.2110511437676,8.51109166715262,38.4461269820744,1
"2424","control",2,44.4309928560278,0.472550461020533,44.4309928560278,1
"2424","patient",1,32.4018942742988,8.77976547837977,32.4205978666747,1
"2424","patient",2,28.5411879839428,10.0473157035346,29.1244562604525,1
"2424","patient",3,33.5050797718931,6.33120861134147,33.6127587426949,1
"2424","patient",4,32.0483986817789,7.14369741461604,32.5430568747032,1
"2431","control",1,39.235919576519,8.51637432397263,38.4739009265443,1
"2431","control",2,44.4603949752762,0.479742383687529,44.4603949752762,1
"2431","patient",1,32.4241001915937,8.78248500373559,32.4435287632601,1
"2431","patient",2,27.3847379274543,9.30054724998698,28.9207208354088,1
"2431","patient",3,33.5263147533966,6.33480108205724,33.635742753635,1
"2431","patient",4,32.0707818150429,7.15012770165782,32.5591488559688,1
"2472","control",1,39.3803632457954,8.54689137880779,38.635242986043,1
"2472","control",2,44.6309703065644,0.521886797374991,44.6309703065644,1
"2472","patient",1,32.5528848981505,8.79824594163026,32.5767818240602,1
"2472","patient",2,27.7573829846678,9.66357943559837,29.2809914531517,1
"2472","patient",3,33.6496628570918,6.35577661142239,33.7687139747949,1
"2472","patient",4,32.200826687975,7.187598952451,32.6524228586052,1
"2491","control",1,39.4466106059162,8.56079229715039,38.7092531149142,1
"2491","control",2,44.3262363606361,NA,44.3262363606361,1
"2491","patient",1,32.6118363719778,8.80545471530604,32.6379305462482,1
"2491","patient",2,27.8089029883926,9.68034211549403,29.342392914452,1
"2491","patient",3,33.7062403229615,6.36545978693732,33.82939692237,1
"2491","patient",4,32.2604899808339,7.20485322116991,32.6950916319498,1
"2502","control",1,39.4847686499742,8.56877177949673,38.7518859708282,1
"2502","control",2,44.3631923461571,NA,44.3631923461571,1
"2502","patient",1,33.3760634946097,8.36086255399776,33.3663098113763,1
"2502","patient",2,27.8385846844092,9.69000166963543,29.3777983683626,1
"2502","patient",3,33.7388302132074,6.37105539490491,33.8642629351459,1
"2502","patient",4,32.2948609423414,7.21481076044274,32.719637128735,1
"2542","control",1,39.5209197388578,8.88921416895606,37.8427696130356,1
"2542","control",2,44.4959493776008,NA,44.4959493776008,1
"2542","patient",1,33.4971115476962,8.3794084583968,33.4765312299845,1
"2542","patient",2,27.9456333277363,9.72485253182088,29.5056763977578,1
"2542","patient",3,33.8563366906044,6.39134041798287,33.9894337256143,1
"2542","patient",4,32.418808057551,7.25082472241411,32.8079400391081,1
"2605","control",1,39.7331207541821,8.93440965581259,38.086157879647,1
"2605","control",2,44.7000011124878,NA,44.7000011124878,1
"2605","patient",1,34.2884502180077,8.17956366366418,34.2956825019694,1
"2605","patient",2,28.1114988168073,9.77889014870415,29.70438689593,1
"2605","patient",3,34.0383250086885,6.42309943807084,34.18159580584,1
"2605","patient",4,32.6108148063352,7.30693113298818,32.9440842630843,1
"2628","control",1,39.8094604771151,8.95050864877419,38.1742346364189,1
"2628","control",2,44.7730053586866,NA,44.7730053586866,1
"2628","patient",1,33.813591150811,8.07072835847074,33.7073166115091,1
"2628","patient",2,28.1712441741832,9.79836525854931,29.7761314849735,1
"2628","patient",3,34.1038585179973,6.43463910432803,34.2502814880349,1
"2628","patient",4,32.6799639641501,7.32722852388615,32.9929260706529,1
"2641","control",1,39.8523484747997,8.95951567188047,38.223838345766,1
"2641","control",2,44.8139241672798,NA,44.8139241672798,1
"2641","patient",1,34.4857867641817,7.84632897883026,34.3750926018316,1
"2641","patient",2,28.2048264642257,9.80931432451897,29.8164972517744,1
"2641","patient",3,34.1406906629739,6.44114905912243,34.2887652185791,1
"2641","patient",4,32.7188291868889,7.33865727791353,33.0203342277251,1
"2670","control",1,39.9473550318261,8.9793718034854,38.3340364452196,1
"2670","control",2,44.9043219235636,NA,44.9043219235636,1
"2670","patient",1,34.0996597770129,7.87138434547937,33.8170961962932,1
"2670","patient",2,28.2792620165247,9.83358866305063,29.9060675250833,1
"2670","patient",3,34.222321816935,6.45563966879734,34.3737469128604,1
"2670","patient",4,32.8049671535446,7.36403897926454,33.0809695183163,1
"2697","control",1,40.0349964511268,8.99757018548323,38.4360796339404,1
"2697","control",2,44.9874075565744,NA,44.9874075565744,1
"2697","patient",1,34.1766018962833,7.88844050149435,33.8866966403389,1
"2697","patient",2,28.3479792713434,9.85600466589932,29.9888773168496,1
"2697","patient",3,33.4815715696541,6.01732508808667,33.8816720450951,1
"2697","patient",4,32.8844789931622,7.38753028220287,33.1368072069487,1
"2778","control",1,40.2933779018959,9.05055367015721,38.739121118696,1
"2778","control",2,45.2306295114879,NA,45.2306295114879,1
"2778","patient",1,34.3533672467458,8.21541357512667,33.518603091377,1
"2778","patient",2,28.5508526130973,9.92221498393546,30.2340229605946,1
"2778","patient",3,33.6999119458223,6.0565200653338,34.1099284989846,1
"2778","patient",4,33.1191724978698,7.45720095358656,33.3008924287429,1
"2801","control",1,40.3655433983498,9.06517176913795,38.8243556033214,1
"2801","control",2,45.2980935807215,NA,45.2980935807215,1
"2801","patient",1,34.8008593607754,8.40135868268234,34.1480066480619,1
"2801","patient",2,28.6075884825695,9.94073872560977,30.3027570212734,1
"2801","patient",3,33.7608971211676,6.06747115084468,34.1736536275369,1
"2801","patient",4,33.1847944788923,7.47676588720429,33.3465811756107,1
"2938","control",1,40.0179444209112,8.97939240507052,39.0086086221066,1
"2938","control",2,45.6861223080728,NA,45.6861223080728,1
"2938","patient",1,35.1790643283172,8.49234713731357,34.4769406536339,1
"2938","patient",2,28.9379754188436,10.048648523361,30.7045090414393,1
"2938","patient",3,34.1154136760864,6.13109662057706,34.543793933399,1
"2938","patient",4,33.5668201970845,7.59132871246769,33.6109837913909,1
"2945","control",1,40.0385562133123,8.98338906394956,39.0314664561369,1
"2945","control",2,45.7053385479097,NA,45.7053385479097,1
"2945","patient",1,35.1979626445845,8.49693995530959,34.4933107143103,1
"2945","patient",2,28.9545210859938,10.0540537330082,30.7246947254064,1
"2945","patient",3,34.779878127953,5.98925035137713,35.1245757277136,1
"2945","patient",4,33.5859472096646,7.59709204058459,33.6241533615725,1
"3042","control",1,40.320025216212,9.03734390607577,39.3452004890094,1
"3042","control",2,45.9658736040809,NA,45.9658736040809,1
"3042","patient",1,35.4557906879904,8.56004725874643,34.7160498927989,1
"3042","patient",2,29.1806059200514,10.1279116071536,31.001133566574,1
"3042","patient",3,35.0961072729493,6.36160208443483,35.6763573905183,1
"3042","patient",4,33.84726055047,7.6760599346921,33.8034602144909,1
"3055","control",1,40.3571752899652,9.04437866112105,39.3868314674099,1
"3055","control",2,46,NA,46,1
"3055","patient",1,35.4897846793706,8.5684306042111,34.7453372466974,1
"3055","patient",2,29.2104643476826,10.1376649275702,31.0377267996074,1
"3055","patient",3,36.0277228898624,6.04271306924611,36.0175527972678,1
"3055","patient",4,33.8817654832087,7.68651680434693,33.8270535434479,1
"3064","control",1,40.3828174603789,9.0492225201304,39.4155967916885,1
"3064","control",2,NA,NA,NA,NA
"3064","patient",1,35.5132432444609,8.57422438654171,34.7655373422152,1
"3064","patient",2,29.2310758834395,10.1443974889011,31.0629988026206,1
"3064","patient",3,36.0498340593216,6.04782632201972,36.0400908484993,1
"3064","patient",4,33.9055837289289,7.69373872692424,33.8433287417176,1
"3105","control",1,40.4988448133474,9.07102046384598,39.5460652704367,1
"3105","control",2,NA,NA,NA,NA
"3105","patient",1,35.61933547222,8.60051512807884,34.8567880467136,1
"3105","patient",2,29.5958322275507,10.5780138130408,31.7938903040946,1
"3105","patient",3,36.1497860346644,6.07100877713846,36.1419750987997,1
"3105","patient",4,34.0133756189323,7.72645824122301,33.9168743368268,1
"3107","control",1,40.5044720575349,9.07207266166578,39.5524057788791,1
"3107","control",2,NA,NA,NA,NA
"3107","patient",1,34.7489926810471,8.27839804293087,34.4415535607631,1
"3107","patient",2,29.6004640363438,10.5795257442399,31.79884968261,1
"3107","patient",3,36.1546295076872,6.0721350121298,36.1469123363492,1
"3107","patient",4,34.0186041385795,7.72804675895529,33.9204372313926,1
"3209","control",1,40.7875653475784,9.12441281508882,39.8729174310841,1
"3209","control",2,NA,NA,NA,NA
"3209","patient",1,35.0049126964664,8.34714466684495,34.7115750862786,1
"3209","patient",2,29.8334746531586,10.6556205998414,32.0487923437004,1
"3209","patient",3,36.3977872315942,6.12901982483897,36.394799840818,1
"3209","patient",4,34.1975876200685,8.14917327149556,33.3393390534179,1
"3223","control",1,40.8258401649009,9.13140029798815,39.9164819246388,1
"3223","control",2,NA,NA,NA,NA
