"feature","Drug.Before.Diet","Sample.type.1","mean","sd","median","incidence"
"2161","DrugBefore_NO","control",39.9444833139352,7.68362002752454,39.7493501235431,1
"2161","DrugBefore_NO","patient.after.diet",32.0075016254354,9.51586534096606,31.8413160299628,1
"2161","DrugBefore_NO","patient.before.diet",36.3869169885297,7.99708640113958,35.8724542552562,1
"2161","DrugBefore_YES","control",29.1731028898846,NA,29.1731028898846,1
"2161","DrugBefore_YES","patient.after.diet",28.0748093257043,7.38669837786845,28.6143470885873,1
"2161","DrugBefore_YES","patient.before.diet",28.9004063276484,7.92733756996074,27.0756073826063,1
"1128.62068965517","DrugBefore_NO","control",34.1780700091287,6.38944455181771,34.3646299947148,1
"1128.62068965517","DrugBefore_NO","patient.after.diet",27.5336686561857,8.13056199584705,27.6022371551373,1
"1128.62068965517","DrugBefore_NO","patient.before.diet",31.0453640520356,7.31938900839333,30.3629809458711,1
"1128.62068965517","DrugBefore_YES","control",25.51119799039,NA,25.51119799039,1
"1128.62068965517","DrugBefore_YES","patient.after.diet",23.7964835834964,6.59292991054464,24.2927728737076,1
"1128.62068965517","DrugBefore_YES","patient.before.diet",24.2548273077399,7.38981113322113,23.0098507054072,1
"1","DrugBefore_NO","control",0.999999999999995,2.20840138516895e-14,0.999999999999993,1
"1","DrugBefore_NO","patient.after.diet",1.00000000000001,2.38506525020947e-14,1,1
"1","DrugBefore_NO","patient.before.diet",0.999999999999996,2.23264043732402e-14,0.999999999999999,1
"1","DrugBefore_YES","control",0.999999999999985,NA,0.999999999999985,1
"1","DrugBefore_YES","patient.after.diet",0.999999999999997,1.70628854336258e-14,0.999999999999997,1
"1","DrugBefore_YES","patient.before.diet",1,1.63394632190125e-14,1.00000000000001,1
"2220","DrugBefore_NO","control",40.1960438586363,7.73851544473035,39.9698999323529,1
"2220","DrugBefore_NO","patient.after.diet",32.0962893796431,9.84816600665508,32.009060772544,1
"2220","DrugBefore_NO","patient.before.diet",36.6100358730669,8.03395718805144,36.0909718243161,1
"2220","DrugBefore_YES","control",29.3494462006688,NA,29.3494462006688,1
"2220","DrugBefore_YES","patient.after.diet",28.2605978994344,7.41964883646346,28.7505242651045,1
"2220","DrugBefore_YES","patient.before.diet",29.1039141116462,7.9508578519706,27.2938442429846,1
"2240","DrugBefore_NO","control",39.7886117320904,7.6712995609811,39.5591689855106,1
