"feature","Sample.type","visit","mean","sd","median","incidence"
"NE_0.25","control",1,0.627462082940137,0.0625690027990454,0.632235429031803,1
"NE_0.25","control",2,0.653825249242291,0.0514189631480662,0.653825249242291,1
"NE_0.25","patient",1,0.5493870014981,0.0793222710980747,0.548157122634343,1
"NE_0.25","patient",2,0.556046269961538,0.0752843257202373,0.565799455314935,1
"NE_0.25","patient",3,0.587393158328004,0.0890594045391572,0.587672676055049,1
"NE_0.25","patient",4,0.579665689183496,0.0679884546128261,0.611517236991736,1
"NE_0.5","control",1,0.404743922139723,0.097022008071039,0.39787712021763,1
"NE_0.5","control",2,0.449505261399134,0.0806621027382066,0.449505261399134,1
"NE_0.5","patient",1,0.308000365156242,0.0905323643769181,0.293248024059294,1
"NE_0.5","patient",2,0.331885142141493,0.0865067086319771,0.324027867720902,1
"NE_0.5","patient",3,0.359083371042283,0.121378418158411,0.342674666973598,1
"NE_0.5","patient",4,0.351688249436748,0.0883930220559349,0.379163780051078,1
"NE_1","control",1,0.213809614376455,0.104539316477051,0.18122847723414,1
"NE_1","control",2,0.268194327528653,0.095536435587201,0.268194327528653,1
"NE_1","patient",1,0.139647906787523,0.0642861373357325,0.13039138880354,1
"NE_1","patient",2,0.176109062077755,0.0893133632646909,0.157364463229847,1
"NE_1","patient",3,0.18690613429883,0.111954745539357,0.146442287886856,1
"NE_1","patient",4,0.182063774873725,0.0790518616137238,0.175639230413215,1
"NE_2","control",1,0.124733807196427,0.0864959979212978,0.100295590010285,1
"NE_2","control",2,0.168945449822148,0.0853782855590869,0.168945449822148,1
"NE_2","patient",1,0.0814971687703186,0.0385551846890279,0.0668556889773974,1
"NE_2","patient",2,0.120252467694346,0.0926459323085,0.0805916804172536,1
"NE_2","patient",3,0.113553604608188,0.0761093739027357,0.084679740273225,1
"NE_2","patient",4,0.112905460773581,0.0581337214611101,0.107391779670726,1
"NE_4","control",1,0.0943571875417513,0.0708988324111372,0.0752030543886677,1
"NE_4","control",2,0.121746944276396,0.0656680916989375,0.121746944276396,1
"NE_4","patient",1,0.0651748772111654,0.0267523341935794,0.054844280801661,1
"NE_4","patient",2,0.103321137432734,0.0933443157654024,0.0752592705676672,1
"NE_4","patient",3,0.0859920916179017,0.0494974707042091,0.0660152093920904,1
"NE_4","patient",4,0.0882991435711402,0.0436179843115497,0.0794062530743715,1
"NE_8","control",1,0.0833775609304961,0.0627487542214762,0.0673532277935843,1
"NE_8","control",2,0.099319679828761,0.0500221432775925,0.099319679828761,1
"NE_8","patient",1,0.0594466425089419,0.0214986974597775,0.050344748835848,1
"NE_8","patient",2,0.0964815907285966,0.0931777766253769,0.0637451028639964,1
"NE_8","patient",3,0.0754534360891408,0.038290225444395,0.059253092036289,1
"NE_8","patient",4,0.0780029059864212,0.0353465126182419,0.0707707934316425,1
"NE_Inf","control",1,0.0737745588495203,0.0534389229185162,0.0592406218784813,1
"NE_Inf","control",2,0.0823253102146237,0.0368275813368533,0.0823253102146237,1
"NE_Inf","patient",1,0.0550685162904111,0.0175044317075809,0.0482547974661051,1
"NE_Inf","patient",2,0.0907041403046774,0.0931587940689419,0.0580895025527773,1
"NE_Inf","patient",3,0.0674799361184488,0.0301367115321279,0.0550811821864032,1
"NE_Inf","patient",4,0.0695182125566775,0.0277194337467822,0.0648436874319799,1
