"feature","Sample.type.Drug.Before","visit","mean","sd","median","incidence"
"NE_0.25","1",1,0.627462082940137,0.0625690027990454,0.632235429031803,1
"NE_0.25","1",2,0.653825249242291,0.0514189631480662,0.653825249242291,1
"NE_0.25","patient FALSE .",1,0.574222136113857,0.0769212891936999,0.558796224560256,1
"NE_0.25","patient FALSE .",2,0.590098460388632,0.0456726065348954,0.5878233792313,1
"NE_0.25","patient FALSE .",3,0.631339786155695,0.0943358777679225,0.638037448701864,1
"NE_0.25","patient FALSE .",4,0.610517695883795,0.046941342174295,0.619009570311123,1
"NE_0.25","patient TRUE .",1,0.530283051793671,0.078666069510413,0.538465246608648,1
"NE_0.25","patient TRUE .",2,0.532209736662573,0.0845702130073363,0.548687690019359,1
"NE_0.25","patient TRUE .",3,0.554433187457236,0.0740033829198851,0.564472810463486,1
"NE_0.25","patient TRUE .",4,0.553221112011812,0.0751059517891519,0.5454371683422,1
"NE_0.5","1",1,0.404743922139723,0.097022008071039,0.39787712021763,1
"NE_0.5","1",2,0.449505261399134,0.0806621027382066,0.449505261399134,1
"NE_0.5","patient FALSE .",1,0.334892440716988,0.0957913890333741,0.30360759664579,1
"NE_0.5","patient FALSE .",2,0.373166858113503,0.0755962047851145,0.34778679062592,1
"NE_0.5","patient FALSE .",3,0.415352651392606,0.136106477226544,0.412275893250505,1
"NE_0.5","patient FALSE .",4,0.392122765169034,0.0736288476527292,0.406091163962385,1
"NE_0.5","patient TRUE .",1,0.287314153186437,0.0841307004225853,0.293248024059294,1
"NE_0.5","patient TRUE .",2,0.302987940961086,0.0850921789526327,0.31038473640725,1
"NE_0.5","patient TRUE .",3,0.316881410779541,0.096846759919394,0.323451226613447,1
"NE_0.5","patient TRUE .",4,0.317030093094789,0.0898478947653898,0.304903460633434,1
"NE_1","1",1,0.213809614376455,0.104539316477051,0.18122847723414,1
"NE_1","1",2,0.268194327528653,0.095536435587201,0.268194327528653,1
