"feature","Drug.Before.Diet","Sample.type.1","mean","sd","median","incidence"
"NE_0.25","DrugBefore_NO","control",0.628647029213918,0.0622037157624631,0.631105367826717,1
"NE_0.25","DrugBefore_NO","patient.after.diet",0.609570216576703,0.0639151240172277,0.613503536363425,1
"NE_0.25","DrugBefore_NO","patient.before.diet",0.574222136113857,0.0769212891936999,0.558796224560256,1
"NE_0.25","DrugBefore_YES","control",0.657674436342607,NA,0.657674436342607,1
"NE_0.25","DrugBefore_YES","patient.after.diet",0.545204426014652,0.0762041850609584,0.5454371683422,1
"NE_0.25","DrugBefore_YES","patient.before.diet",0.530283051793671,0.078666069510413,0.538465246608648,1
"NE_0.5","DrugBefore_NO","control",0.40686430941079,0.0966176827276414,0.396778854648039,1
"NE_0.5","DrugBefore_NO","patient.after.diet",0.392474763482335,0.0942132083309881,0.395336919488713,1
"NE_0.5","DrugBefore_NO","patient.before.diet",0.334892440716988,0.0957913890333741,0.30360759664579,1
"NE_0.5","DrugBefore_YES","control",0.453979242508276,NA,0.453979242508276,1
"NE_0.5","DrugBefore_YES","patient.after.diet",0.311365653900429,0.0867051733878552,0.31236395852019,1
"NE_0.5","DrugBefore_YES","patient.before.diet",0.287314153186437,0.0841307004225853,0.293248024059294,1
"NE_1","DrugBefore_NO","control",0.217062806012608,0.104992159211375,0.184955838439604,1
"NE_1","DrugBefore_NO","patient.after.diet",0.21847814692075,0.107268298553693,0.221546480342795,1
"NE_1","DrugBefore_NO","patient.before.diet",0.156516696532821,0.0735736155073662,0.133899648848654,1
"NE_1","DrugBefore_YES","control",0.260768399593946,NA,0.260768399593946,1
"NE_1","DrugBefore_YES","patient.after.diet",0.153051368694785,0.0686591259608465,0.150220514987261,1
"NE_1","DrugBefore_YES","patient.before.diet",0.126671914675755,0.0556532556604039,0.101456423942082,1
"NE_2","DrugBefore_NO","control",0.128004356719157,0.0873979561152442,0.10648178953174,1
"NE_2","DrugBefore_NO","patient.after.diet",0.139906059712603,0.0980393737519356,0.114256962845678,1
"NE_2","DrugBefore_NO","patient.before.diet",0.0890199343553359,0.0441953982700922,0.0799069879499295,1
"NE_2","DrugBefore_YES","control",0.151016651516001,NA,0.151016651516001,1
"NE_2","DrugBefore_YES","patient.after.diet",0.097743930833424,0.0506232393704445,0.0762412068930667,1
"NE_2","DrugBefore_YES","patient.before.diet",0.075710426012613,0.0343058640438011,0.0649537629027432,1
"NE_4","DrugBefore_NO","control",0.0963942047466705,0.0710744399013452,0.0753125913284977,1
"NE_4","DrugBefore_NO","patient.after.diet",0.110489903502747,0.0905160004715807,0.0827612006113617,1
"NE_4","DrugBefore_NO","patient.before.diet",0.0688792472541558,0.0299521572717836,0.0613107889088679,1
"NE_4","DrugBefore_YES","control",0.110433374117578,NA,0.110433374117578,1
"NE_4","DrugBefore_YES","patient.after.diet",0.0803571727551894,0.0406160809154374,0.0651714555724567,1
"NE_4","DrugBefore_YES","patient.before.diet",0.0623253617934805,0.0248799731527002,0.0493565321493753,1
"NE_8","DrugBefore_NO","control",0.0844211897328884,0.0622630609659007,0.0639486831076903,1
"NE_8","DrugBefore_NO","patient.after.diet",0.0987073865602125,0.0882174632473693,0.0756567606869541,1
"NE_8","DrugBefore_NO","patient.before.diet",0.0615477542016098,0.0229502737633306,0.0545413470068292,1
"NE_8","DrugBefore_YES","control",0.095432851481573,NA,0.095432851481573,1
"NE_8","DrugBefore_YES","patient.after.diet",0.0734053032325421,0.0354181611320164,0.0610257809704824,1
"NE_8","DrugBefore_YES","patient.before.diet",0.0578304027453512,0.0211142261202085,0.0471122385385146,1
"NE_Inf","DrugBefore_NO","control",0.0741286914063552,0.0526728551548852,0.0562842777166357,1
"NE_Inf","DrugBefore_NO","patient.after.diet",0.089481907614239,0.0872530744925839,0.0704922045196274,1
"NE_Inf","DrugBefore_NO","patient.before.diet",0.0558267471657223,0.017194744650552,0.0508497345105942,1
"NE_Inf","DrugBefore_YES","control",0.084147542999864,NA,0.084147542999864,1
"NE_Inf","DrugBefore_YES","patient.after.diet",0.0676108003761626,0.0308717709248627,0.0564967760547989,1
"NE_Inf","DrugBefore_YES","patient.before.diet",0.054485261770941,0.0184160439519635,0.0455249393878605,1
