"feature","Sample.type","visit","mean","sd","median","incidence"
"Bacteroides","control",1,0.312461491873962,0.253846447545946,0.327404768699907,0.944444444444444
"Bacteroides","control",2,0.24577275303365,0.231382818816151,0.24577275303365,1
"Bacteroides","patient",1,0.582751012156672,0.287386678423313,0.637544632682519,1
"Bacteroides","patient",2,0.409414013103241,0.330448359550897,0.330480437284235,0.941176470588235
"Bacteroides","patient",3,0.484170166871738,0.324279522837805,0.577604055735943,0.928571428571429
"Bacteroides","patient",4,0.506952054950126,0.281956274799417,0.577789541791659,1
"Prevotella","control",1,0.143074701408504,0.265491840829728,0.000586896947838849,0.777777777777778
"Prevotella","control",2,0.001136393730899,0.000681268033717514,0.001136393730899,1
"Prevotella","patient",1,0.0767599524893466,0.18236812175439,0.000247969747690782,0.608695652173913
"Prevotella","patient",2,0.108972215095,0.237962437389042,0.000335739466174249,0.823529411764706
"Prevotella","patient",3,0.0478944493787189,0.13713927353534,0.000179277601762081,0.571428571428571
"Prevotella","patient",4,0.00233103563963416,0.00710931428791635,0.0002140541862883,0.692307692307692
"Unclassified_Lachnospiraceae","control",1,0.063889742021273,0.0412007901275717,0.0612850611453734,1
"Unclassified_Lachnospiraceae","control",2,0.0665379583578303,0.0757919114410547,0.0665379583578303,1
"Unclassified_Lachnospiraceae","patient",1,0.0293287904732358,0.0314770900364877,0.0113519091847265,0.956521739130435
"Unclassified_Lachnospiraceae","patient",2,0.0477431804389492,0.0603730988326703,0.0265984654731458,0.941176470588235
"Unclassified_Lachnospiraceae","patient",3,0.0994620185915004,0.121809675560405,0.0427792374141038,1
"Unclassified_Lachnospiraceae","patient",4,0.0869991491704531,0.086816671897348,0.0532667498959634,1
"Faecalibacterium","control",1,0.0421671049081596,0.0440054325748698,0.0357450491394445,0.944444444444444
"Faecalibacterium","control",2,0.0345150133210451,0.0442348570238088,0.0345150133210451,1
"Faecalibacterium","patient",1,0.0272857065558555,0.029758702860204,0.0204737053392212,0.956521739130435
"Faecalibacterium","patient",2,0.0599382510610718,0.113554314845697,0.0152640264026403,0.882352941176471
"Faecalibacterium","patient",3,0.0353625842314069,0.0397725383505313,0.0207526762931316,1
"Faecalibacterium","patient",4,0.0664339772486223,0.0771097734916155,0.0386765034652359,1
"Lachnospiracea_incertae_sedis","control",1,0.0323761647722953,0.026638551185916,0.0278767754784414,0.944444444444444
"Lachnospiracea_incertae_sedis","control",2,0.0568307432772419,0.0797987150373815,0.0568307432772419,1
"Lachnospiracea_incertae_sedis","patient",1,0.010170055998922,0.011313333837512,0.00491071428571429,0.91304347826087
"Lachnospiracea_incertae_sedis","patient",2,0.0346742806033295,0.0451510733205427,0.0159225030620198,0.882352941176471
"Lachnospiracea_incertae_sedis","patient",3,0.0546125250326782,0.0741320525208715,0.0183033572706274,0.928571428571429
"Lachnospiracea_incertae_sedis","patient",4,0.055319214491357,0.0598857873341412,0.0585514753491814,0.923076923076923
"Parabacteroides","control",1,0.00882806964919631,0.00806901357973147,0.00660957668538902,0.944444444444444
"Parabacteroides","control",2,0.0180680247247072,0.0190711978619641,0.0180680247247072,1
