"feature","Sample.type.Drug.Before","visit","mean","sd","median","incidence"
"Bacteroides","1",1,0.312461491873962,0.253846447545946,0.327404768699907,0.944444444444444
"Bacteroides","1",2,0.24577275303365,0.231382818816151,0.24577275303365,1
"Bacteroides","patient FALSE .",1,0.463409044356826,0.304934945864902,0.439215075428187,1
"Bacteroides","patient FALSE .",2,0.291073607806084,0.269814342144654,0.22211938917168,0.857142857142857
"Bacteroides","patient FALSE .",3,0.296924182302646,0.347862867258051,0.168420091344378,0.833333333333333
"Bacteroides","patient FALSE .",4,0.394360604472623,0.281642858426507,0.420519839194813,1
"Bacteroides","patient TRUE .",1,0.674552525848862,0.246332023225038,0.773486881981124,1
"Bacteroides","patient TRUE .",2,0.492252296811251,0.356477558084063,0.514087785728188,1
"Bacteroides","patient TRUE .",3,0.624604655298557,0.237203868701533,0.638197012201731,1
"Bacteroides","patient TRUE .",4,0.603459012502272,0.263350980618494,0.658916461733363,1
"Prevotella","1",1,0.143074701408504,0.265491840829728,0.000586896947838849,0.777777777777778
"Prevotella","1",2,0.001136393730899,0.000681268033717514,0.001136393730899,1
"Prevotella","patient FALSE .",1,0.113374350618051,0.2365126297632,0.00440172254032324,0.8
"Prevotella","patient FALSE .",2,0.192243847471902,0.325217000769089,0.002313743637205,0.857142857142857
"Prevotella","patient FALSE .",3,0.101433049244343,0.205587968494904,0.000237840409085504,0.5
"Prevotella","patient FALSE .",4,0.004440271049936,0.0104977703192456,0.000138747571917491,0.5
"Prevotella","patient TRUE .",1,0.0485950308518817,0.130548945459528,0,0.461538461538462
"Prevotella","patient TRUE .",2,0.0506820724311686,0.144877265897723,0.000141576827036852,0.8
"Prevotella","patient TRUE .",3,0.00774049947950058,0.0209225543121038,0.000179277601762081,0.625
"Prevotella","patient TRUE .",4,0.000523119573661149,0.000993237110550083,0.0002140541862883,0.857142857142857
"Unclassified_Lachnospiraceae","1",1,0.063889742021273,0.0412007901275717,0.0612850611453734,1
"Unclassified_Lachnospiraceae","1",2,0.0665379583578303,0.0757919114410547,0.0665379583578303,1
"Unclassified_Lachnospiraceae","patient FALSE .",1,0.0327637956611893,0.0311325195373827,0.0126856008946141,1
"Unclassified_Lachnospiraceae","patient FALSE .",2,0.0355173846869521,0.0352902777675052,0.0207477001370131,0.857142857142857
"Unclassified_Lachnospiraceae","patient FALSE .",3,0.134433631561705,0.157499954781932,0.0427792374141038,1
"Unclassified_Lachnospiraceae","patient FALSE .",4,0.0919811322854442,0.0400879399742025,0.0933267355965927,1
"Unclassified_Lachnospiraceae","patient TRUE .",1,0.0266864787901947,0.0327438266867673,0.0104904390934844,0.923076923076923
"Unclassified_Lachnospiraceae","patient TRUE .",2,0.0563012374653472,0.0738372540720065,0.0328814781673823,1
"Unclassified_Lachnospiraceae","patient TRUE .",3,0.073233308863847,0.0894554470160628,0.0398200131759927,1
"Unclassified_Lachnospiraceae","patient TRUE .",4,0.0827288779290322,0.116999880431014,0.0391153461561085,1
"Faecalibacterium","1",1,0.0421671049081596,0.0440054325748698,0.0357450491394445,0.944444444444444
"Faecalibacterium","1",2,0.0345150133210451,0.0442348570238088,0.0345150133210451,1
"Faecalibacterium","patient FALSE .",1,0.0387554145526561,0.0403802025950152,0.0249491732165749,1
"Faecalibacterium","patient FALSE .",2,0.0716874174554703,0.128538047578081,0.0166373067136426,0.857142857142857
"Faecalibacterium","patient FALSE .",3,0.0243251175697558,0.0207320997266508,0.0174941267782449,1
"Faecalibacterium","patient FALSE .",4,0.0987767981307428,0.0993912492941099,0.066772122755596,1
"Faecalibacterium","patient TRUE .",1,0.0184628542506242,0.014376556275276,0.0126679462571977,0.923076923076923
"Faecalibacterium","patient TRUE .",2,0.0517138345849928,0.108288929376531,0.0112922973739455,0.9
"Faecalibacterium","patient TRUE .",3,0.0436406842276453,0.0494770410758871,0.0250741507402526,1
"Faecalibacterium","patient TRUE .",4,0.0387115593496618,0.0414363533608868,0.0194995125121872,1
"Lachnospiracea_incertae_sedis","1",1,0.0323761647722953,0.026638551185916,0.0278767754784414,0.944444444444444
"Lachnospiracea_incertae_sedis","1",2,0.0568307432772419,0.0797987150373815,0.0568307432772419,1
"Lachnospiracea_incertae_sedis","patient FALSE .",1,0.00929132645911843,0.00895751403483911,0.00637818672485071,1
"Lachnospiracea_incertae_sedis","patient FALSE .",2,0.019422796713899,0.019501591670403,0.0114503816793893,0.857142857142857
"Lachnospiracea_incertae_sedis","patient FALSE .",3,0.0717393256484433,0.101288939176587,0.0109321220796107,1
"Lachnospiracea_incertae_sedis","patient FALSE .",4,0.0886800194192583,0.0694959744288184,0.0766563258931427,1
"Lachnospiracea_incertae_sedis","patient TRUE .",1,0.0108460017987709,0.0131656705893308,0.00323974082073434,0.846153846153846
"Lachnospiracea_incertae_sedis","patient TRUE .",2,0.0453503193259309,0.0553453861692451,0.0225254057312401,0.9
"Lachnospiracea_incertae_sedis","patient TRUE .",3,0.0417674245708544,0.049374824559348,0.0224782133622035,0.875
"Lachnospiracea_incertae_sedis","patient TRUE .",4,0.0267242388388702,0.0328782342538745,0.0144992192728084,0.857142857142857
"Parabacteroides","1",1,0.00882806964919631,0.00806901357973147,0.00660957668538902,0.944444444444444
"Parabacteroides","1",2,0.0180680247247072,0.0190711978619641,0.0180680247247072,1
"Parabacteroides","patient FALSE .",1,0.010239019183742,0.0128922434622574,0.00216601563208824,0.8
"Parabacteroides","patient FALSE .",2,0.0281567785096363,0.0513087117552611,0.00137013114112351,0.857142857142857
"Parabacteroides","patient FALSE .",3,0.00812424873233529,0.0164121948396659,0,0.333333333333333
"Parabacteroides","patient FALSE .",4,0.00262060744069326,0.00540595036517353,0.000184906983207106,0.666666666666667
"Parabacteroides","patient TRUE .",1,0.0582048423427631,0.138117177364406,0.00719942404607631,0.692307692307692
"Parabacteroides","patient TRUE .",2,0.0757582759842431,0.222229457580812,0.000543221109052935,0.8
"Parabacteroides","patient TRUE .",3,0.0523104562889761,0.0721504117489015,0.0178195194213501,0.875
"Parabacteroides","patient TRUE .",4,0.0622756524278871,0.122783478676621,0.00022306491188936,0.714285714285714
"Alistipes","1",1,0.0435909864278632,0.0743642369080663,0.0174829708177759,0.777777777777778
"Alistipes","1",2,0.0630481358481772,0.0836085164425398,0.0630481358481772,1
"Alistipes","patient FALSE .",1,0.0526877104358302,0.0794675794764742,0.0192841873845776,0.7
"Alistipes","patient FALSE .",2,0.0118489676278363,0.0187408743217411,0.000685065570561754,0.571428571428571
"Alistipes","patient FALSE .",3,0.000873907615480649,0.00214062774025996,0,0.166666666666667
"Alistipes","patient FALSE .",4,0.00406822999467571,0.00872898897896266,0.000415973377703827,0.5
"Alistipes","patient TRUE .",1,0.0169597907225957,0.0207809546855277,0.00978439691748203,0.692307692307692
"Alistipes","patient TRUE .",2,0.0275892862582706,0.0526455095318354,0,0.4
"Alistipes","patient TRUE .",3,0.0105592409174438,0.0204892435986232,0.00151590610572504,0.625
"Alistipes","patient TRUE .",4,0.0096476793270274,0.0140377954301658,0.00266038774386888,0.571428571428571
"Blautia","1",1,0.0265669384533948,0.0444929989155573,0.0164415905379761,1
"Blautia","1",2,0.04532624643139,0.0618126209745862,0.04532624643139,1
"Blautia","patient FALSE .",1,0.0182770620888412,0.0209682607427412,0.00593526753723184,1
"Blautia","patient FALSE .",2,0.0187197353907917,0.030467008437376,0.00293599530240752,0.857142857142857
"Blautia","patient FALSE .",3,0.0367650312653045,0.0360818760988851,0.0256573390136102,1
"Blautia","patient FALSE .",4,0.0118864180579867,0.00883828960698194,0.00824657391242427,1
"Blautia","patient TRUE .",1,0.00779776707471289,0.0105725987898304,0.00314270538243626,0.923076923076923
"Blautia","patient TRUE .",2,0.0186459638657949,0.036879247647504,0.00835148130312863,0.8
"Blautia","patient TRUE .",3,0.0138100422730152,0.0143957437706091,0.00942335071447053,1
"Blautia","patient TRUE .",4,0.0170011586769549,0.0258813952376356,0.00633430210895,1
"Ruminococcus","1",1,0.0557600992036274,0.087219724943553,0.0242776220635055,0.944444444444444
"Ruminococcus","1",2,0.114039732731635,0.142397472132239,0.114039732731635,1
"Ruminococcus","patient FALSE .",1,0.00431154814544386,0.00454726493822327,0.00296208122692848,1
"Ruminococcus","patient FALSE .",2,0.00802671107455664,0.0130348871230965,0.00117508813160987,0.571428571428571
"Ruminococcus","patient FALSE .",3,0.0226664130020466,0.0304320980546322,0.017098899239189,1
"Ruminococcus","patient FALSE .",4,0.0124809678867543,0.0194711285110129,0.00271869937596209,0.666666666666667
"Ruminococcus","patient TRUE .",1,0.00583980505633216,0.0117013357477656,0.00164744645799012,0.846153846153846
"Ruminococcus","patient TRUE .",2,0.00289279742411411,0.00246524993197599,0.00247310108757805,0.9
"Ruminococcus","patient TRUE .",3,0.00236753752094824,0.00238477629170473,0.00152876614347074,0.75
"Ruminococcus","patient TRUE .",4,0.00199393735126475,0.00200825189046761,0.00198764601553422,0.857142857142857
"Unclassified_Clostridiales","1",1,0.0182484480071711,0.0216929203437824,0.0127925654500123,0.944444444444444
"Unclassified_Clostridiales","1",2,0.0399112945513483,0.0204012435490116,0.0399112945513483,1
"Unclassified_Clostridiales","patient FALSE .",1,0.0171079144759401,0.0180041661296103,0.00818200008652764,1
"Unclassified_Clostridiales","patient FALSE .",2,0.011251070107991,0.0122931313933954,0.00805774718818197,0.857142857142857
"Unclassified_Clostridiales","patient FALSE .",3,0.0532216981969486,0.0989463760471371,0.0147119659113229,1
"Unclassified_Clostridiales","patient FALSE .",4,0.0211880397656325,0.0206629466336339,0.0144818968835397,1
"Unclassified_Clostridiales","patient TRUE .",1,0.00663210637256914,0.00889971541629033,0.00602954476936991,1
"Unclassified_Clostridiales","patient TRUE .",2,0.00868844536513726,0.0122605444476908,0.00416149370671001,0.9
"Unclassified_Clostridiales","patient TRUE .",3,0.0134080093546907,0.0128347059513946,0.00980453566827715,1
"Unclassified_Clostridiales","patient TRUE .",4,0.00631541591854044,0.00593693365818887,0.00535355788534464,1
"Lactobacillus","1",1,0.0152191918596227,0.0641402935431083,0,0.277777777777778
"Lactobacillus","1",2,0,0,0,0
"Lactobacillus","patient FALSE .",1,0.000803388568618123,0.00169638213444359,0,0.4
"Lactobacillus","patient FALSE .",2,0.142561380488118,0.376824970909312,0,0.285714285714286
"Lactobacillus","patient FALSE .",3,0.000888146668905718,0.00190499165208377,2.4579687346377e-05,0.5
"Lactobacillus","patient FALSE .",4,0.00108635822191053,0.00220029985141216,0.000160926939169617,0.5
"Lactobacillus","patient TRUE .",1,0,0,0,0
"Lactobacillus","patient TRUE .",2,0.000138415775264585,0.000323957969405906,0,0.3
"Lactobacillus","patient TRUE .",3,0,0,0,0
"Lactobacillus","patient TRUE .",4,0,0,0,0
"Unclassified_Ruminococcaceae","1",1,0.0322428988364844,0.0335650855840082,0.0194012500331022,0.944444444444444
"Unclassified_Ruminococcaceae","1",2,0.0571006732027182,0.0451078838443671,0.0571006732027182,1
"Unclassified_Ruminococcaceae","patient FALSE .",1,0.0177381563485203,0.0379671539772404,0.00533706052588966,1
"Unclassified_Ruminococcaceae","patient FALSE .",2,0.00897606093016293,0.0126189503640191,0.00386100386100386,0.857142857142857
"Unclassified_Ruminococcaceae","patient FALSE .",3,0.00831261250578477,0.010012854826503,0.00453947816745301,1
"Unclassified_Ruminococcaceae","patient FALSE .",4,0.0126855750116173,0.0140795978853631,0.00722511847732313,1
"Unclassified_Ruminococcaceae","patient TRUE .",1,0.00829087617729702,0.00753933544010114,0.00669772859638905,1
"Unclassified_Ruminococcaceae","patient TRUE .",2,0.00394472809004804,0.00362869707229004,0.0024940781503452,0.9
"Unclassified_Ruminococcaceae","patient TRUE .",3,0.00408750000146382,0.00528316777462704,0.00296004777610129,1
"Unclassified_Ruminococcaceae","patient TRUE .",4,0.00524141507917509,0.00940632243611168,0.00229343771023179,1
"Roseburia","1",1,0.00905383119011644,0.00699425254629175,0.00630225795819172,1
"Roseburia","1",2,0.0106876890237766,0.00710537465732371,0.0106876890237766,1
"Roseburia","patient FALSE .",1,0.00702772717607703,0.00742777509554387,0.0031828805109139,1
"Roseburia","patient FALSE .",2,0.0185961130818822,0.0340599962091879,0.00386100386100386,0.857142857142857
"Roseburia","patient FALSE .",3,0.0139544234857509,0.0165994902732829,0.00975073850447825,1
"Roseburia","patient FALSE .",4,0.054910613335293,0.0449215323657739,0.0543050067675097,1
"Roseburia","patient TRUE .",1,0.00391515941582147,0.00501620747259472,0.00211034066927947,0.769230769230769
"Roseburia","patient TRUE .",2,0.0151377517473318,0.0197037587743331,0.00634164044864456,1
"Roseburia","patient TRUE .",3,0.0153696915333491,0.0169119684199901,0.0111454077274586,1
"Roseburia","patient TRUE .",4,0.0203587356193274,0.0216593274688016,0.0220834262770466,1
"Clostridium_XI","1",1,0.00925876346710867,0.0108629993203195,0.00642463653861764,0.944444444444444
"Clostridium_XI","1",2,0.0138652747101415,0.00816660224035756,0.0138652747101415,1
"Clostridium_XI","patient FALSE .",1,0.0327767399999254,0.0667310434659908,0.00358271128930919,0.9
"Clostridium_XI","patient FALSE .",2,0.00419185636414457,0.00600919051323785,0.00285378546248111,0.571428571428571
"Clostridium_XI","patient FALSE .",3,0.00416843797459501,0.00514888008880666,0.00260718903234845,0.833333333333333
"Clostridium_XI","patient FALSE .",4,0.0312153532021704,0.048148967814938,0.0145473355467403,1
"Clostridium_XI","patient TRUE .",1,0.00558512970774814,0.0119410709186418,0.00165494414563508,0.769230769230769
"Clostridium_XI","patient TRUE .",2,0.0170859611553329,0.0456561805707626,0.00126005037400865,0.9
"Clostridium_XI","patient TRUE .",3,0.00872613970509626,0.0112836419048064,0.00237853356360474,1
"Clostridium_XI","patient TRUE .",4,0.0172840466502673,0.0215401700122877,0.00558909009613235,1
"Enterococcus","1",1,0.00313314145004672,0.0131692710678801,0,0.166666666666667
"Enterococcus","1",2,0.00343698854337152,0.00486063581175696,0.00343698854337152,0.5
"Enterococcus","patient FALSE .",1,0.00738872330373463,0.0226306409764038,5.44721647238261e-05,0.5
"Enterococcus","patient FALSE .",2,0.000423450394767413,0.000639509679125586,0,0.428571428571429
"Enterococcus","patient FALSE .",3,0.00031210986267166,0.000764509907235698,0,0.166666666666667
"Enterococcus","patient FALSE .",4,5.19372597901735e-05,0.000127219785124295,0,0.166666666666667
"Enterococcus","patient TRUE .",1,0.000316237373582137,0.000913479945183598,0,0.230769230769231
"Enterococcus","patient TRUE .",2,0.071475162072919,0.224530820129335,0,0.4
"Enterococcus","patient TRUE .",3,0.000258611234939499,0.00046517423678236,0,0.375
"Enterococcus","patient TRUE .",4,0.000519083495823829,0.000909801454198069,0,0.285714285714286
"Erysipelotrichaceae_incertae_sedis","1",1,0.00117680724151026,0.00160406402312326,0.000614880230463628,0.777777777777778
"Erysipelotrichaceae_incertae_sedis","1",2,0.000895529107675358,0.000122283679499048,0.000895529107675358,1
"Erysipelotrichaceae_incertae_sedis","patient FALSE .",1,0.0428191144930956,0.120874309394134,0.00105542209945494,0.8
"Erysipelotrichaceae_incertae_sedis","patient FALSE .",2,0.00149659370005879,0.00279727138340523,0.000195733020160501,0.571428571428571
"Erysipelotrichaceae_incertae_sedis","patient FALSE .",3,0.0146527990894618,0.0188030545201903,0.00602793101113177,1
"Erysipelotrichaceae_incertae_sedis","patient FALSE .",4,0.0307579666593695,0.0740236064662274,0.000212707784064049,0.666666666666667
"Erysipelotrichaceae_incertae_sedis","patient TRUE .",1,0.00257575305725052,0.0031145326807551,0.0013728720483251,0.692307692307692
"Erysipelotrichaceae_incertae_sedis","patient TRUE .",2,0.00190709229585008,0.00303434253641631,0.000566024410546638,1
"Erysipelotrichaceae_incertae_sedis","patient TRUE .",3,0.00566230970346819,0.00818210559750332,0.00255693387322182,1
"Erysipelotrichaceae_incertae_sedis","patient TRUE .",4,0.00190833857255137,0.00119830823053603,0.0022306491188936,1
"Megamonas","1",1,0.0185602118451258,0.0528680871615293,0,0.166666666666667
"Megamonas","1",2,0,0,0,0
"Megamonas","patient FALSE .",1,1.08944329447652e-05,3.44512219214335e-05,0,0.1
"Megamonas","patient FALSE .",2,0.0476358901642058,0.0848628331792501,0,0.285714285714286
"Megamonas","patient FALSE .",3,0.00649188514357054,0.0159018060705025,0,0.166666666666667
"Megamonas","patient FALSE .",4,0.00471741744519471,0.0115552656444309,0,0.166666666666667
"Megamonas","patient TRUE .",1,0.00383877159309021,0.0138408878136813,0,0.0769230769230769
"Megamonas","patient TRUE .",2,0,0,0,0
"Megamonas","patient TRUE .",3,0,0,0,0
"Megamonas","patient TRUE .",4,0.000205317280725513,0.000543218464663742,0,0.142857142857143
"Sutterella","1",1,0.0100471542717523,0.0274570593398818,0.00135053320481442,0.611111111111111
"Sutterella","1",2,0,0,0,0
"Sutterella","patient FALSE .",1,0.00549549159929034,0.0116580669456271,0.000130183854608744,0.7
"Sutterella","patient FALSE .",2,0.00970161447725882,0.0162748570558787,0,0.428571428571429
"Sutterella","patient FALSE .",3,6.24219725343321e-05,0.00015290198144714,0,0.166666666666667
"Sutterella","patient FALSE .",4,0.0155495269059466,0.0333720239614336,0.000321853878339234,0.5
"Sutterella","patient TRUE .",1,0.00735503774327288,0.0173654823280208,0,0.384615384615385
"Sutterella","patient TRUE .",2,0.00536548725692766,0.0117609949109762,0,0.2
"Sutterella","patient TRUE .",3,0.00878448220009799,0.0162676489239919,0,0.25
"Sutterella","patient TRUE .",4,0.00557844421023495,0.0147591760829298,0,0.142857142857143
"Escherichia_Shigella","1",1,0.010139326899242,0.0395132063606553,0.000321938542152493,0.555555555555556
"Escherichia_Shigella","1",2,0.00040453074433657,0.00057209286503766,0.00040453074433657,0.5
"Escherichia_Shigella","patient FALSE .",1,0.0133738482286043,0.0405192640952173,6.43086816720257e-05,0.5
"Escherichia_Shigella","patient FALSE .",2,0.000850800945434598,0.0020014670681567,0,0.428571428571429
"Escherichia_Shigella","patient FALSE .",3,0.00173884284485271,0.00169362916561796,0.0017979066994724,0.666666666666667
"Escherichia_Shigella","patient FALSE .",4,0.000226076694100127,0.000319743313106522,4.16146483562214e-05,0.5
"Escherichia_Shigella","patient TRUE .",1,0.0146637348997073,0.0482388134447504,0,0.307692307692308
"Escherichia_Shigella","patient TRUE .",2,1.23882412089627e-05,2.8334273834316e-05,0,0.2
"Escherichia_Shigella","patient TRUE .",3,0.00281847642255799,0.00683627743484743,0.000315694637202387,0.625
"Escherichia_Shigella","patient TRUE .",4,0.0138146654890123,0.0223186022189877,0.00159011681242737,0.571428571428571
"Unclassified_Bacteria","1",1,0.0136356737529298,0.0114078992134674,0.0105403856118059,1
"Unclassified_Bacteria","1",2,0.0261680411442857,0.0324304557666848,0.0261680411442857,1
"Unclassified_Bacteria","patient FALSE .",1,0.0147999621018658,0.0271663810363806,0.00444846431831815,1
"Unclassified_Bacteria","patient FALSE .",2,0.00218614160959952,0.00220715111244376,0.001388246182323,0.857142857142857
"Unclassified_Bacteria","patient FALSE .",3,0.00526950877902661,0.00382376491774147,0.00344446517163293,1
"Unclassified_Bacteria","patient FALSE .",4,0.00411386498817114,0.0042505653447617,0.00200741652286824,1
"Unclassified_Bacteria","patient TRUE .",1,0.00380663112047994,0.00416438408780798,0.00225743626062323,0.923076923076923
"Unclassified_Bacteria","patient TRUE .",2,0.00214481699737438,0.00181207510046806,0.00205389448672318,0.9
"Unclassified_Bacteria","patient TRUE .",3,0.0019816885213677,0.00153728633713229,0.00134462674508441,1
"Unclassified_Bacteria","patient TRUE .",4,0.00521914606330342,0.00837041103296058,0.00139881877525645,1
"Clostridium_IV","1",1,0.0125785907586635,0.0141984575712968,0.00580301648502141,0.944444444444444
"Clostridium_IV","1",2,0.081996329429711,0.0659652099376664,0.081996329429711,1
"Clostridium_IV","patient FALSE .",1,0.00439908870006587,0.00769287984562108,0.00157321061083488,0.9
"Clostridium_IV","patient FALSE .",2,0.00186117267874064,0.00396491135118399,0.000161969549724652,0.571428571428571
"Clostridium_IV","patient FALSE .",3,0.00234178028038509,0.0052813350728983,0.000131475151196424,0.5
"Clostridium_IV","patient FALSE .",4,0.00680516942306623,0.0150430385646042,0.000323422876771177,0.666666666666667
"Clostridium_IV","patient TRUE .",1,0.00574042711731881,0.00971939259383895,0.0014606940509915,0.769230769230769
"Clostridium_IV","patient TRUE .",2,0.00186213172829273,0.00350571291714517,0.000725215894957126,0.6
"Clostridium_IV","patient TRUE .",3,0.00145321521686456,0.00217408428627317,0.00046087505469232,0.75
"Clostridium_IV","patient TRUE .",4,0.00188150428775813,0.00395956692136734,0.00022306491188936,0.714285714285714
"Clostridium_XlVa","1",1,0.00873573369285419,0.012442623743073,0.00449108850217342,0.944444444444444
"Clostridium_XlVa","1",2,0.00468918002743659,0.00262685193594624,0.00468918002743659,1
"Clostridium_XlVa","patient FALSE .",1,0.00829388218182217,0.0100096514855304,0.00434383338823057,1
"Clostridium_XlVa","patient FALSE .",2,0.00203109762451149,0.00188736376704051,0.00146799765120376,0.857142857142857
"Clostridium_XlVa","patient FALSE .",3,0.0126299732139295,0.0228248541992024,0.00484634020716888,1
"Clostridium_XlVa","patient FALSE .",4,0.0085301680692143,0.00462768382990495,0.00748907875139437,1
"Clostridium_XlVa","patient TRUE .",1,0.00455961184914869,0.00374673475302567,0.00575815738963532,0.923076923076923
"Clostridium_XlVa","patient TRUE .",2,0.00275464542183352,0.00317395985056976,0.00185417032693542,1
