"Bacteroides.Otu0001"	"Bacteroides.Otu2520"	"Faecalibacterium.Otu0067"	"Prevotella.Otu1987"	"Bacteroides.Otu0848"	"Bacteroides.Otu2038"	"Parabacteroides.Otu1736"	"Bacteroides.Otu2654"	"Bacteroides.Otu2065"	"Bacteroides.Otu0863"	"Bacteroides.Otu2431"	"Bacteroides.Otu0929"	"Bacteroides.Otu1201"	"Bacteroides.Otu0786"	"Alistipes.Otu2508"	"Bacteroides.Otu2625"	"Lactobacillus.Otu1332"	"Blautia.Otu2475"	"Clostridium_XI.Otu1804"	"Bacteroides.Otu0069"	"Bacteroides.Otu2765"	"Bacteroides.Otu0661"	"Enterococcus.Otu1019"	"Ruminococcus.Otu1859"	"Alistipes.Otu1466"	"Erysipelotrichaceae_incertae_sedis.Otu0818"	"Bacteroides.Otu0006"	"Bacteroides.Otu2343"	"Lachnospiracea_incertae_sedis.Otu0778"	"Prevotella.Otu1633"	"Bacteroides.Otu2437"	"Escherichia_Shigella.Otu2393"	"Prevotella.Otu1994"	"Bacteroides.Otu0480"	"Faecalibacterium.Otu0751"	"Lachnospiraceae.Otu2512"	"Lachnospiraceae.Otu2222"	"Lachnospiracea_incertae_sedis.Otu0651"	"Megamonas.Otu2657"	"Lachnospiraceae.Otu0898"	"Roseburia.Otu1051"	"Bacteroides.Otu2104"	"Parabacteroides.Otu1378"	"Sutterella.Otu0171"	"Lachnospiraceae.Otu0220"	"Prevotella.Otu2602"	"Haemophilus.Otu1497"	"Lachnospiracea_incertae_sedis.Otu0113"	"Bacteroides.Otu2216"	"Bacteroides.Otu0877"	"Prevotella.Otu1803"	"Dorea.Otu1142"	"Akkermansia.Otu1935"	"Clostridium_XlVa.Otu0236"	"Clostridiales.Otu0562"	"Roseburia.Otu2084"	"Bacteroides.Otu2375"	"Bacteroides.Otu2481"	"Lactobacillus.Otu0959"	"Prevotella.Otu1319"	"Bacteroides.Otu2069"	"Lachnospiraceae.Otu2599"	"Klebsiella.Otu1452"	"Lachnospiracea_incertae_sedis.Otu1152"	"Gemmiger.Otu0907"	"Lachnospiracea_incertae_sedis.Otu2549"	"Bacteroides.Otu1726"	"Blautia.Otu2495"	"Clostridiales.Otu1597"	"Megamonas.Otu1877"	"Bacteroides.Otu2120"	"Lachnospiraceae.Otu1734"	"Clostridium_XI.Otu2681"	"Parabacteroides.Otu1107"	"Sutterella.Otu1997"	"Clostridiaceae_1.Otu1955"	"Prevotella.Otu0634"	"Bacteroides.Otu0775"	"Phascolarctobacterium.Otu1814"	"Bacteroides.Otu1976"	"Veillonella.Otu0362"	"Lachnospiracea_incertae_sedis.Otu2746"	"Lachnospiraceae.Otu0790"	"Lachnospiracea_incertae_sedis.Otu1990"	"Turicibacter.Otu0468"	"Bacteroides.Otu1565"	"Bacteroides.Otu0200"	"Blautia.Otu0591"	"Lachnospiraceae.Otu2076"	"Bacteroides.Otu2460"	"Bacteroides.Otu1669"	"Prevotella.Otu0773"	"Prevotella.Otu2501"	"Prevotella.Otu1563"	"Roseburia.Otu2637"	"Parabacteroides.Otu1655"	"Bacteroides.Otu1411"	"Lachnospiraceae.Otu0491"	"Bacteroides.Otu2416"	"Blautia.Otu0620"	"Prevotella.Otu2327"	"Bacteroides.Otu2534"	"Bacteroides.Otu0312"	"Bacteroidales.Otu0696"	"Prevotella.Otu0738"	"Bacteroides.Otu0752"	"Barnesiella.Otu2015"	"Bacteroides.Otu2383"	"Prevotella.Otu0882"	"Bacteroides.Otu1883"	"Bacteroides.Otu0763"	"Prevotella.Otu2227"	"Bacteria.Otu0435"	"Streptococcus.Otu0749"	"Bacteroides.Otu1352"	"Burkholderiales.Otu0023"	"Bacteroides.Otu0399"	"Bacteroides.Otu0883"	"Parabacteroides.Otu0538"	"other"
384	1158	71	0	68	1823	0	26	0	1848	345	1011	310	30	6	14	0	123	10	24	12	673	0	25	96	11	232	29	150	0	0	0	0	0	39	2	0	1	0	10	14	14	0	0	6	0	3	4	0	43	0	4	0	60	0	39	85	0	0	0	12	1	0	0	86	3	0	75	0	0	0	2	0	0	0	1	0	1	0	0	0	0	36	1	1	0	0	16	23	14	25	0	0	0	14	0	1	1	0	53	0	0	160	0	0	7	0	170	0	0	17	0	0	0	20	0	0	0	0	2006
0	0	991	0	0	0	0	1	0	124	156	738	571	0	1	0	0	153	226	0	2	434	0	0	25	20	0	0	434	0	0	3	0	0	126	117	334	301	0	116	235	16	0	0	257	0	30	78	0	0	0	35	0	73	7	127	0	0	0	0	0	155	0	16	0	6	0	1	0	0	0	208	11	0	0	6	0	0	0	0	4	21	160	44	0	0	0	26	107	20	0	0	0	0	27	0	6	60	0	22	0	0	0	0	0	3	0	65	0	0	0	0	0	0	1	0	0	0	0	2733
1	0	806	1	2	0	0	2	0	1360	9	241	5039	0	4	0	0	144	119	0	211	18	0	0	75	27	0	0	232	0	0	330	0	0	128	125	189	464	0	107	185	113	0	0	94	0	11	80	0	0	0	21	0	89	0	63	0	0	0	0	0	58	3	2	0	8	0	3	0	0	0	94	15	0	0	0	0	0	0	0	0	5	166	3	1	0	0	23	196	3	0	0	0	0	67	0	1	39	0	27	0	0	0	0	0	0	0	3	0	0	0	0	0	0	31	0	0	0	0	1963
5902	3478	490	1	425	560	0	414	1	39	1385	1264	178	0	353	951	0	176	26	1206	649	683	0	0	726	27	825	0	0	0	708	1	0	1	189	0	0	1	0	49	5	244	0	0	1	0	20	1	0	115	0	0	89	7	0	1	337	0	0	0	0	1	1	5	10	0	0	16	0	0	83	4	1	0	0	7	1	303	101	0	2	66	0	82	0	36	0	29	0	150	113	0	0	0	0	0	150	0	60	14	0	97	0	0	0	106	0	4	0	2	71	0	0	1	48	0	8	2	0	2784
5338	3397	101	0	253	489	3	777	1	31	464	743	495	0	698	1177	0	31	0	1256	401	423	0	0	435	12	641	1	1	0	125	0	0	0	41	3	3	0	0	11	5	137	0	1	2	0	0	14	0	74	1	14	2	45	0	79	230	0	0	0	0	6	0	5	25	1	0	6	0	0	75	7	0	0	0	0	0	58	32	0	0	2	98	1	0	25	0	7	0	165	89	0	0	0	0	0	386	15	71	24	1	294	0	0	0	153	0	3	0	1	71	0	0	0	70	0	10	0	0	2936
48	33	2	0	20	1	30	0	0	537	39	6	78	3	486	0	0	2	70	4	7	3	0	0	44	0	6	3	0	1	11	1	0	42	0	0	0	0	0	1	0	3	31	9	0	0	0	0	0	1	0	10	66	1	1	0	1	0	0	0	7	1	1	6	0	0	0	4	0	0	0	0	21	0	0	3	36	5	31	0	0	2	0	1	25	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	490
0	1	106	4	1	1	2	0	0	31	0	0	11	0	0	0	2	69	91	0	9	0	2	0	0	1018	0	0	29	41	0	7	0	0	31	2	15	0	0	26	44	7	2	3	3	0	3	3	0	15	0	8	0	17	0	6	0	0	3	0	0	52	0	5	2	6	0	7	0	0	1	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	16	1	0	0	0	3	1	2	1	0	2	0	18	0	0	0	5	0	0	0	0	0	0	1	0	0	4	2	0	0	0	0	894
556	2482	289	0	17	449	0	9	0	392	423	387	47	8	389	11	0	198	138	85	21	308	0	1971	246	2	122	3	24	0	1	0	0	0	75	165	11	2	0	1	28	11	11	0	89	0	0	71	0	64	1	53	0	48	0	24	8	0	0	0	6	17	0	38	173	65	1	45	2	0	2	15	0	14	0	0	0	0	0	0	1	66	3	75	71	2	0	24	5	11	70	0	0	0	5	2	1	8	1	30	0	0	41	0	0	1	0	117	0	0	6	0	0	0	12	0	0	1	0	3960
236	0	761	0	3	1732	9	0	0	0	1	0	0	0	0	0	0	118	59	4	2	0	0	0	0	14	177	0	60	0	0	4	0	0	265	6	199	48	0	14	83	1	0	0	230	0	0	12	0	0	0	12	0	19	0	27	1	0	0	0	0	39	0	82	24	16	0	14	0	0	0	31	75	0	0	0	0	0	0	0	1	219	26	33	0	0	0	3	74	0	0	0	0	0	154	0	0	0	0	12	0	0	149	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1104
420	45	1	0	89	18	0	26	0	0	1	9	1	607	0	7	0	2	4	52	3	1	0	2	0	11	26	316	15	1	0	35	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	1	0	0	0	5	0	0	3	0	0	0	90	3	0	11	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	1	31	2	0	0	17	0	0	1	1	0	0	0	0	0	0	0	62	0	0	16	0	0	0	1	0	0	0	0	3	0	0	0	1	18	3	0	0	440
