"feature","Sample.type","visit","mean","sd","median","incidence"
"N_0","control",1,198.489027777778,53.4693336528388,199.09875,1
"N_0","control",2,215.45625,44.1075532434639,215.45625,1
"N_0","patient",1,141.967282608696,48.3665644037626,146.84,1
"N_0","patient",2,124.526617647059,56.7174451085514,123.8275,1
"N_0","patient",3,135.298928571429,46.4557296676744,130.7725,1
"N_0","patient",4,139.025384615385,29.3370928434705,142.79,1
"N_0.25","control",1,140.542659299056,44.1347169896779,137.925664683334,1
"N_0.25","control",2,156.250463118704,40.9464414482201,156.250463118704,1
"N_0.25","patient",1,95.0344481138888,38.2042362460827,97.7119314797645,1
"N_0.25","patient",2,83.0584370471914,42.3628138505071,81.496111476182,1
"N_0.25","patient",3,91.4276842518758,36.7805584413196,86.4261252913842,1
"N_0.25","patient",4,92.6117932046219,22.2689098606624,96.3162541712558,1
"N_0.5","control",1,95.3391987629262,35.6300432479959,94.77358190799,1
"N_0.5","control",2,109.836444453918,36.3502727915138,109.836444453918,1
"N_0.5","patient",1,61.0302640795687,29.0241796965838,61.5410324757318,1
"N_0.5","patient",2,53.4999707179834,30.5881235227186,52.9549011913712,1
"N_0.5","patient",3,60.1110899055198,27.9587055357269,55.7335841912633,1
"N_0.5","patient",4,59.4658965434521,15.7196680734183,60.8374303741548,1
"N_1","control",1,44.3983915499565,21.632356069622,46.4307414698477,1
"N_1","control",2,56.0695191410399,24.2498214287827,56.0695191410399,1
"N_1","patient",1,26.7793531965191,16.3603017461585,21.4044986707981,1
"N_1","patient",2,23.9193492425973,15.9958424193784,24.4981531695581,1
"N_1","patient",3,28.3673776336025,16.0347322356742,25.2074311510838,1
"N_1","patient",4,26.3416725104667,7.75031086815268,26.0549141394236,1
"N_2","control",1,17.869687990803,9.89218449469906,18.6813955589371,1
"N_2","control",2,25.2009916841268,9.75597836761246,25.2009916841268,1
"N_2","patient",1,11.2388334314871,7.25918438610434,8.85130413081144,1
"N_2","patient",2,10.0372697428602,6.99345735546265,9.51984465877254,1
"N_2","patient",3,12.7979541170171,8.20885317142967,10.354686258224,1
"N_2","patient",4,11.2233238173155,3.91014521845551,9.90749061628439,1
"N_4","control",1,10.3018348025338,5.26366639162972,10.0002006493053,1
"N_4","control",2,14.634223835657,3.20766625970069,14.634223835657,1
"N_4","patient",1,6.91737558936882,4.03140204336463,5.77623890543513,1
"N_4","patient",2,5.97557355883759,3.78534564491639,5.3502560140798,1
"N_4","patient",3,7.81345132561975,4.85220398630586,5.99098578784575,1
"N_4","patient",4,6.91407064224275,2.52078945232972,6.62514857002278,1
"N_8","control",1,7.93576285144649,3.61673283999636,7.64861907450058,1
"N_8","control",2,10.9676234644763,1.13840989118685,10.9676234644763,1
"N_8","patient",1,5.57385750977641,3.02876170386416,4.84976370760623,1
"N_8","patient",2,4.70102234542788,2.67077286090657,4.22863369107367,1
"N_8","patient",3,6.10971408313724,3.46079104593414,4.78626739908678,1
"N_8","patient",4,5.51017643450331,1.93156697359441,5.5723019111759,1
"N_Inf","control",1,6.19965884606641,2.47399629676201,5.99508399400752,1
"N_Inf","control",2,8.33041783136244,0.459458092499511,8.33041783136244,1
"N_Inf","patient",1,4.55613659883392,2.25715101505016,4.17107806067256,1
"N_Inf","patient",2,3.83888493546152,1.93608355486822,3.53119877025125,1
"N_Inf","patient",3,4.8781437222232,2.40731126093576,4.08612017812722,1
"N_Inf","patient",4,4.48763211131888,1.44042045955482,4.58831431037251,1
