"feature","Sample.type.Drug.Before","visit","mean","sd","median","incidence"
"N_0","1",1,198.489027777778,53.4693336528388,199.09875,1
"N_0","1",2,215.45625,44.1075532434639,215.45625,1
"N_0","patient FALSE .",1,154.24475,48.1473157560615,154.69625,1
"N_0","patient FALSE .",2,123.153571428571,66.3710231994032,120.335,1
"N_0","patient FALSE .",3,122.515,50.9375461226785,120.83375,1
"N_0","patient FALSE .",4,145.096666666667,25.3117693804022,143.095,1
"N_0","patient TRUE .",1,132.523076923077,48.2483097194633,135.465,1
"N_0","patient TRUE .",2,125.48775,52.7223191253793,131.90125,1
"N_0","patient TRUE .",3,144.886875,43.6979599219378,142.98875,1
"N_0","patient TRUE .",4,133.821428571429,33.4510113155898,124.7925,1
"N_0.25","1",1,140.542659299056,44.1347169896779,137.925664683334,1
"N_0.25","1",2,156.250463118704,40.9464414482201,156.250463118704,1
"N_0.25","patient FALSE .",1,103.175935384065,38.9400668241331,102.415412058098,1
"N_0.25","patient FALSE .",2,82.6533025917459,48.7666514585852,77.6522454972061,1
"N_0.25","patient FALSE .",3,82.0942759739455,38.2135868681263,78.959348835384,1
"N_0.25","patient FALSE .",4,96.6961800737559,18.6213453563353,97.1093108477176,1
"N_0.25","patient TRUE .",1,88.7717655983683,37.9591093473558,91.8057748460437,1
"N_0.25","patient TRUE .",2,83.3420311660032,40.0592020177547,86.7650674658574,1
"N_0.25","patient TRUE .",3,98.4277404603236,36.5873724661029,96.3408983922716,1
"N_0.25","patient TRUE .",4,89.1108901739357,25.9203655175993,86.4486175127389,1
"N_0.5","1",1,95.3391987629262,35.6300432479959,94.77358190799,1
"N_0.5","1",2,109.836444453918,36.3502727915138,109.836444453918,1
"N_0.5","patient FALSE .",1,65.455703332117,30.4094341811103,61.4511858756851,1
"N_0.5","patient FALSE .",2,53.6138557253212,35.1624757313447,52.9549011913712,1
"N_0.5","patient FALSE .",3,53.4942164031705,26.8519412051539,50.5367747841704,1
"N_0.5","patient FALSE .",4,61.8631782586573,12.4376151759255,64.0664114280877,1
"N_0.5","patient TRUE .",1,57.6260800391469,28.6702048414954,63.1550968012825,1
"N_0.5","patient TRUE .",2,53.4202512128469,28.9666096515621,54.877796088767,1
"N_0.5","patient TRUE .",3,65.0737450322817,29.5129618223107,62.6472421070415,1
"N_0.5","patient TRUE .",4,57.4110836447047,18.8316518379073,60.1868389543809,1
"N_1","1",1,44.3983915499565,21.632356069622,46.4307414698477,1
"N_1","1",2,56.0695191410399,24.2498214287827,56.0695191410399,1
"N_1","patient FALSE .",1,27.3259530756496,18.2583438113768,20.4197124440314,1
"N_1","patient FALSE .",2,24.3119906979638,18.8025152096488,25.3961167199792,1
"N_1","patient FALSE .",3,24.5833827311201,12.6648620542637,23.708561180337,1
"N_1","patient FALSE .",4,26.9679968980047,5.35238929101277,26.4200758917069,1
"N_1","patient TRUE .",1,26.3588917510342,15.4997806068247,26.6376513873767,1
"N_1","patient TRUE .",2,23.6445002238408,14.7980086311058,23.6886274356973,1
"N_1","patient TRUE .",3,31.2053738104643,18.4782696898207,27.5623141924965,1
"N_1","patient TRUE .",4,25.8048230354342,9.7740841180549,22.3886420247348,1
"N_2","1",1,17.869687990803,9.89218449469906,18.6813955589371,1
"N_2","1",2,25.2009916841268,9.75597836761246,25.2009916841268,1
"N_2","patient FALSE .",1,11.1875824478337,8.65823683327186,8.63503193865154,1
"N_2","patient FALSE .",2,10.16983059265,8.46393009505098,9.41982013870412,1
"N_2","patient FALSE .",3,10.6985515341357,5.51997078118204,10.553913239944,1
"N_2","patient FALSE .",4,11.3276168943606,3.25094401981637,10.4532713719158,1
"N_2","patient TRUE .",1,11.2782572650666,6.35462179340856,9.50249562930251,1
"N_2","patient TRUE .",2,9.94447714800726,6.25830421911081,9.68190509305832,1
"N_2","patient TRUE .",3,14.3725060541782,9.83709793364651,10.1038624224412,1
"N_2","patient TRUE .",4,11.1339297512768,4.66380461790959,9.38031096987099,1
"N_4","1",1,10.3018348025338,5.26366639162972,10.0002006493053,1
"N_4","1",2,14.634223835657,3.20766625970069,14.634223835657,1
"N_4","patient FALSE .",1,6.98545707329091,5.05191198364133,5.4910824996824,1
"N_4","patient FALSE .",2,5.92988548223959,4.58747228183009,5.15537120459225,1
"N_4","patient FALSE .",3,6.4959767169205,3.27797429481744,6.5187196208711,1
"N_4","patient FALSE .",4,7.08594693416256,2.56644258132133,6.38007589891248,1
"N_4","patient TRUE .",1,6.86500521712107,3.26305220039661,6.5057103677246,1
"N_4","patient TRUE .",2,6.00755521245619,3.38242540757629,5.71897285941174,1
"N_4","patient TRUE .",3,8.80155728214418,5.78322259787515,5.53359188253192,1
"N_4","patient TRUE .",4,6.76674810631149,2.67675922445183,6.62514857002278,1
"N_8","1",1,7.93576285144649,3.61673283999636,7.64861907450058,1
"N_8","1",2,10.9676234644763,1.13840989118685,10.9676234644763,1
"N_8","patient FALSE .",1,5.66295835306465,3.85125146229473,4.51146204334055,1
"N_8","patient FALSE .",2,4.60772217399509,3.21399255623308,4.08319356209474,1
"N_8","patient FALSE .",3,5.12482134305051,2.38066651110152,5.05183612597902,1
"N_8","patient FALSE .",4,5.71057399660917,2.11041013335151,5.21660047594015,1
"N_8","patient TRUE .",1,5.50531839955469,2.38371288003067,5.26887871517116,1
"N_8","patient TRUE .",2,4.76633246543083,2.40477223019557,4.65431767424628,1
"N_8","patient TRUE .",3,6.84838363820228,4.09143637879584,4.55274814778286,1
"N_8","patient TRUE .",4,5.33840709555543,1.91723624822287,5.5723019111759,1
"N_Inf","1",1,6.19965884606641,2.47399629676201,5.99508399400752,1
"N_Inf","1",2,8.33041783136244,0.459458092499511,8.33041783136244,1
"N_Inf","patient FALSE .",1,4.61941057848743,2.87651393926822,3.76250846702136,1
"N_Inf","patient FALSE .",2,3.73277458862438,2.29054206290875,3.42472266244059,1
"N_Inf","patient FALSE .",3,4.16716246120807,1.70313674705329,4.12593494599819,1
"N_Inf","patient FALSE .",4,4.67156642764922,1.61315944670425,4.31484123411483,1
"N_Inf","patient TRUE .",1,4.50746430679276,1.76880964346811,4.52985574192459,1
"N_Inf","patient TRUE .",2,3.91316217824751,1.77517535669869,3.88233182290792,1
"N_Inf","patient TRUE .",3,5.41137966798455,2.81642765075713,4.06303497333738,1
"N_Inf","patient TRUE .",4,4.32997412589287,1.38499897245871,4.58831431037251,1
