"feature","Drug.Before.Diet","Sample.type.1","mean","sd","median","incidence"
"N_0","DrugBefore_NO","control",199.379736842105,53.1346749876012,198.5775,1
"N_0","DrugBefore_NO","patient.after.diet",129.881315789474,49.798888635025,139.12,1
"N_0","DrugBefore_NO","patient.before.diet",154.24475,48.1473157560615,154.69625,1
"N_0","DrugBefore_YES","control",215.5,NA,215.5,1
"N_0","DrugBefore_YES","patient.after.diet",134.0289,44.1447278732127,133.1475,1
"N_0","DrugBefore_YES","patient.before.diet",132.523076923077,48.2483097194633,135.465,1
"N_0.25","DrugBefore_NO","control",141.552549506015,44.1682592373764,137.523629589598,1
"N_0.25","DrugBefore_NO","patient.after.diet",86.911360759391,36.624885872041,88.5845031189138,1
"N_0.25","DrugBefore_NO","patient.before.diet",103.175935384065,38.9400668241331,102.415412058098,1
"N_0.25","DrugBefore_YES","control",152.770353006137,NA,152.770353006137,1
"N_0.25","DrugBefore_YES","patient.after.diet",89.7847386624068,34.6771869040447,90.5853888961779,1
"N_0.25","DrugBefore_YES","patient.before.diet",88.7717655983683,37.9591093473558,91.8057748460437,1
"N_0.5","DrugBefore_NO","control",96.4425295792274,35.928596303494,93.103898450873,1
"N_0.5","DrugBefore_NO","patient.after.diet",56.1811241078008,25.9059952617625,53.711839909739,1
"N_0.5","DrugBefore_NO","patient.before.diet",65.455703332117,30.4094341811103,61.4511858756851,1
"N_0.5","DrugBefore_YES","control",103.370404635187,NA,103.370404635187,1
"N_0.5","DrugBefore_YES","patient.after.diet",58.2668023159862,26.1304128817539,60.1003365741347,1
"N_0.5","DrugBefore_YES","patient.before.diet",57.6260800391469,28.6702048414954,63.1550968012825,1
"N_1","DrugBefore_NO","control",45.5324119055335,22.0959086061165,46.6672229635339,1
"N_1","DrugBefore_NO","patient.after.diet",25.2364322452892,13.1084628373402,25.3961167199792,1
"N_1","DrugBefore_NO","patient.before.diet",27.3259530756496,18.2583438113768,20.4197124440314,1
"N_1","DrugBefore_YES","control",46.1942599761615,NA,46.1942599761615,1
"N_1","DrugBefore_YES","patient.after.diet",26.6688701588065,14.7132085107123,24.4981531695581,1
"N_1","DrugBefore_YES","patient.before.diet",26.3588917510342,15.4997806068247,26.6376513873767,1
"N_2","DrugBefore_NO","control",18.7183823491838,10.1390087303807,19.141673880635,1
"N_2","DrugBefore_NO","patient.after.diet",10.7024118273436,5.95983372817953,9.96443256184139,1
"N_2","DrugBefore_NO","patient.before.diet",11.1875824478337,8.65823683327186,8.63503193865154,1
"N_2","DrugBefore_YES","control",16.4071025682149,NA,16.4071025682149,1
"N_2","DrugBefore_YES","patient.after.diet",11.6944931268974,7.21855958891015,9.8439655273441,1
"N_2","DrugBefore_YES","patient.before.diet",11.2782572650666,6.35462179340856,9.50249562930251,1
"N_4","DrugBefore_NO","control",10.8236977961108,5.3338276447654,11.0153476906776,1
"N_4","DrugBefore_NO","patient.after.diet",6.47372317274608,3.47411316888376,5.88176494356975,1
"N_4","DrugBefore_NO","patient.before.diet",6.98545707329091,5.05191198364133,5.4910824996824,1
"N_4","DrugBefore_YES","control",9.05121599081722,NA,9.05121599081722,1
"N_4","DrugBefore_YES","patient.after.diet",7.11420988503583,4.16306269017511,5.56712453291855,1
"N_4","DrugBefore_YES","patient.before.diet",6.86500521712107,3.26305220039661,6.5057103677246,1
"N_8","DrugBefore_NO","control",8.29754837966154,3.64318143348031,8.78128797581973,1
"N_8","DrugBefore_NO","patient.after.diet",5.11928564504861,2.54422335230628,4.58434929072348,1
"N_8","DrugBefore_NO","patient.before.diet",5.66295835306465,3.85125146229473,4.51146204334055,1
"N_8","DrugBefore_YES","control",7.12555904142019,NA,7.12555904142019,1
"N_8","DrugBefore_YES","patient.after.diet",5.59276973715258,2.96630742714658,4.58011713206684,1
"N_8","DrugBefore_YES","patient.before.diet",5.50531839955469,2.38371288003067,5.26887871517116,1
"N_Inf","DrugBefore_NO","control",6.45083867793728,2.49313276236363,6.70188716140197,1
"N_Inf","DrugBefore_NO","patient.after.diet",4.16641028702708,1.85355016320855,3.78956699720884,1
"N_Inf","DrugBefore_NO","patient.before.diet",4.61941057848743,2.87651393926822,3.76250846702136,1
"N_Inf","DrugBefore_YES","control",5.68876001111189,NA,5.68876001111189,1
"N_Inf","DrugBefore_YES","patient.after.diet",4.50929912030406,2.09846474691823,4.08852116021989,1
"N_Inf","DrugBefore_YES","patient.before.diet",4.50746430679276,1.76880964346811,4.52985574192459,1
