"feature","Sample.type","visit","mean","sd","median","incidence"
"2161","control",1,198.447734005997,53.5103266158721,198.666122545991,1
"2161","control",2,215.442020120433,44.2394050226013,215.442020120433,1
"2161","patient",1,141.949589744361,48.4179978325888,146.674891861573,1
"2161","patient",2,124.448632618814,56.6448275336983,123.795296510054,1
"2161","patient",3,135.297213169994,46.4778435011427,130.520752483526,1
"2161","patient",4,139.103747146835,29.2074048765821,142.900381134161,1
"1128.62068965517","control",1,149.204801166733,40.5742798076903,147.49575701296,1
"1128.62068965517","control",2,163.281938491646,33.1868200447663,163.281938491646,1
"1128.62068965517","patient",1,107.889938450589,35.6160810494836,111.911840144987,1
"1128.62068965517","patient",2,95.1922994616765,42.95088381859,95.6707488653384,1
"1128.62068965517","patient",3,103.815953999621,34.8815186891163,99.4682252124762,1
"1128.62068965517","patient",4,105.75188609662,21.7523877287669,109.769538693149,1
"1","control",1,0.99999999999998,1.29965373640593e-13,0.99999999999997,1
"1","control",2,0.999999999999956,1.88411095042053e-14,0.999999999999956,1
"1","patient",1,0.999999999999997,1.06994234648902e-13,1.00000000000002,1
"1","patient",2,1.00000000000001,1.32525366268044e-13,0.999999999999989,1
"1","patient",3,1.00000000000001,9.17647570510688e-14,1,1
"1","patient",4,0.999999999999995,1.46448538229727e-13,0.999999999999954,1
"2220","control",1,200.701014954021,54.1115862916017,201.009453472298,1
"2220","control",2,217.802812815154,44.8147384218826,217.802812815154,1
"2220","patient",1,143.516788639364,49.027342402618,148.29021010787,1
"2220","patient",2,123.121179384322,58.0516671147033,124.465951298399,1
"2220","patient",3,136.750986745596,47.002734575563,131.957180090462,1
"2220","patient",4,140.650504109012,29.5442395075646,144.425693451702,1
"2240","control",1,198.479887157035,54.4516985027846,201.132824820144,1
"2240","control",2,218.592324914193,45.0084745042215,218.592324914193,1
"2240","patient",1,144.041416745084,49.2316893892153,148.831357285706,1
"2240","patient",2,123.567271850915,58.2714101479416,124.918469000315,1
"2240","patient",3,137.237862691438,47.1782724584115,132.438178813883,1
"2240","patient",4,141.168539581346,29.6569210985643,144.93627408972,1
"2256.24137931034","control",1,199.066546975079,54.6079204494003,201.720757047687,1
"2256.24137931034","control",2,219.220105333862,45.1629939264662,219.220105333862,1
"2256.24137931034","patient",1,144.232900852248,50.5445999719703,146.149332751979,1
"2256.24137931034","patient",2,123.922211269338,58.4463010270291,125.278470596207,1
"2256.24137931034","patient",3,137.625253765044,47.3178511168254,132.820866948404,1
"2256.24137931034","patient",4,141.580727465696,29.7465342959662,145.342432106195,1
"2272","control",1,199.65017894943,54.7633844473003,202.305455483298,1
"2272","control",2,219.84452537021,45.3170968637704,219.84452537021,1
"2272","patient",1,144.647687241888,50.7103947439171,146.566665589913,1
"2272","patient",2,124.275453179116,58.6203990924921,125.636706779649,1
"2272","patient",3,138.010793853809,47.4566822065055,133.201702093595,1
"2272","patient",4,141.990948363255,29.8356814379253,145.746565264382,1
"2394","control",1,204.252025224217,57.7492233776926,207.662994556955,1
"2394","control",2,224.499254728388,46.4785149191114,224.499254728388,1
"2394","patient",1,147.744172909849,51.9519206447985,149.682071779741,1
"2394","patient",2,126.915148891161,59.9227812856493,128.31238474766,1
"2394","patient",3,140.891917721332,48.4915596259282,136.046801489285,1
"2394","patient",4,145.056477803886,30.5007441554164,148.763851477264,1
"2411","control",1,204.848551019952,57.9128132498409,208.29366297449,1
"2411","control",2,225.133463035874,46.6384518344492,225.133463035874,1
"2411","patient",1,148.166673181712,52.1218407295041,150.107141156537,1
"2411","patient",2,127.275702894144,60.1008636460596,128.677676094452,1
"2411","patient",3,145.285614097802,48.1615368974019,138.586180107726,1
"2411","patient",4,145.475189069965,30.5914423099161,149.175595544262,1
"2417","control",1,205.058359387675,57.9703604656398,208.515465822998,1
"2417","control",2,225.356488574232,46.6947898085971,225.356488574232,1
"2417","patient",1,148.315283522679,52.1816379632677,150.25665441807,1
"2417","patient",2,134.027393418668,55.9090353028063,130.136696514621,1
"2417","patient",3,145.427038778252,48.2120277331353,138.714430744339,1
"2417","patient",4,145.622491856051,30.6233426355163,149.320425642616,1
"2424","control",1,205.302657568566,58.0373741820633,208.773721133291,1
"2424","control",2,225.616152848393,46.7604447629537,225.616152848393,1
"2424","patient",1,148.789169808262,53.5221092948744,153.666756380458,1
"2424","patient",2,134.182637557203,55.9778847050101,130.304024960824,1
"2424","patient",3,145.591732141249,48.2708148841937,138.863773594449,1
"2424","patient",4,145.794032216067,30.6604872192064,149.489072266586,1
"2431","control",1,205.546443005359,58.1042542023731,209.031424753632,1
"2431","control",2,225.875246639859,46.8260215047485,225.875246639859,1
"2431","patient",1,148.961970046109,53.5933642038834,153.845858825675,1
"2431","patient",2,128.486824776301,53.1966943069721,129.105156069618,1
"2431","patient",3,145.756101674973,48.3294746287619,139.012813202749,1
"2431","patient",4,145.96523710161,30.6975541874892,149.657373856176,1
"2472","control",1,206.964156834207,58.4933276722757,210.529893174259,1
"2472","control",2,227.381483404733,47.2085465631061,227.381483404733,1
"2472","patient",1,149.966976349053,54.0082196236383,154.888114607594,1
"2472","patient",2,130.092824112783,55.6945132064531,131.443355736235,1
"2472","patient",3,146.712416252799,48.6705248796535,139.879746509111,1
"2472","patient",4,146.961352324924,30.9131249849693,150.636295440316,1
"2491","control",1,207.615339681831,58.6721160150892,211.21806626311,1
"2491","control",2,261.579232325819,NA,261.579232325819,1
"2491","patient",1,150.428651613188,54.1990435306591,155.367245635885,1
"2491","patient",2,130.495557053972,55.8778051518421,131.890519103799,1
"2491","patient",3,147.151923279328,48.8271289434382,140.278065941758,1
"2491","patient",4,147.419166707376,31.0121499098105,151.086035146776,1
"2502","control",1,207.990685263972,58.7751935230079,211.614705454868,1
"2502","control",2,262.049784053192,NA,262.049784053192,1
"2502","patient",1,155.87665386268,50.1113667660683,158.34592057113,1
"2502","patient",2,130.72776906865,55.9835121978612,132.148430301246,1
"2502","patient",3,147.40533128169,48.9173828445285,140.507694896458,1
"2502","patient",4,147.683133892322,31.0692319747755,151.345297302607,1
"2542","control",1,206.40455623121,60.0002473297972,211.718112169034,1
"2542","control",2,263.748555712064,NA,263.748555712064,1
"2542","patient",1,156.875039700016,50.4789787326683,159.340373493842,1
"2542","patient",2,131.566398276889,56.3654086719087,133.080371126744,1
"2542","patient",3,148.320464737507,49.2430714435937,141.336763487179,1
"2542","patient",4,148.636417229837,31.275297326816,152.28128905751,1
"2605","control",1,208.496881060972,60.6021558221225,213.800634401958,1
"2605","control",2,266.38582155909,NA,266.38582155909,1
"2605","patient",1,163.954210714202,45.886075304259,163.578631022042,1
"2605","patient",2,132.869306910808,56.9591551163975,134.529833161512,1
"2605","patient",3,149.742100728571,49.7482403800577,142.624103831678,1
"2605","patient",4,150.117348883396,31.5952020450601,153.734429022082,1
"2628","control",1,209.251689798426,60.8195140661822,214.551036131192,1
"2628","control",2,267.337254247971,NA,267.337254247971,1
"2628","patient",1,161.19216553838,44.972530198996,161.443448777169,1
"2628","patient",2,133.33965105902,57.1736216212941,135.053565918297,1
"2628","patient",3,150.255268171254,49.9303524230668,143.088616225713,1
"2628","patient",4,150.651921926126,31.7106218494122,154.258693558816,1
"2641","control",1,209.676221375408,60.9418152958226,214.972888165608,1
"2641","control",2,267.872381650003,NA,267.872381650003,1
"2641","patient",1,162.528374711877,46.2547572072896,164.446943692622,1
"2641","patient",2,133.604264855593,57.2943091150576,135.348330593677,1
"2641","patient",3,150.543966024065,50.032748389618,143.349900109621,1
"2641","patient",4,150.952661190941,31.7755430671741,154.553569265691,1
"2670","control",1,210.617860738094,61.2132191736354,215.908071618212,1
"2670","control",2,269.05934807664,NA,269.05934807664,1
"2670","patient",1,162.47161383039,47.9087609016306,162.453782245235,1
"2670","patient",2,134.191391535445,57.5621669146072,136.002654281409,1
"2670","patient",3,151.184510191124,50.259790485293,143.9295130117,1
"2670","patient",4,151.619917411161,31.9195584450964,155.207651280726,1
"2697","control",1,211.487956916591,61.4641640428447,216.771579438933,1
"2697","control",2,270.156153533594,NA,270.156153533594,1
"2697","patient",1,163.139528426354,48.14241118468,163.097664091778,1
"2697","patient",2,134.734152386802,57.809876887058,136.607904186069,1
"2697","patient",3,147.194197115314,49.8089382976836,142.705384894672,1
"2697","patient",4,152.236719150809,32.0526552522281,155.802786146184,1
"2778","control",1,214.061058542185,62.2071845462547,219.321758529915,1
"2778","control",2,273.399816908803,NA,273.399816908803,1
"2778","patient",1,168.245945084544,48.8591081925198,167.679591148853,1
"2778","patient",2,136.340632319752,58.5435770627708,138.401470108509,1
"2778","patient",3,148.903812710693,50.4378784942256,144.397140991059,1
"2778","patient",4,154.062135546285,32.4464337137481,157.555324142249,1
"2801","control",1,214.781778367055,62.4155478844092,220.035153852991,1
"2801","control",2,274.308396357834,NA,274.308396357834,1
"2801","patient",1,172.201363584684,49.0486985615093,174.101003296242,1
"2801","patient",2,136.790985777689,58.7493988752291,138.904853809091,1
"2801","patient",3,149.383051195738,50.6138552452691,144.871278951529,1
"2801","patient",4,154.573802139838,32.5567893786715,158.045804837028,1
"2938","control",1,217.278629640277,65.677505781078,218.657286099108,1
"2938","control",2,279.611364583999,NA,279.611364583999,1
"2938","patient",1,175.592553992356,50.179227521536,177.478411637403,1
"2938","patient",2,139.422740785144,59.9533939715667,141.85180918444,1
"2938","patient",3,152.183414376963,51.6391826736312,147.640954074537,1
"2938","patient",4,157.56321836085,33.2015428371985,160.904763219686,1
"2945","control",1,217.490792205853,65.7418529986578,218.852165556888,1
"2945","control",2,279.877464747271,NA,279.877464747271,1
"2945","patient",1,175.762799582406,50.2361220158832,177.647920734373,1
"2945","patient",2,139.554947733144,60.0139322222906,142.000095417128,1
"2945","patient",3,155.79878816245,52.7231762866715,149.216628633309,1
"2945","patient",4,157.713360995748,33.2339312214263,161.048051870175,1
"3042","control",1,220.394392631594,66.6233974571981,221.514761368447,1
"3042","control",2,283.518461955791,NA,283.518461955791,1
"3042","patient",1,178.092868087645,51.0161447955078,179.967476533859,1
"3042","patient",2,141.365310130216,60.8434413561735,144.03308156702,1
"3042","patient",3,160.696730326831,55.3940521510357,163.718064081591,1
"3042","patient",4,159.768981986203,33.6775026816113,163.006924476929,1
"3055","control",1,220.778489004573,66.7401374983351,221.866357265069,1
"3055","control",2,284,NA,284,1
"3055","patient",1,178.401108506179,51.1195188531407,180.274265427632,1
"3055","patient",2,141.604931761253,60.9533111567379,144.302516956448,1
"3055","patient",3,163.713864956411,58.1304580222,176.752281386311,1
"3055","patient",4,160.041015983482,33.7362283626593,163.265748733788,1
"3064","control",1,221.043718154674,66.8207670942688,222.10906002081,1
"3064","control",2,NA,NA,NA,NA
"3064","patient",1,178.613957873327,51.1909271741127,180.486104110031,1
"3064","patient",2,141.770416504635,61.0291984717199,144.488639485668,1
"3064","patient",3,163.902433462881,58.2005746501422,176.969327561477,1
"3064","patient",4,160.228877754381,33.7767874468266,163.444432668482,1
"3105","control",1,222.244984463184,67.1861298854683,223.207445117699,1
"3105","control",2,NA,NA,NA,NA
"3105","patient",1,179.577991631726,51.5146082728494,181.445474317125,1
"3105","patient",2,147.111314413212,61.7263463524004,153.116736918161,1
"3105","patient",3,164.756671564109,58.5179051535553,177.952640215711,1
"3105","patient",4,161.079884008908,33.9605655841284,164.253296816597,1
"3107","control",1,222.303291871196,67.2038714098999,223.260723280098,1
"3107","control",2,NA,NA,NA,NA
"3107","patient",1,176.437865338649,52.1786990768409,175.022279235661,1
"3107","patient",2,147.149024174409,61.7430770263387,153.157244939567,1
"3107","patient",3,164.79814237469,58.5332977965011,178.000379899094,1
"3107","patient",4,161.121196565286,33.9694893046496,164.292539937457,1
"3209","control",1,225.241981423057,68.0989404654343,225.941702577357,1
"3209","control",2,NA,NA,NA,NA
"3209","patient",1,178.765693354871,52.9995393052931,177.190416691249,1
"3209","patient",2,149.050842496138,62.5871086824803,155.201441493695,1
"3209","patient",3,166.889187129843,59.3078609353272,180.407791766005,1
"3209","patient",4,166.322044234635,33.9785916466172,166.398265141827,1
"3223","control",1,225.640083004071,68.2203306671076,226.304256455995,1
"3223","control",2,NA,NA,NA,NA
"3223","patient",1,179.081076228326,53.1109787486116,177.484309393971,1
"3223","patient",2,149.308670910712,62.701568935222,155.478762160352,1
"3223","patient",3,167.172599180087,59.4126028220623,180.734119572914,1
"3223","patient",4,166.633933001573,35.7032042549834,166.803355190641,1
"3317","control",1,228.281399914194,69.0265578156724,228.868789057539,1
"3317","control",2,NA,NA,NA,NA
"3317","patient",1,181.173731562692,53.8518048818745,179.435288724766,1
"3317","patient",2,148.030939541235,65.6669787995555,149.590303866302,1
"3317","patient",3,169.053840906405,60.1063796312022,182.900394378533,1
"3317","patient",4,168.509363894991,36.143911566499,168.628104022007,1
"3383.86206896552","control",1,230.131377595744,69.5921050193154,230.743004765311,1
"3383.86206896552","control",2,NA,NA,NA,NA
"3383.86206896552","patient",1,187.282734178484,54.0309458545412,187.739384566077,1
"3383.86206896552","patient",2,149.218845230913,66.2263055114498,150.901549759806,1
