"feature","Drug.Before.Diet","Sample.type.1","mean","sd","median","incidence"
"2161","DrugBefore_NO","control",199.346415652232,53.1822635878981,198.181182401634,1
"2161","DrugBefore_NO","patient.after.diet",129.930707530914,49.8144221793422,139.074683791615,1
"2161","DrugBefore_NO","patient.before.diet",154.256391242431,48.1605712801048,154.685191150682,1
"2161","DrugBefore_YES","control",215.361354956407,NA,215.361354956407,1
"2161","DrugBefore_YES","patient.after.diet",133.97812034885,44.0593254016106,133.030328522114,1
"2161","DrugBefore_YES","patient.before.diet",132.482819361229,48.3218889375119,135.523719427894,1
"1128.62068965517","DrugBefore_NO","control",150.156751677116,40.3909759621285,145.848071768567,1
"1128.62068965517","DrugBefore_NO","patient.after.diet",99.2430995815178,37.5584801944813,103.015789922534,1
"1128.62068965517","DrugBefore_NO","patient.before.diet",116.166545030595,34.3551423476885,117.651571610349,1
"1128.62068965517","DrugBefore_YES","control",159.272016119284,NA,159.272016119284,1
"1128.62068965517","DrugBefore_YES","patient.after.diet",102.433922962017,33.2216135748294,103.555317766541,1
"1128.62068965517","DrugBefore_YES","patient.before.diet",101.52331800443,36.5976667083802,102.509882844746,1
"1","DrugBefore_NO","control",0.99999999999998,1.26289722120391e-13,0.999999999999969,1
"1","DrugBefore_NO","patient.after.diet",1.00000000000004,1.32416209078998e-13,1.00000000000001,1
"1","DrugBefore_NO","patient.before.diet",0.999999999999984,1.29874789136655e-13,0.999999999999996,1
"1","DrugBefore_YES","control",0.99999999999994,NA,0.99999999999994,1
"1","DrugBefore_YES","patient.after.diet",0.999999999999978,1.10343004441105e-13,0.999999999999988,1
"1","DrugBefore_YES","patient.before.diet",1.00000000000001,8.99012991539208e-14,1.00000000000002,1
"2220","DrugBefore_NO","control",201.59061167975,53.7773279760802,200.393303401789,1
"2220","DrugBefore_NO","patient.after.diet",129.280463400631,51.0047555535021,135.158636888466,1
"2220","DrugBefore_NO","patient.before.diet",156.014125951657,48.8277812750918,156.31565359168,1
"2220","DrugBefore_YES","control",218.002272887426,NA,218.002272887426,1
"2220","DrugBefore_YES","patient.after.diet",135.434435871732,44.5540490856555,134.38068787702,1
"2220","DrugBefore_YES","patient.before.diet",133.903452245292,48.87087678606,137.058870231054,1
"2240","DrugBefore_NO","control",199.580854870292,54.1437628657193,198.020967333648,1
"2240","DrugBefore_NO","patient.after.diet",129.752495169389,51.2008679484906,135.700147219463,1
"2240","DrugBefore_NO","patient.before.diet",156.602638854818,49.0516755060889,156.861185172988,1
"2240","DrugBefore_YES","control",218.887343832725,NA,218.887343832725,1
"2240","DrugBefore_YES","patient.after.diet",135.922101152131,44.7195917804978,134.832708250801,1
"2240","DrugBefore_YES","patient.before.diet",134.378938199136,49.0548443518422,137.573203898652,1
"2256.24137931034","DrugBefore_NO","control",200.165540627173,54.2984141187237,198.588482115509,1
"2256.24137931034","DrugBefore_NO","patient.after.diet",130.128109497171,51.3569444809473,136.131148342461,1
"2256.24137931034","DrugBefore_NO","patient.before.diet",157.920082625015,52.1385240755435,165.162498260798,1
"2256.24137931034","DrugBefore_YES","control",219.591777954947,NA,219.591777954947,1
"2256.24137931034","DrugBefore_YES","patient.after.diet",136.310096765,44.8512569100332,135.192286078848,1
"2256.24137931034","DrugBefore_YES","patient.before.diet",134.757159624948,49.2012589043155,137.982517530914,1
"2272","DrugBefore_NO","control",200.747170184138,54.452314077883,199.152727741649,1
"2272","DrugBefore_NO","patient.after.diet",130.501959065615,51.5123074334815,136.56021032269,1
"2272","DrugBefore_NO","patient.before.diet",158.390433274032,52.3263468790594,165.599895505477,1
"2272","DrugBefore_YES","control",220.293029566258,NA,220.293029566258,1
"2272","DrugBefore_YES","patient.after.diet",136.696217214417,44.9822471691401,135.550075406787,1
"2272","DrugBefore_YES","patient.before.diet",135.133478450405,49.347006328062,138.389943017139,1
"2394","DrugBefore_NO","control",205.381881671769,57.2985117029917,206.661321459859,1
"2394","DrugBefore_NO","patient.after.diet",133.296647184868,52.6743548000535,139.770152818452,1
"2394","DrugBefore_NO","patient.before.diet",161.902054883524,53.7345962832818,168.848624262848,1
"2394","DrugBefore_YES","control",225.538924624165,NA,225.538924624165,1
"2394","DrugBefore_YES","patient.after.diet",139.580951699205,45.9596621720703,138.221579265619,1
"2394","DrugBefore_YES","patient.before.diet",137.94256231269,50.4371287832941,141.436904743442,1
"2411","DrugBefore_NO","control",205.975738558622,57.4601075337968,207.254429417495,1
"2411","DrugBefore_NO","patient.after.diet",133.6785072133,52.8332245232375,140.209070273779,1
"2411","DrugBefore_NO","patient.before.diet",162.381238682844,53.9275771547863,169.289644108841,1
"2411","DrugBefore_YES","control",226.256186894406,NA,226.256186894406,1
"2411","DrugBefore_YES","patient.after.diet",142.087023235329,45.831823366703,142.199707323977,1
