"feature","Sample.type","visit","mean","sd","median","incidence"
"NE_0.25","control",1,0.69836460584069,0.0498298227215897,0.710764311671631,1
"NE_0.25","control",2,0.720860232320452,0.042666418064197,0.720860232320452,1
"NE_0.25","patient",1,0.655236153738505,0.0504976962968736,0.660419641258616,1
"NE_0.25","patient",2,0.642810596498754,0.0675600902992382,0.657145795265937,1
"NE_0.25","patient",3,0.662417180236351,0.0523847652081496,0.671217992813386,1
"NE_0.25","patient",4,0.662554340534143,0.0276199119407792,0.67264787606925,1
"NE_0.5","control",1,0.469008779686128,0.0742159478688336,0.485972310702222,1
"NE_0.5","control",2,0.503119798114749,0.0660584349450761,0.503119798114749,1
"NE_0.5","patient",1,0.412803089563866,0.0682699537228466,0.41869403373862,1
"NE_0.5","patient",2,0.409420019473158,0.0822067358856033,0.424244498234315,1
"NE_0.5","patient",3,0.427676330498054,0.072075820914984,0.43263871380726,1
"NE_0.5","patient",4,0.424229053153417,0.0379825077259296,0.428987833092453,1
"NE_1","control",1,0.218867448650593,0.0719249769162157,0.236400464159355,1
"NE_1","control",2,0.254231152655041,0.060911226518603,0.254231152655041,1
"NE_1","patient",1,0.178472151801458,0.0583601630783657,0.166285047844092,1
"NE_1","patient",2,0.192962192193272,0.086654309091248,0.187496989563378,1
"NE_1","patient",3,0.198791054189356,0.0632377143836923,0.197101696782332,1
"NE_1","patient",4,0.189271409106166,0.0381852626235687,0.183709969033543,1
"NE_2","control",1,0.0927734520326514,0.0475483690353123,0.0847767497885389,1
"NE_2","control",2,0.114923513725987,0.0220239971598761,0.114923513725987,1
"NE_2","patient",1,0.0765009539349183,0.0303306089264794,0.0740518380152604,1
"NE_2","patient",2,0.0976858655764669,0.0924409003142923,0.0775965812723187,1
"NE_2","patient",3,0.0904226282255669,0.0385610478899116,0.0825515671300298,1
"NE_2","patient",4,0.0824835316958676,0.0285886597669715,0.0798928337841903,1
"NE_4","control",1,0.0563612338974698,0.0352500325069511,0.0468306735524558,1
"NE_4","control",2,0.0679273076490146,0.00113702299990152,0.0679273076490146,1
"NE_4","patient",1,0.0482947239523247,0.0175439930784763,0.0492359513316025,1
"NE_4","patient",2,0.0700669426775088,0.0962007583898329,0.0490945254113215,1
"NE_4","patient",3,0.055923449400771,0.0227129894554851,0.051573042550735,1
"NE_4","patient",4,0.0514489409041443,0.0199689563188206,0.0441135814871602,1
"NE_8","control",1,0.0446383514297497,0.0305899870039291,0.0360703898146554,1
"NE_8","control",2,0.0515002541926988,0.00514705448295038,0.0515002541926988,1
"NE_8","patient",1,0.0394384657393322,0.0136444529394914,0.039280718970822,1
"NE_8","patient",2,0.0613828798027575,0.0977880979059262,0.0385354678687082,1
"NE_8","patient",3,0.0443514862342737,0.0160080129871243,0.0424089101124955,1
"NE_8","patient",4,0.0411660929428669,0.0158228538558818,0.0348910541091105,1
"NE_Inf","control",1,0.0356455475901145,0.0261807393229048,0.0276851288465944,1
"NE_Inf","control",2,0.0392961224736917,0.00581537452060899,0.0392961224736917,1
"NE_Inf","patient",1,0.0327158293497535,0.0106663276178177,0.0327859070863349,1
"NE_Inf","patient",2,0.0554561323006426,0.0990276917336581,0.0312504000037065,1
"NE_Inf","patient",3,0.0360947679055781,0.0114662787682578,0.0356615292659471,1
"NE_Inf","patient",4,0.0336043592841322,0.0122638350374511,0.0291258084751544,1
