"feature","Drug.Before.Diet","Sample.type.1","mean","sd","median","incidence"
"NE_0.25","DrugBefore_NO","control",0.700207463760837,0.0499330967073179,0.713187065025834,1
"NE_0.25","DrugBefore_NO","patient.after.diet",0.657437327764739,0.0445424437951897,0.67264787606925,1
"NE_0.25","DrugBefore_NO","patient.before.diet",0.659106646010474,0.0409331313987849,0.659570767934799,1
"NE_0.25","DrugBefore_YES","control",0.708341558317428,NA,0.708341558317428,1
"NE_0.25","DrugBefore_YES","patient.after.diet",0.652940714528062,0.0598487172535334,0.66285381256455,1
"NE_0.25","DrugBefore_YES","patient.before.diet",0.652258851990838,0.0582778164878413,0.665182688286841,1
"NE_0.5","DrugBefore_NO","control",0.47206920647921,0.0745533051428441,0.492861913929628,1
"NE_0.5","DrugBefore_NO","patient.after.diet",0.42645195322574,0.0590091019503045,0.433150038559585,1
"NE_0.5","DrugBefore_NO","patient.before.diet",0.411545722969105,0.0606687482242902,0.4052946642053,1
"NE_0.5","DrugBefore_YES","control",0.479082707474816,NA,0.479082707474816,1
"NE_0.5","DrugBefore_YES","patient.after.diet",0.414399981508872,0.0740724126437386,0.424244498234315,1
"NE_0.5","DrugBefore_YES","patient.before.diet",0.413770294636759,0.0760389487193269,0.41869403373862,1
"NE_1","DrugBefore_NO","control",0.222828945732976,0.072202263382517,0.239522239131476,1
"NE_1","DrugBefore_NO","patient.after.diet",0.203766264168613,0.076866139919999,0.185292451631763,1
"NE_1","DrugBefore_NO","patient.before.diet",0.167956856068894,0.0598853140746551,0.17015485894827,1
"NE_1","DrugBefore_YES","control",0.214326412094211,NA,0.214326412094211,1
"NE_1","DrugBefore_YES","patient.after.diet",0.186096053004525,0.057927053067283,0.186138264076698,1
"NE_1","DrugBefore_YES","patient.before.diet",0.186560840826507,0.0582362060692278,0.165463443340123,1
"NE_2","DrugBefore_NO","control",0.0959678468053389,0.0468081728744016,0.0921566104022113,1
"NE_2","DrugBefore_NO","patient.after.diet",0.101413006094874,0.0876485477229028,0.0804641031097033,1
"NE_2","DrugBefore_NO","patient.before.diet",0.0687139710312863,0.033656362448302,0.0717690544383227,1
"NE_2","DrugBefore_YES","control",0.0763800747382604,NA,0.0763800747382604,1
"NE_2","DrugBefore_YES","patient.after.diet",0.0828806122480622,0.0326481381783824,0.0775965812723187,1
"NE_2","DrugBefore_YES","patient.before.diet",0.0824909407838661,0.0273423382842243,0.0740518380152604,1
"NE_4","DrugBefore_NO","control",0.058324080051791,0.0342528827856674,0.0492845643736832,1
"NE_4","DrugBefore_NO","patient.after.diet",0.0709862399448189,0.0911358769231332,0.0519851865894935,1
"NE_4","DrugBefore_NO","patient.before.diet",0.043422775634293,0.0203588498457736,0.043873726088114,1
"NE_4","DrugBefore_YES","control",0.0421993044684566,NA,0.0421993044684566,1
"NE_4","DrugBefore_YES","patient.after.diet",0.0517665595972304,0.0193428804878751,0.0490945254113215,1
"NE_4","DrugBefore_YES","patient.before.diet",0.0520423765046568,0.0147792925124373,0.0509458237150683,1
"NE_8","DrugBefore_NO","control",0.0459599091444291,0.0296887069375639,0.0367629445213614,1
"NE_8","DrugBefore_NO","patient.after.diet",0.061198402939383,0.0925126891502432,0.0401083917024834,1
"NE_8","DrugBefore_NO","patient.before.diet",0.0354934702157552,0.0156666607802382,0.0361530945591881,1
"NE_8","DrugBefore_YES","control",0.0332525603767392,NA,0.0332525603767392,1
"NE_8","DrugBefore_YES","patient.after.diet",0.0414727726534281,0.0140600851705023,0.0385354678687082,1
"NE_8","DrugBefore_YES","patient.before.diet",0.0424730776805454,0.0115881425399674,0.0452353838180774,1
"NE_Inf","DrugBefore_NO","control",0.0365072921930131,0.0254038385733238,0.0296186797018501,1
"NE_Inf","DrugBefore_NO","patient.after.diet",0.054313768261659,0.0936230253191688,0.0327007025289071,1
"NE_Inf","DrugBefore_NO","patient.before.diet",0.0292732723026947,0.0116871919295329,0.0305958229916677,1
"NE_Inf","DrugBefore_YES","control",0.026573549902195,NA,0.026573549902195,1
"NE_Inf","DrugBefore_YES","patient.after.diet",0.0341190429404486,0.0105906017862975,0.0342028778970467,1
"NE_Inf","DrugBefore_YES","patient.before.diet",0.0353639501551833,0.0094161334523497,0.0387921129637753,1
