"feature","Sample.type","visit","mean","sd","median","incidence"
"Bacteroides.Otu0001","control",1,0.0537340827856298,0.0518119905313256,0.0412399606399276,0.888888888888889
"Bacteroides.Otu0001","control",2,0.0472407163173534,0.0118875466686058,0.0472407163173534,1
"Bacteroides.Otu0001","patient",1,0.11675918413341,0.125454568865507,0.0906339330755003,0.826086956521739
"Bacteroides.Otu0001","patient",2,0.10240368111525,0.120526373576279,0.036557149467839,0.823529411764706
"Bacteroides.Otu0001","patient",3,0.0849103888805617,0.106554919643407,0.0397626850332498,0.642857142857143
"Bacteroides.Otu0001","patient",4,0.0898238398611558,0.107760513012227,0.0383490412739682,0.769230769230769
"Bacteroides.Otu2520","control",1,0.048236209477631,0.0701187048348496,0.015179967107927,0.722222222222222
"Bacteroides.Otu2520","control",2,0.00586569579288026,0.00829534654304607,0.00586569579288026,0.5
"Bacteroides.Otu2520","patient",1,0.0610762200690524,0.105389018663095,0.0147321428571429,0.869565217391304
"Bacteroides.Otu2520","patient",2,0.0355546440740414,0.0518789156583388,0.00946475195822454,0.823529411764706
"Bacteroides.Otu2520","patient",3,0.0300978178488217,0.0663112360880721,0.00151026946848951,0.642857142857143
"Bacteroides.Otu2520","patient",4,0.0620795272626358,0.121372577573807,0.00032499187520312,0.615384615384615
"Faecalibacterium.Otu0067","control",1,0.0275661843100474,0.0309673713820504,0.0205335431395494,0.944444444444444
"Faecalibacterium.Otu0067","control",2,0.0213445251299001,0.026753159730892,0.0213445251299001,1
"Faecalibacterium.Otu0067","patient",1,0.0176795536781917,0.0193244314889582,0.0116596002422774,0.956521739130435
"Faecalibacterium.Otu0067","patient",2,0.0457169418366487,0.0922054292521516,0.00946475195822454,0.882352941176471
"Faecalibacterium.Otu0067","patient",3,0.0238124349440531,0.029176775382626,0.0134132764565563,0.928571428571429
"Faecalibacterium.Otu0067","patient",4,0.0489418206661745,0.0593772122312406,0.0267166042446941,1
"Prevotella.Otu1987","control",1,0.0603395857060756,0.111542355698611,0,0.333333333333333
"Prevotella.Otu1987","control",2,0,0,0,0
"Prevotella.Otu1987","patient",1,0.0312448259331014,0.0999365283669306,0,0.260869565217391
"Prevotella.Otu1987","patient",2,0.03192103736575,0.0795701112539818,0,0.470588235294118
"Prevotella.Otu1987","patient",3,0.0187418336322138,0.064095833518627,0,0.214285714285714
"Prevotella.Otu1987","patient",4,4.16478843969186e-05,8.76975405605459e-05,0,0.307692307692308
"Bacteroides.Otu0848","control",1,0.0106474087919304,0.0219376087873816,0.00124019276253953,0.666666666666667
