"feature","Drug.Before.Diet","Sample.type.1","mean","sd","median","incidence"
"Bacteroides.Otu0001","DrugBefore_NO","control",0.0538078318059521,0.0503624224403569,0.0431338028169014,0.894736842105263
"Bacteroides.Otu0001","DrugBefore_NO","patient.after.diet",0.0284185927066063,0.0596355242313984,0.00374531835205993,0.631578947368421
"Bacteroides.Otu0001","DrugBefore_NO","patient.before.diet",0.063125842775098,0.0644316884128726,0.0554681550312143,0.8
"Bacteroides.Otu0001","DrugBefore_YES","control",0.0393461184629538,NA,0.0393461184629538,1
"Bacteroides.Otu0001","DrugBefore_YES","patient.after.diet",0.142294587202265,0.115093656857718,0.125405485107638,0.84
"Bacteroides.Otu0001","DrugBefore_YES","patient.before.diet",0.158015600562881,0.146628539948477,0.124733061541448,0.846153846153846
"Bacteroides.Otu2520","DrugBefore_NO","control",0.0370705766895837,0.0617526640064072,0.0108533363960032,0.684210526315789
"Bacteroides.Otu2520","DrugBefore_NO","patient.after.diet",0.0258088879783406,0.0700678798987779,0.000983187493855078,0.736842105263158
"Bacteroides.Otu2520","DrugBefore_NO","patient.before.diet",0.0658461716586061,0.147404287976331,0.00503532543902003,0.9
"Bacteroides.Otu2520","DrugBefore_YES","control",0.175642205081028,NA,0.175642205081028,1
"Bacteroides.Otu2520","DrugBefore_YES","patient.after.diet",0.05369853527872,0.0885435924021447,0.00946475195822454,0.68
"Bacteroides.Otu2520","DrugBefore_YES","patient.before.diet",0.0574070265386264,0.0635057972707135,0.0261036468330134,0.846153846153846
"Faecalibacterium.Otu0067","DrugBefore_NO","control",0.0272857304319964,0.0307712563056477,0.0206155966463765,0.947368421052632
"Faecalibacterium.Otu0067","DrugBefore_NO","patient.after.diet",0.0481159503999534,0.0777944436186438,0.0127887788778878,0.894736842105263
"Faecalibacterium.Otu0067","DrugBefore_NO","patient.before.diet",0.0244665625296592,0.0258738739559333,0.0150259416002384,1
"Faecalibacterium.Otu0067","DrugBefore_YES","control",0.0204514896327224,NA,0.0204514896327224,1
"Faecalibacterium.Otu0067","DrugBefore_YES","patient.after.diet",0.0333041084600371,0.0589348605914786,0.0121630506245891,0.96
"Faecalibacterium.Otu0067","DrugBefore_YES","patient.before.diet",0.0124587776386013,0.0107061304375991,0.0066324992463069,0.923076923076923
"Prevotella.Otu1987","DrugBefore_NO","control",0.0571638180373348,0.109279990048314,0,0.315789473684211
"Prevotella.Otu1987","DrugBefore_NO","patient.after.diet",0.0310516414329481,0.0824600976172762,0,0.263157894736842
"Prevotella.Otu1987","DrugBefore_NO","patient.before.diet",0.0576987621809605,0.148014077637948,0,0.4
"Prevotella.Otu1987","DrugBefore_YES","control",0,NA,0,0
"Prevotella.Otu1987","DrugBefore_YES","patient.after.diet",0.00862414165359553,0.0378465254820642,0,0.4
"Prevotella.Otu1987","DrugBefore_YES","patient.before.diet",0.0108956442039791,0.0291061875466387,0,0.153846153846154
"Bacteroides.Otu0848","DrugBefore_NO","control",0.0104708144780995,0.0213562484481944,0.00127735672315422,0.631578947368421
"Bacteroides.Otu0848","DrugBefore_NO","patient.after.diet",0.036093215281193,0.111250210232673,0.000809847748623259,0.736842105263158
"Bacteroides.Otu0848","DrugBefore_NO","patient.before.diet",0.0170700181633372,0.0396001874034071,0.00590741726466187,0.9
"Bacteroides.Otu0848","DrugBefore_YES","control",0.00120302880192485,NA,0.00120302880192485,1
"Bacteroides.Otu0848","DrugBefore_YES","patient.after.diet",0.0412262853504263,0.0642930284494193,0.0141354372123603,0.76
"Bacteroides.Otu0848","DrugBefore_YES","patient.before.diet",0.0267068675065835,0.0319264122917811,0.0111986543909348,0.846153846153846
"Bacteroides.Otu2038","DrugBefore_NO","control",0.01091758420803,0.0307515399996996,0.00270758122743682,0.789473684210526
"Bacteroides.Otu2038","DrugBefore_NO","patient.after.diet",0.0443484077704024,0.0987958935548503,0.000485908649173955,0.578947368421053
"Bacteroides.Otu2038","DrugBefore_NO","patient.before.diet",0.0347399806954009,0.0876575046164894,0.00213694710564975,0.9
"Bacteroides.Otu2038","DrugBefore_YES","control",0.0317741136508386,NA,0.0317741136508386,1
"Bacteroides.Otu2038","DrugBefore_YES","patient.after.diet",0.0170379962917555,0.0361171260240311,0.00517616610787601,0.8
"Bacteroides.Otu2038","DrugBefore_YES","patient.before.diet",0.0196813193660128,0.0423448064640732,0.00658956428187197,0.846153846153846
"Parabacteroides.Otu1736","DrugBefore_NO","control",0.0054006280526027,0.00590193521053858,0.00464119957158158,0.894736842105263
"Parabacteroides.Otu1736","DrugBefore_NO","patient.after.diet",0.00893439091531074,0.0286861531703073,0,0.421052631578947
"Parabacteroides.Otu1736","DrugBefore_NO","patient.before.diet",0.00386615681226715,0.00613403375282927,0.000145530259788477,0.6
"Parabacteroides.Otu1736","DrugBefore_YES","control",0,NA,0,0
"Parabacteroides.Otu1736","DrugBefore_YES","patient.after.diet",0.0411839697159042,0.13626416768406,0,0.48
"Parabacteroides.Otu1736","DrugBefore_YES","patient.before.diet",0.0414166122848203,0.131660353370867,0.000132790368271955,0.538461538461538
"Bacteroides.Otu2654","DrugBefore_NO","control",0.00495802319488863,0.00831219711590284,0.000273897562311695,0.631578947368421
"Bacteroides.Otu2654","DrugBefore_NO","patient.after.diet",0.00210145839804974,0.00453426179837285,0.000587199060481503,0.631578947368421
"Bacteroides.Otu2654","DrugBefore_NO","patient.before.diet",0.0725732253291392,0.142272224023467,0.00223508805739922,0.7
