"Bacteroidetes"	"Firmicutes"	"Proteobacteria"	"Unclassified_Bacteria"	"Actinobacteria"	"Verrucomicrobia"	"Spirochaetes"	"TM7"	"Fusobacteria"	"Lentisphaerae"	"Cyanobacteria_Chloroplast"
3012	782	533	60	12	0	0	0	0	0	0
6619	4334	639	108	32	0	0	0	0	11	0
1691	449	11	18	2	68	0	0	0	0	1
0	1724	1161	113	705	0	0	0	0	0	0
500	1561	146	27	18	20	0	0	0	0	0
6102	1524	86	22	19	3	0	0	0	0	0
7745	6348	78	245	34	0	0	0	54	0	0
1980	343	54	36	4	0	0	0	0	0	0
6739	679	323	30	4	0	0	0	0	0	0
14308	1670	91	59	3	0	0	0	0	0	0
1317	3974	79	88	218	0	0	1	0	0	0
949	4193	106	234	45	30	0	0	0	0	0
1593	943	32	18	19	0	0	0	0	0	0
5786	1613	16	17	4	0	0	0	0	0	0
5019	1608	137	122	34	51	0	0	1	0	0
2888	1609	52	23	15	105	0	0	0	0	0
1881	1750	8	61	21	1	0	1	0	0	0
1755	169	616	2	0	0	0	0	0	0	0
2513	253	1	7	4	0	0	0	0	0	0
1984	2485	79	192	85	0	0	0	0	0	0
16966	2238	5	46	4	553	0	0	0	0	0
8821	4545	128	51	104	0	0	1	0	0	0
2659	3475	265	45	9	0	0	1	0	5	0
14326	2885	142	37	23	0	0	1	0	0	0
9052	2225	253	10	8	0	0	0	0	1	0
2420	68	0	0	1	2	0	0	0	0	0
2278	187	159	4	0	0	0	0	0	0	0
15393	753	249	69	7	0	0	0	2	0	0
1727	690	58	19	67	544	0	0	0	0	0
3092	209	7	6	3	0	0	0	0	0	0
1506	1115	65	38	2	49	0	26	0	0	0
21005	1507	27	51	0	2	0	0	0	0	0
8400	3277	229	1190	44	22	0	1	0	0	0
9129	813	339	16	3	1	0	0	0	1	0
3006	597	5	29	5	0	0	0	0	0	0
10053	896	148	60	0	0	189	0	0	0	0
902	6747	1451	30	19	0	0	1	29	0	0
2225	363	29	59	2	18	0	0	1	0	0
6765	7096	176	89	5	0	0	0	0	0	0
3378	2453	78	28	8	0	0	2	0	0	0
170	2373	17	15	66	0	0	0	0	0	0
