"feature","Sample.type","age.quant","mean","sd","median","incidence"
"Bacteroidetes","control","[3.18,6.27]",0.279908106947283,0.24078518415812,0.290983654094495,0.75
"Bacteroidetes","control","(6.27,8.71]",0.362654067029088,0.201643723815825,0.362654067029088,1
"Bacteroidetes","control","(8.71,15.3]",0.687104463794409,0.0996882731100617,0.684701068424642,1
"Bacteroidetes","control","(15.3,26.4]",0.514418226599989,0.240895485838044,0.478734696765976,1
"Bacteroidetes","patient","[3.18,6.27]",0.81562739183396,0.126220043733036,0.846094774560618,1
"Bacteroidetes","patient","(6.27,8.71]",0.802936586283962,0.125749668883606,0.84067020874979,1
"Bacteroidetes","patient","(8.71,15.3]",0.586744334954174,0.38735136061055,0.655555196112261,1
"Bacteroidetes","patient","(15.3,26.4]",0.735744102534983,0.261656131154978,0.819197352089367,1
"Firmicutes","control","[3.18,6.27]",0.533302575112742,0.155088052219878,0.490297182371386,1
"Firmicutes","control","(6.27,8.71]",0.578555446633602,0.153448411764986,0.578555446633602,1
"Firmicutes","control","(8.71,15.3]",0.269161767072016,0.103066233995677,0.230636833046472,1
"Firmicutes","control","(15.3,26.4]",0.437645293609709,0.232606990218693,0.502158375203453,1
"Firmicutes","patient","[3.18,6.27]",0.136760460981061,0.0876899005640491,0.117538847890792,1
"Firmicutes","patient","(6.27,8.71]",0.138968803759963,0.112433955209469,0.102017277745582,1
"Firmicutes","patient","(8.71,15.3]",0.337122552803282,0.384293428132284,0.211334325396825,1
"Firmicutes","patient","(15.3,26.4]",0.223833026587197,0.220933206335328,0.141911460488209,1
"Proteobacteria","control","[3.18,6.27]",0.0930459164901542,0.147015955882131,0.0211405191736903,1
"Proteobacteria","control","(6.27,8.71]",0.033204684053826,0.0439196457348958,0.033204684053826,1
"Proteobacteria","control","(8.71,15.3]",0.0265563268648853,0.0419508983380796,0.0110826939471441,1
"Proteobacteria","control","(15.3,26.4]",0.0269716702013387,0.0195314175370036,0.0139158005989079,1
"Proteobacteria","patient","[3.18,6.27]",0.0203456864224197,0.027771334473162,0.00975379526816553,1
"Proteobacteria","patient","(6.27,8.71]",0.0445288481646586,0.0970510318556981,0.0059739007432453,1
"Proteobacteria","patient","(8.71,15.3]",0.00750680477466126,0.00793865221299912,0.00567383499215665,0.75
"Proteobacteria","patient","(15.3,26.4]",0.0347556414971252,0.0478824413037135,0.0219066585851589,1
"Unclassified_Bacteria","control","[3.18,6.27]",0.0314960447813166,0.0129601650995465,0.035154272057805,1
"Unclassified_Bacteria","control","(6.27,8.71]",0.0141342194315504,0.00318256969742629,0.0141342194315504,1
"Unclassified_Bacteria","control","(8.71,15.3]",0.00880419807372049,0.00689834054537639,0.00490196078431373,1
"Unclassified_Bacteria","control","(15.3,26.4]",0.00865031060887799,0.00408969259154771,0.00696702275894101,1
"Unclassified_Bacteria","patient","[3.18,6.27]",0.025424628554059,0.0434219442941227,0.00488576065554827,1
"Unclassified_Bacteria","patient","(6.27,8.71]",0.00611196490949971,0.00799537505942842,0.00242081178629877,1
"Unclassified_Bacteria","patient","(8.71,15.3]",0.00495863592987439,0.00346040408263912,0.00589941471689163,0.75
"Unclassified_Bacteria","patient","(15.3,26.4]",0.00436455313246282,0.00414504369501625,0.00365755377843903,1
"Actinobacteria","control","[3.18,6.27]",0.0542036697336399,0.0910515850109405,0.0128572374291492,1
"Actinobacteria","control","(6.27,8.71]",0.00678157381030745,0.00161356308738205,0.00678157381030745,1
"Actinobacteria","control","(8.71,15.3]",0.00350502776774956,0.00211098593279277,0.00272789270288702,1
"Actinobacteria","control","(15.3,26.4]",0.00857456558128312,0.0167068845495974,0.0013934045517882,0.8
"Actinobacteria","patient","[3.18,6.27]",0.00140500169873862,0.00141189221142213,0.00113865188186529,0.75
"Actinobacteria","patient","(6.27,8.71]",0.00161283556288333,0.00283739605984618,0.000471731270606661,0.666666666666667
"Actinobacteria","patient","(8.71,15.3]",0.0119657340183087,0.0131451431644597,0.0112354784909133,1
"Actinobacteria","patient","(15.3,26.4]",0.000857479654922631,0.000666098750469114,0.000537923614846692,1
"Verrucomicrobia","control","[3.18,6.27]",0.00572308714907277,0.00824947076645511,0.00269929818247256,0.5
"Verrucomicrobia","control","(6.27,8.71]",0.00453570874616488,0.0060346022252583,0.00453570874616488,1
"Verrucomicrobia","control","(8.71,15.3]",0.00429718401781289,0.00841819391127578,0,0.428571428571429
"Verrucomicrobia","control","(15.3,26.4]",0,0,0,0
"Verrucomicrobia","patient","[3.18,6.27]",0.000417837878902986,0.000835675757805971,0,0.25
"Verrucomicrobia","patient","(6.27,8.71]",0.00577916426057273,0.0111647617730985,4.42634560906516e-05,0.5
"Verrucomicrobia","patient","(8.71,15.3]",0.0515903303768422,0.083609097201423,0.0155800166313013,0.75
"Verrucomicrobia","patient","(15.3,26.4]",1.07853922647167e-05,3.235617679415e-05,0,0.111111111111111
