"Bacteroidales"	"Clostridiales"	"Erysipelotrichales"	"Enterobacteriales"	"Lactobacillales"	"Selenomonadales"	"Unclassified_Bacteria"	"Burkholderiales"	"Bifidobacteriales"	"Verrucomicrobiales"	"Unclassified_Firmicutes"	"Rhizobiales"	"other"
3012	732	4	2	1	0	60	512	3	0	45	5	23
6619	3552	680	1	20	43	108	396	15	0	33	175	101
1691	374	30	2	0	32	18	9	0	68	13	0	3
0	1219	0	1141	253	84	113	0	704	0	167	1	21
498	1424	115	1	2	2	27	0	16	20	18	0	149
6101	1456	16	0	0	24	22	17	17	3	28	68	4
7742	3091	13	6	1104	2116	245	48	23	0	22	1	93
1978	251	68	36	3	1	36	18	1	0	19	0	6
6737	632	19	2	5	16	30	287	3	0	7	21	16
14308	455	25	0	1174	1	59	14	0	0	14	69	12
1316	1846	1	10	1057	1044	88	10	195	0	23	24	63
948	4068	27	17	24	5	234	13	44	30	68	36	43
1591	753	22	1	8	156	18	27	3	0	1	0	25
5786	1441	106	0	1	8	17	0	2	0	56	16	3
5010	1570	9	2	6	4	122	9	26	51	19	75	69
2886	1402	36	25	10	115	23	4	1	105	43	19	23
1880	1694	33	0	11	2	61	6	20	1	9	0	6
1755	127	30	605	2	9	2	0	0	0	0	0	12
2513	245	4	0	0	2	7	0	4	0	2	0	1
1984	2418	10	2	1	5	192	25	46	0	51	45	46
16966	1980	234	0	3	10	46	3	1	553	11	0	5
8820	4302	188	9	5	21	51	83	81	0	28	20	42
2656	3227	65	0	9	11	45	166	0	0	162	57	61
14321	2616	41	0	5	197	37	31	14	0	26	99	27
9051	1974	143	1	5	28	10	160	7	0	71	86	13
2420	63	0	0	4	0	0	0	0	2	0	0	2
2278	185	0	0	1	1	4	152	0	0	0	5	2
15389	714	24	0	3	5	69	220	1	0	5	13	30
1726	535	75	0	15	55	19	16	65	544	9	37	9
3092	173	20	0	11	1	6	6	1	0	2	1	4
1503	1052	21	1	1	34	38	6	1	49	4	54	37
20964	1423	17	0	2	45	51	1	0	2	19	26	42
8393	3110	83	0	19	31	1190	216	43	22	19	0	37
9125	596	89	3	1	121	16	318	0	1	6	2	24
3006	570	18	4	0	8	29	0	2	0	1	0	4
9960	774	52	17	1	47	60	113	0	0	22	6	294
902	5916	436	1342	213	160	30	1	11	0	18	11	139
2225	349	7	0	4	1	59	20	0	18	2	0	12
6763	6845	104	0	22	1	89	0	0	0	123	174	10
3378	2334	74	16	16	9	28	6	2	0	13	40	31
168	797	1023	9	503	0	15	3	27	0	35	2	59
