"name","statistic","pval","pval.adjusted","common.lang.eff.size","rank.biserial.corr.eff.size","r.eff.size","l2fc.patient.by.control","mean.control","mean.patient"
"Clostridiales",69,0.000145839106908388,0.0016197644691007,0.166666666666667,-0.666666666666667,0.593155703813583,-1.12325996792458,0.336637901547038,0.154535430977976
"Unclassified_Firmicutes",74,0.000269960744850117,0.0016197644691007,0.178743961352657,-0.642512077294686,0.568869214344068,-1.80764215882971,0.00850173132182734,0.00242858251944822
"Bacteroidales",332,0.000715423575540579,0.00286169430216232,0.801932367149758,0.603864734299517,0.528429415718561,0.48600341059582,0.482778383237319,0.676159914701226
"Unclassified_Bacteria",91,0.00174354690510139,0.00523064071530418,0.219806763285024,-0.560386473429952,0.488942539057192,-0.746320893911725,0.0143945244513362,0.00858089022913578
"Rhizobiales",106,0.00633102013907387,0.0151944483337773,0.256038647342995,-0.48792270531401,0.426373984186166,-1.73409325569404,0.00600433676248161,0.00180489090745113
"Bifidobacteriales",114,0.0125706286774426,0.0251412573548851,0.27536231884058,-0.449275362318841,0.389763994848648,-3.06624961085015,0.0149984063149199,0.00179065536247268
"Selenomonadales",158,0.200296561980597,0.34336553482388,0.381642512077295,-0.236714975845411,0.200012847026423,-1.91571660478445,0.0231686390427816,0.00614062197235392
"Enterobacteriales",165,0.254977824321197,0.382466736481795,0.398550724637681,-0.202898550724638,0.177779106932163,-0.00390891968036705,0.0176782541522083,0.0176304205196784
"Erysipelotrichales",247,0.302898792338078,0.403865056450771,0.596618357487923,0.193236714975845,0.1608959787735,1.35716050919126,0.0101612431431365,0.0260311206879893
"Lactobacillales",184.5,0.558392846483843,0.670071415780612,0.445652173913043,-0.108695652173913,0.0913976238634408,-0.525544696226262,0.0192653505021648,0.0133835768515653
"Burkholderiales",198.5,0.824601310186435,0.824601310186435,0.479468599033816,-0.0410628019323671,0.0346129145005005,-0.38999878433303,0.0118912807425629,0.00907459601641547
"Verrucomicrobiales",198.5,0.805228470628373,0.824601310186435,0.479468599033816,-0.0410628019323671,0.0385102975084615,1.60955086877904,0.0034467271931738,0.0105179233517747
