".record.id","Sample.type","feature","Abundance"
"SB1","control","Bacteroidales",0.684701068424642
"SB10","control","Bacteroidales",0.563654943370519
"SB11","patient","Bacteroidales",0.754910714285714
"SB12","control","Bacteroidales",0
"SB13","control","Bacteroidales",0.21919014084507
"SB14","control","Bacteroidales",0.786616812790098
"SB15","control","Bacteroidales",0.533783783783784
"SB16","patient","Bacteroidales",0.818369880016549
"SB17","patient","Bacteroidales",0.866495176848875
"SB18","patient","Bacteroidales",0.886987787489926
"SB19","control","Bacteroidales",0.231812577065351
"SB21","control","Bacteroidales",0.170595645132266
"SB22","patient","Bacteroidales",0.610748560460653
"SB23","patient","Bacteroidales",0.77810650887574
"SB24","control","Bacteroidales",0.718588640275387
"SB25","control","Bacteroidales",0.615089514066496
"SB26","control","Bacteroidales",0.504969110932044
"SB28","patient","Bacteroidales",0.690401258851298
"SB29","patient","Bacteroidales",0.904607631389489
"SB3","control","Bacteroidales",0.41119170984456
"SB30","patient","Bacteroidales",0.856349687058348
"SB31","control","Bacteroidales",0.646153846153846
"SB32","control","Bacteroidales",0.411209165505496
"SB33","control","Bacteroidales",0.822384288503503
"SB34","patient","Bacteroidales",0.783704216815309
"SB35","patient","Bacteroidales",0.971497390606182
"SB36","patient","Bacteroidales",0.866818873668189
"SB38","patient","Bacteroidales",0.934195349966612
"SB39","patient","Bacteroidales",0.555877616747182
"SB4","patient","Bacteroidales",0.932167621344589
"SB40","control","Bacteroidales",0.536594073545162
"SB41","patient","Bacteroidales",0.927939093484419
"SB42","patient","Bacteroidales",0.637620603205956
"SB43","patient","Bacteroidales",0.885750339739856
"SB44","patient","Bacteroidales",0.825370675453048
"SB45","control","Bacteroidales",0.877842411422528
"SB5","patient","Bacteroidales",0.0982677851617823
"SB6","patient","Bacteroidales",0.824990730441231
"SB7","control","Bacteroidales",0.478593163965749
"SB8","patient","Bacteroidales",0.568017487808979
"SB9","patient","Bacteroidales",0.0636122680802726
"SB1","control","Clostridiales",0.166401454876108
"SB10","control","Clostridiales",0.302478072042919
"SB11","patient","Clostridiales",0.166964285714286
"SB12","control","Clostridiales",0.329192546583851
"SB13","control","Clostridiales",0.626760563380282
"SB14","control","Clostridiales",0.187725631768953
"SB15","control","Clostridiales",0.21311362382791
"SB16","patient","Clostridiales",0.103847745138602
"SB17","patient","Clostridiales",0.0812861736334405
"SB18","patient","Clostridiales",0.0282065587998264
"SB19","control","Clostridiales",0.325171745640303
"SB21","control","Clostridiales",0.732049667086557
"SB22","patient","Clostridiales",0.289059500959693
"SB23","patient","Clostridiales",0.193786982248521
"SB24","control","Clostridiales",0.225186460126219
"SB25","control","Clostridiales",0.298806479113384
"SB26","control","Clostridiales",0.455009401020682
"SB28","patient","Clostridiales",0.0499606608969315
"SB29","patient","Clostridiales",0.0881929445644348
"SB3","control","Clostridiales",0.501139896373057
"SB30","patient","Clostridiales",0.0999394306480921
"SB31","control","Clostridiales",0.315164835164835
"SB32","control","Clostridiales",0.499612943180059
"SB33","control","Clostridiales",0.150223957735156
"SB34","patient","Clostridiales",0.170923889514244
"SB35","patient","Clostridiales",0.0252910477719791
"SB36","patient","Clostridiales",0.0703957382039574
"SB38","patient","Clostridiales",0.043343653250774
"SB39","patient","Clostridiales",0.172302737520129
"SB4","patient","Clostridiales",0.0521555622550497
"SB40","control","Clostridiales",0.375580149946448
"SB41","patient","Clostridiales",0.0629868980169972
"SB42","patient","Clostridiales",0.236268327888779
"SB43","patient","Clostridiales",0.0578528441079402
"SB44","patient","Clostridiales",0.156507413509061
"SB45","control","Clostridiales",0.0682178741406663
"SB5","patient","Clostridiales",0.644514653012311
"SB6","patient","Clostridiales",0.129403040415276
"SB7","control","Clostridiales",0.484396008775034
"SB8","patient","Clostridiales",0.39246678997814
"SB9","patient","Clostridiales",0.301779628928436
"SB1","control","Erysipelotrichales",0.000909297567629007
"SB10","control","Erysipelotrichales",0.0579068381163246
"SB11","patient","Erysipelotrichales",0.0133928571428571
"SB12","control","Erysipelotrichales",0
"SB13","control","Erysipelotrichales",0.0506161971830986
"SB14","control","Erysipelotrichales",0.00206291903042806
"SB15","control","Erysipelotrichales",0.000896304467733039
"SB16","patient","Erysipelotrichales",0.0281340504757964
"SB17","patient","Erysipelotrichales",0.00244372990353698
"SB18","patient","Erysipelotrichales",0.00154981092306739
"SB19","control","Erysipelotrichales",0.00017614937466972
"SB21","control","Erysipelotrichales",0.0048587367284506
"SB22","patient","Erysipelotrichales",0.00844529750479846
"SB23","patient","Erysipelotrichales",0.0142549757934373
"SB24","control","Erysipelotrichales",0.00129087779690189
"SB25","control","Erysipelotrichales",0.00767263427109974
"SB26","control","Erysipelotrichales",0.0088638195004029
"SB28","patient","Erysipelotrichales",0.011801730920535
"SB29","patient","Erysipelotrichales",0.00143988480921526
"SB3","control","Erysipelotrichales",0.00207253886010363
"SB30","patient","Erysipelotrichales",0.0118110236220472
"SB31","control","Erysipelotrichales",0.0137728937728938
"SB32","control","Erysipelotrichales",0.0100634773184704
"SB33","control","Erysipelotrichales",0.00235442747214885
"SB34","patient","Erysipelotrichales",0.0123820244176985
"SB35","patient","Erysipelotrichales",0
"SB36","patient","Erysipelotrichales",0
"SB38","patient","Erysipelotrichales",0.00145692952103442
"SB39","patient","Erysipelotrichales",0.0241545893719807
"SB4","patient","Erysipelotrichales",0.00602954476936991
"SB40","control","Erysipelotrichales",0.00749732238486255
"SB41","patient","Erysipelotrichales",0.000752478753541076
"SB42","patient","Erysipelotrichales",0.00630555344526324
"SB43","patient","Erysipelotrichales",0.00863909920403805
"SB44","patient","Erysipelotrichales",0.00494233937397035
"SB45","control","Erysipelotrichales",0.00458311299136259
"SB5","patient","Erysipelotrichales",0.0474997276391764
"SB6","patient","Erysipelotrichales",0.00259547645532073
"SB7","control","Erysipelotrichales",0.00735970561177553
"SB8","patient","Erysipelotrichales",0.0124432486968219
"SB9","patient","Erysipelotrichales",0.387353275274517
"SB1","control","Enterobacteriales",0.000454648783814503
"SB10","control","Enterobacteriales",8.5157114876948e-05
"SB11","patient","Enterobacteriales",0.000892857142857143
"SB12","control","Enterobacteriales",0.30812854442344
"SB13","control","Enterobacteriales",0.000440140845070423
"SB14","control","Enterobacteriales",0
