"feature","Sample.type","age.quant","mean","sd","median","incidence"
"Bacteroidales","control","[3.18,6.27]",0.279595357130497,0.240430475904544,0.290893677488413,0.75
"Bacteroidales","control","(6.27,8.71]",0.362079625888557,0.202076247669007,0.362079625888557,1
"Bacteroidales","control","(8.71,15.3]",0.686759707713965,0.0996409163321346,0.684701068424642,1
"Bacteroidales","control","(15.3,26.4]",0.512622452265929,0.237848043358897,0.478593163965749,1
"Bacteroidales","patient","[3.18,6.27]",0.815494443417945,0.126469325106902,0.846094774560618,1
"Bacteroidales","patient","(6.27,8.71]",0.802506160280906,0.12561950359643,0.84067020874979,1
"Bacteroidales","patient","(8.71,15.3]",0.586474497429838,0.3877002568164,0.655394165516448,1
"Bacteroidales","patient","(15.3,26.4]",0.735543836969292,0.261554234614971,0.818369880016549,1
"Clostridiales","control","[3.18,6.27]",0.484490564997478,0.180316076462224,0.438360023159752,1
"Clostridiales","control","(6.27,8.71]",0.540884982200482,0.121446411581144,0.540884982200482,1
"Clostridiales","control","(8.71,15.3]",0.222374634658938,0.0633571770172033,0.21311362382791,1
"Clostridiales","control","(15.3,26.4]",0.335975328755796,0.17445544218312,0.325171745640303,1
"Clostridiales","patient","[3.18,6.27]",0.128831760464212,0.084857853419398,0.113451575856509,1
"Clostridiales","patient","(6.27,8.71]",0.119923745916904,0.0874524044078873,0.0940661876062635,1
"Clostridiales","patient","(8.71,15.3]",0.166584424983707,0.112951914556581,0.169633511617207,1
"Clostridiales","patient","(15.3,26.4]",0.1906921432982,0.203819551944915,0.103847745138602,1
"Erysipelotrichales","control","[3.18,6.27]",0.00360714949335419,0.00326937674977836,0.00346563779427711,0.75
"Erysipelotrichales","control","(6.27,8.71]",0.0297400083417507,0.029523389390096,0.0297400083417507,1
"Erysipelotrichales","control","(8.71,15.3]",0.00413705062554777,0.00486228885211951,0.00206291903042806,1
"Erysipelotrichales","control","(15.3,26.4]",0.0160178566825206,0.0237003060784378,0.00735970561177553,1
"Erysipelotrichales","patient","[3.18,6.27]",0.00431935939715087,0.00293908548460132,0.00548594207167013,0.75
"Erysipelotrichales","patient","(6.27,8.71]",0.00614098201090963,0.00516159300767496,0.0055203869800596,1
"Erysipelotrichales","patient","(8.71,15.3]",0.106225180447339,0.187678996189234,0.0187737232574189,0.75
"Erysipelotrichales","patient","(15.3,26.4]",0.0143115107305119,0.0150035769800599,0.0123820244176985,1
"Enterobacteriales","control","[3.18,6.27]",0.0779898180384809,0.15343099537717,0.00173685618941148,1
"Enterobacteriales","control","(6.27,8.71]",0.000220070422535211,0.000311226576226473,0.000220070422535211,0.5
"Enterobacteriales","control","(8.71,15.3]",0.00102039262924669,0.00191469568544112,0.000413678985107557,0.714285714285714
"Enterobacteriales","control","(15.3,26.4]",0.000668995252519307,0.000882796369746379,8.5157114876948e-05,0.6
"Enterobacteriales","patient","[3.18,6.27]",0.000274574409665019,0.000549148819330038,0,0.25
"Enterobacteriales","patient","(6.27,8.71]",0.0397309084539053,0.0971325134661266,0,0.333333333333333
"Enterobacteriales","patient","(8.71,15.3]",0.00107516430464651,0.0016110433581735,0.000446428571428571,0.5
"Enterobacteriales","patient","(15.3,26.4]",0.018269249720145,0.0482192332174372,0.000257234726688103,0.666666666666667
"Lactobacillales","control","[3.18,6.27]",0.0183015319240216,0.0334019391313722,0.00233794622180811,1
"Lactobacillales","control","(6.27,8.71]",0.00191744409513757,0.00146676913952987,0.00191744409513757,1
"Lactobacillales","control","(8.71,15.3]",0.0114270794021346,0.0285344581425696,0.000366300366300366,0.857142857142857
"Lactobacillales","control","(15.3,26.4]",0.0381862866932015,0.0827390267225513,0.00155686080249098,1
"Lactobacillales","patient","[3.18,6.27]",0.00128505176806496,0.00148552929097468,0.000911978724553199,0.75
"Lactobacillales","patient","(6.27,8.71]",0.000930146505138787,0.00119076251757867,0.000469102720569419,0.833333333333333
"Lactobacillales","patient","(8.71,15.3]",0.0492237146183186,0.0941777231374011,0.00321834934265772,0.75
"Lactobacillales","patient","(15.3,26.4]",0.0112672881930146,0.0242439521128818,0.000643086816720257,1
"Selenomonadales","control","[3.18,6.27]",0.00918971686655593,0.0104243542608456,0.00658739569324797,1
"Selenomonadales","control","(6.27,8.71]",0.000708741435991723,0.000242594553910617,0.000708741435991723,1
"Selenomonadales","control","(8.71,15.3]",0.0267028418710382,0.0532819694309164,0.00309437854564208,0.857142857142857
"Selenomonadales","control","(15.3,26.4]",0.0386955897105272,0.081187931385553,0.00366175593970876,1
"Selenomonadales","patient","[3.18,6.27]",0.00130841906153448,0.00111941983194757,0.00128855639056266,1
"Selenomonadales","patient","(6.27,8.71]",0.0111687801678413,0.0238962637711079,0.00135589896434348,1
