"feature","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","i.baseMean","baseVar","allZero","dispGeneEst","dispGeneIter","dispFit","dispersion","dispIter","dispOutlier","dispMAP","Intercept","Sample.type_patient_vs_control","SE_Intercept","SE_Sample.type_patient_vs_control","WaldStatistic_Intercept","WaldStatistic_Sample.type_patient_vs_control","WaldPvalue_Intercept","WaldPvalue_Sample.type_patient_vs_control","betaConv","betaIter","deviance","maxCooks","replace"
"Ruminococcus",122.180224132024,-3.2466125335083,0.597735237286092,-5.4315227394807,5.5875194138976e-08,2.23500776555904e-06,122.180224132024,102584.609700675,FALSE,1.70930296324608,14,1.32674056572362,1.69475723018398,10,FALSE,1.69475723018398,7.93794909523361,-3.2466125335083,0.443068335971085,0.597735237286092,17.9158573312078,-5.4315227394807,8.86920889503504e-72,5.5875194138976e-08,TRUE,6,424.973425503228,NA,TRUE
"Bacteroides",4911.94483286931,2.14117163943591,0.580727981796024,3.687047475849,0.000226871043191272,0.00345149090966409,4911.94483286931,43838070.8347917,FALSE,1.63545038793553,11,1.66464705448186,1.63573592996729,6,FALSE,1.63573592996729,10.7191046852932,2.14117163943591,0.434962578745358,0.580727981796024,24.6437399654294,3.687047475849,4.29515904112835e-134,0.000226871043191272,TRUE,6,753.153981179229,NA,FALSE
"Erysipelotrichaceae_incertae_sedis",13.9524648413539,2.45435244130013,0.678749031929104,3.61599402112516,0.000299197280830826,0.00345149090966409,13.9524648413539,696.79617522326,FALSE,1.99093495584935,7,5.63714312788254,2.09272464822619,8,FALSE,2.09272464822619,2.00154489390346,2.45435244130013,0.512190977252758,0.678749031929104,3.90780974830747,3.61599402112516,9.31365983473141e-05,0.000299197280830826,TRUE,7,271.973554730614,NA,TRUE
"Unclassified_Bacteroidales",46.8652697200601,2.54954075563181,0.712397036907918,3.57881998877735,0.000345149090966409,0.00345149090966409,46.8652697200601,12595.5553263882,FALSE,2.38621559751014,13,3.54197660940059,2.41641759554051,11,FALSE,2.41641759554051,3.64845734768754,2.54954075563181,0.534837961837128,0.712397036907918,6.82161254065691,3.57881998877735,9.00242026651609e-12,0.000345149090966409,TRUE,7,350.433252579743,NA,FALSE
"Lachnospiracea_incertae_sedis",89.5503828906457,-1.05916490601318,0.47010822137844,-2.25302357594922,0.0242576624967969,0.194061299974375,89.5503828906457,5099.79537678766,FALSE,1.03869024007378,11,1.44543175727601,1.0530622649094,9,FALSE,1.0530622649094,6.98824379393979,-1.05916490601318,0.349896078102129,0.47010822137844,19.9723410214962,-2.25302357594922,9.58538179824628e-89,0.0242576624967969,TRUE,5,446.224915175936,NA,FALSE
"Parabacteroides",83.4945819610225,1.53972364421403,0.749586841964985,2.054096414203,0.0399663610556547,0.248708215603705,83.4945819610225,16299.0022428388,FALSE,2.76248865516111,14,1.55737443474877,2.70733592562492,12,FALSE,2.70733592562492,5.33510181817698,1.53972364421403,0.561362829542857,0.749586841964985,9.50383876061334,2.054096414203,2.02292348032196e-21,0.0399663610556547,TRUE,12,407.314624652068,NA,TRUE
"Clostridium_sensu_stricto",12.2625299476167,1.79122914927183,0.887341511920108,2.01864685153274,0.0435239377306484,0.248708215603705,12.2625299476167,767.893105899388,FALSE,3.55074597269549,9,7.85265101838786,3.68834649484307,8,FALSE,3.68834649484307,2.37458972992115,1.79122914927183,0.665177005443998,0.887341511920108,3.56986142107563,2.01864685153274,0.000357170124699775,0.0435239377306484,TRUE,15,249.007206231414,NA,FALSE
"Bifidobacterium",13.5763624765122,-1.3161341852144,0.771877151494922,-1.70510836169383,0.0881742164248561,0.413705755501296,13.5763624765122,663.650328065792,FALSE,2.65773266580614,9,6.03409678905335,2.7593001132655,9,FALSE,2.7593001132655,4.35867979634018,-1.3161341852144,0.568449979559777,0.771877151494922,7.66765758302191,-1.70510836169383,1.7516575473248e-14,0.0881742164248561,TRUE,8,276.190870340606,NA,FALSE
"Clostridium_XVIII",20.9780739937419,1.00270177131589,0.597077200899665,1.67935029139454,0.0930837949877917,0.413705755501296,20.9780739937419,1202.45928491436,FALSE,1.63555831384054,12,2.62595091950382,1.66479342631542,11,FALSE,1.66479342631542,3.76411361402437,1.00270177131589,0.445658318880105,0.597077200899665,8.44618725727642,1.67935029139454,3.00970794692784e-17,0.0930837949877917,TRUE,6,325.921079278035,NA,FALSE
"Streptococcus",4.49396243723425,1.02839305659245,0.636752431695191,1.61505948843354,0.10629781288445,0.425191251537801,4.49396243723425,73.4370903564774,FALSE,1.39381305828525,12,33.5359039464321,1.69291631337634,13,FALSE,1.69291631337634,1.55776574637451,1.02839305659245,0.472182226732651,0.636752431695191,3.29907747090301,1.61505948843354,0.000970031366995531,0.10629781288445,TRUE,7,214.238997531132,NA,TRUE
