"rownames","Prob(selection)"
"Lachnospiracea_incertae_sedis",0.87375
"Unclassified_Lachnospiraceae",0.65
"Bacteroides",0.585
"Gemmiger",0.5225
"Ruminococcus",0.5175
"Unclassified_Ruminococcaceae",0.4675
"Unclassified_Firmicutes",0.3825
"Unclassified_Bacteria",0.3575
"Clostridium_IV",0.3225
"Roseburia",0.17625
"Dorea",0.14
"Oscillibacter",0.09125
"Odoribacter",0.05875
"Bifidobacterium",0.05625
"Barnesiella",0.05
"Faecalibacterium",0.04875
"Prevotella",0.04125
"Clostridium_XVIII",0.04125
"Blautia",0.035
"Megamonas",0.02375
"Alistipes",0.02125
"Unclassified_Clostridiales",0.01875
"Unclassified_Bacteroidales",0.0175
"Parabacteroides",0.015
"Clostridium_XI",0.015
"Akkermansia",0.0125
"Phascolarctobacterium",0.00875
"Sutterella",0.0075
"Unclassified_Prevotellaceae",0.00625
"Erysipelotrichaceae_incertae_sedis",0.00375
"Clostridium_XlVa",0.00375
"Enterococcus",0.0025
"Unclassified_Burkholderiales",0.0025
"Escherichia_Shigella",0.00125
"Streptococcus",0.00125
"Clostridium_sensu_stricto",0.00125
"Klebsiella",0.00125
"Catenibacterium",0.00125
"Lactobacillus",0
"Unclassified_Enterobacteriaceae",0
