".record.id","Sample.type","feature","Abundance"
"SB1","control","Bacteroides",0.624687428961127
"SB10","control","Bacteroides",0.0632717363535723
"SB11","patient","Bacteroides",0.429464285714286
"SB12","control","Bacteroides",0
"SB13","control","Bacteroides",0.212588028169014
"SB14","control","Bacteroides",0.0746518824136153
"SB15","control","Bacteroides",0.524200220628792
"SB16","patient","Bacteroides",0.812991311543235
"SB17","patient","Bacteroides",0.143536977491961
"SB18","patient","Bacteroides",0.861136941293162
"SB19","control","Bacteroides",0.0179672362163114
"SB21","control","Bacteroides",0.14396256973187
"SB22","patient","Bacteroides",0.583109404990403
"SB23","patient","Bacteroides",0.640398063474987
"SB24","control","Bacteroides",0.324727481353987
"SB25","control","Bacteroides",0.458653026427962
"SB26","control","Bacteroides",0.374160623153371
"SB28","patient","Bacteroides",0.174665617623918
"SB29","patient","Bacteroides",0.8678905687545
"SB3","control","Bacteroides",0.0261139896373057
"SB30","patient","Bacteroides",0.810771249747628
"SB31","control","Bacteroides",0.621758241758242
"SB32","control","Bacteroides",0.330082056045828
"SB33","control","Bacteroides",0.815321006087056
"SB34","patient","Bacteroides",0.773486881981124
"SB35","patient","Bacteroides",0.964271376957045
"SB36","patient","Bacteroides",0.543759512937595
"SB38","patient","Bacteroides",0.409518606204092
"SB39","patient","Bacteroides",0.503703703703704
"SB4","patient","Bacteroides",0.929152848959904
"SB40","control","Bacteroides",0.495537308104249
"SB41","patient","Bacteroides",0.867386685552408
"SB42","patient","Bacteroides",0.637544632682519
"SB43","patient","Bacteroides",0.288487672296641
"SB44","patient","Bacteroides",0.819879187259747
"SB45","control","Bacteroides",0.00211528291909043
"SB5","patient","Bacteroides",0.0810545811090533
"SB6","patient","Bacteroides",0.772339636633296
"SB7","control","Bacteroides",0.412001981459203
"SB8","patient","Bacteroides",0.448965865142088
"SB9","patient","Bacteroides",0.0397576675501704
"SB1","control","Prevotella",0.00204591952716526
"SB10","control","Prevotella",0.443838882738653
"SB11","patient","Prevotella",0.0165178571428571
"SB12","control","Prevotella",0
"SB13","control","Prevotella",0
"SB14","control","Prevotella",0.674703455389376
"SB15","control","Prevotella",0.000275785990071704
"SB16","patient","Prevotella",0.000413736036408771
"SB17","patient","Prevotella",0.682186495176849
"SB18","patient","Prevotella",0.000247969747690782
"SB19","control","Prevotella",0.197815747754095
"SB21","control","Prevotella",0.000539859636494511
"SB22","patient","Prevotella",0
"SB23","patient","Prevotella",0
"SB24","control","Prevotella",0.00215146299483649
"SB25","control","Prevotella",0.00213128729752771
"SB26","control","Prevotella",0
"SB28","patient","Prevotella",0
"SB29","patient","Prevotella",0.000359971202303816
"SB3","control","Prevotella",0.33139896373057
"SB30","patient","Prevotella",0.000100948919846558
"SB31","control","Prevotella",0.00021978021978022
"SB32","control","Prevotella",0.000774113639882335
"SB33","control","Prevotella",5.74250602963133e-05
"SB34","patient","Prevotella",0.000259762750021647
"SB35","patient","Prevotella",0
"SB36","patient","Prevotella",0.180365296803653
"SB38","patient","Prevotella",0.40733321192254
"SB39","patient","Prevotella",0
"SB4","patient","Prevotella",0
"SB40","control","Prevotella",0
"SB41","patient","Prevotella",0.000132790368271955
"SB42","patient","Prevotella",0
"SB43","patient","Prevotella",0.450203843913803
"SB44","patient","Prevotella",0
"SB45","control","Prevotella",0.860303190551736
"SB5","patient","Prevotella",0.00806188037912627
"SB6","patient","Prevotella",0.000741564701520208
"SB7","control","Prevotella",0.000141532800226452
"SB8","patient","Prevotella",0
"SB9","patient","Prevotella",0.0185535781900795
"SB1","control","Unclassified_Lachnospiraceae",0.0263696294612412
"SB10","control","Unclassified_Lachnospiraceae",0.0755343608958528
"SB11","patient","Unclassified_Lachnospiraceae",0.0111607142857143
"SB12","control","Unclassified_Lachnospiraceae",0.095058061031596
"SB13","control","Unclassified_Lachnospiraceae",0.186179577464789
"SB14","control","Unclassified_Lachnospiraceae",0.0711707065497679
"SB15","control","Unclassified_Lachnospiraceae",0.0750137892995036
"SB16","patient","Unclassified_Lachnospiraceae",0.0293752585850228
"SB17","patient","Unclassified_Lachnospiraceae",0.0140192926045016
"SB18","patient","Unclassified_Lachnospiraceae",0.0109726613353171
"SB19","control","Unclassified_Lachnospiraceae",0.0521402149022371
"SB21","control","Unclassified_Lachnospiraceae",0.11085117869354
"SB22","patient","Unclassified_Lachnospiraceae",0.111324376199616
"SB23","patient","Unclassified_Lachnospiraceae",0.064954276492738
"SB24","control","Unclassified_Lachnospiraceae",0.0384394721744119
"SB25","control","Unclassified_Lachnospiraceae",0.023231031543052
"SB26","control","Unclassified_Lachnospiraceae",0.0225624496373892
"SB28","patient","Unclassified_Lachnospiraceae",0.003933910306845
"SB29","patient","Unclassified_Lachnospiraceae",0.00323974082073434
"SB3","control","Unclassified_Lachnospiraceae",0.0553367875647668
"SB30","patient","Unclassified_Lachnospiraceae",0.00827781142741773
"SB31","control","Unclassified_Lachnospiraceae",0.063956043956044
"SB32","control","Unclassified_Lachnospiraceae",0.107756618671621
"SB33","control","Unclassified_Lachnospiraceae",0.0432410704031239
"SB34","patient","Unclassified_Lachnospiraceae",0.0452853060871071
"SB35","patient","Unclassified_Lachnospiraceae",0.00120433560818948
"SB36","patient","Unclassified_Lachnospiraceae",0
"SB38","patient","Unclassified_Lachnospiraceae",0.0113519091847265
"SB39","patient","Unclassified_Lachnospiraceae",0.029951690821256
"SB4","patient","Unclassified_Lachnospiraceae",0.00633102200783841
"SB40","control","Unclassified_Lachnospiraceae",0.0649767940021421
"SB41","patient","Unclassified_Lachnospiraceae",0.0104904390934844
"SB42","patient","Unclassified_Lachnospiraceae",0.0444427562105903
"SB43","patient","Unclassified_Lachnospiraceae",0.00184430207726655
"SB44","patient","Unclassified_Lachnospiraceae",0.0389895661724327
"SB45","control","Unclassified_Lachnospiraceae",0.0176273576590869
"SB5","patient","Unclassified_Lachnospiraceae",0.0992482841268112
"SB6","patient","Unclassified_Lachnospiraceae",0.0111234705228031
"SB7","control","Unclassified_Lachnospiraceae",0.0505272096808435
"SB8","patient","Unclassified_Lachnospiraceae",0.0553220110980326
"SB9","patient","Unclassified_Lachnospiraceae",0.0617190458159788
"SB1","control","Alistipes",0.0534212320982041
"SB10","control","Alistipes",0.026143234267223
"SB11","patient","Alistipes",0.248214285714286
"SB12","control","Alistipes",0
"SB13","control","Alistipes",0
"SB14","control","Alistipes",0.0141825683341929
"SB15","control","Alistipes",0
"SB16","patient","Alistipes",0
"SB17","patient","Alistipes",0.00334405144694534
"SB18","patient","Alistipes",0.000247969747690782
"SB19","control","Alistipes",0.0103928131055135
"SB21","control","Alistipes",0.0115170055785496
"SB22","patient","Alistipes",0.00806142034548944
"SB23","patient","Alistipes",0.0609198493813878
"SB24","control","Alistipes",0.307085484796328
"SB25","control","Alistipes",0.11615515771526
