"feature","Sample.type","age.quant","mean","sd","median","incidence"
"Lachnospiracea_incertae_sedis","control","[3.18,6.27]",0.0407951921708503,0.0406791763673267,0.0330030170571946,0.75
"Lachnospiracea_incertae_sedis","control","(6.27,8.71]",0.0585173341958817,0.0641429363251606,0.0585173341958817,1
"Lachnospiracea_incertae_sedis","control","(8.71,15.3]",0.0226176970680759,0.0120342210585807,0.0185025817555938,1
"Lachnospiracea_incertae_sedis","control","(15.3,26.4]",0.0329708257210789,0.022808959683954,0.0320190751937324,1
"Lachnospiracea_incertae_sedis","patient","[3.18,6.27]",0.00931082033222655,0.0119284939389374,0.0053890974534621,1
"Lachnospiracea_incertae_sedis","patient","(6.27,8.71]",0.00629630381556845,0.0113059583725834,0.00219529533954564,0.833333333333333
"Lachnospiracea_incertae_sedis","patient","(8.71,15.3]",0.00781258608401499,0.00802637004331012,0.00615906084656085,0.75
"Lachnospiracea_incertae_sedis","patient","(15.3,26.4]",0.0141822043796477,0.0127301793083571,0.0124120810922631,1
"Unclassified_Lachnospiraceae","control","[3.18,6.27]",0.0815557053230112,0.0258381521442183,0.080017427516869,1
"Unclassified_Lachnospiraceae","control","(6.27,8.71]",0.104371013551089,0.11569478060502,0.104371013551089,1
"Unclassified_Lachnospiraceae","control","(8.71,15.3]",0.0487745347695921,0.0212620487236949,0.0432410704031239,1
"Unclassified_Lachnospiraceae","control","(15.3,26.4]",0.0607171523619283,0.0334155287815515,0.0521402149022371,1
"Unclassified_Lachnospiraceae","patient","[3.18,6.27]",0.0224408360977154,0.0225171208233062,0.0226602940901356,0.75
"Unclassified_Lachnospiraceae","patient","(6.27,8.71]",0.0247316247284835,0.0425475541194366,0.00938412526045107,1
"Unclassified_Lachnospiraceae","patient","(8.71,15.3]",0.0260089466327847,0.0266238937004798,0.0205562025534852,1
"Unclassified_Lachnospiraceae","patient","(15.3,26.4]",0.0369303668435026,0.0320507582018774,0.0293752585850228,1
"Bacteroides","control","[3.18,6.27]",0.166403466868356,0.228184085421218,0.0850382796845877,0.75
"Bacteroides","control","(6.27,8.71]",0.293374325661193,0.114249077567346,0.293374325661193,1
"Bacteroides","control","(8.71,15.3]",0.491999898232969,0.239195892414431,0.524200220628792,1
"Bacteroides","control","(15.3,26.4]",0.165087658598801,0.19154681540152,0.0632717363535723,1
"Bacteroides","patient","[3.18,6.27]",0.732584045459941,0.174113880697486,0.728711909971133,1
"Bacteroides","patient","(6.27,8.71]",0.679360527217025,0.268623355597916,0.791555443190462,1
"Bacteroides","patient","(8.71,15.3]",0.484299258481301,0.379198218752156,0.466583994708995,1
"Bacteroides","patient","(15.3,26.4]",0.495508544504038,0.291723020281843,0.448965865142088,1
"Gemmiger","control","[3.18,6.27]",0.00872590407147054,0.00803656663558941,0.00781239364811781,0.75
"Gemmiger","control","(6.27,8.71]",0,0,0,0
"Gemmiger","control","(8.71,15.3]",0.00456143108719928,0.00406411721122754,0.00404944586530264,1
"Gemmiger","control","(15.3,26.4]",0.00815942998793435,0.00584919771750178,0.00882489549465862,1
"Gemmiger","patient","[3.18,6.27]",0.000551016189373593,0.00091218646285732,0.000150738619234248,0.5
"Gemmiger","patient","(6.27,8.71]",0.000191808309726157,0.0004698324872548,0,0.166666666666667
"Gemmiger","patient","(8.71,15.3]",0.00316838824897367,0.00584283321596154,0.000378644452858766,0.5
"Gemmiger","patient","(15.3,26.4]",0.00281811486996912,0.00276939972548663,0.00215169445938677,0.888888888888889
"Ruminococcus","control","[3.18,6.27]",0.0730575457968522,0.0803240249403828,0.0546088832078847,0.75
"Ruminococcus","control","(6.27,8.71]",0.170806213185641,0.2154134308217,0.170806213185641,1
"Ruminococcus","control","(8.71,15.3]",0.018315150646912,0.012359763295611,0.0198690708625244,1
"Ruminococcus","control","(15.3,26.4]",0.0530196507786473,0.0900619903925743,0.0103928131055135,1
"Ruminococcus","patient","[3.18,6.27]",0.00300740491184913,0.00273087909962269,0.00248184804057178,1
"Ruminococcus","patient","(6.27,8.71]",0.00869628558845598,0.0168459970974384,0.00229445274396046,0.833333333333333
"Ruminococcus","patient","(8.71,15.3]",0.00280429532912844,0.00357585794041996,0.00159073351539973,0.75
"Ruminococcus","patient","(15.3,26.4]",0.0048453814102345,0.00554564979023258,0.0029585798816568,1
"Unclassified_Ruminococcaceae","control","[3.18,6.27]",0.0517872515972595,0.0474115986284936,0.0500222004455008,0.75
"Unclassified_Ruminococcaceae","control","(6.27,8.71]",0.0194012500331022,0.000672025368327859,0.0194012500331022,1
"Unclassified_Ruminococcaceae","control","(8.71,15.3]",0.0241090954681927,0.0233008080414632,0.00954100051572976,1
"Unclassified_Ruminococcaceae","control","(15.3,26.4]",0.0391860347943643,0.0323776279607169,0.0223963212126373,1
"Unclassified_Ruminococcaceae","patient","[3.18,6.27]",0.00669851089844982,0.00795206961446595,0.00367760450753387,1
