"Bacteroides.Otu0001"	"Bacteroides.Otu2520"	"Prevotella.Otu1987"	"Bacteroides.Otu2654"	"Bacteroides.Otu0863"	"Faecalibacterium.Otu0067"	"Bacteroides.Otu2038"	"Alistipes.Otu2508"	"Bacteroides.Otu0848"	"Bacteroides.Otu0929"	"Bacteroides.Otu2431"	"Parabacteroides.Otu1736"	"Ruminococcus.Otu1859"	"Bacteroides.Otu2065"	"Bacteroides.Otu2625"	"Prevotella.Otu1994"	"Alistipes.Otu1466"	"Escherichia_Shigella.Otu2393"	"Bacteroides.Otu1201"	"Blautia.Otu2475"	"Erysipelotrichaceae_incertae_sedis.Otu0818"	"Bacteroides.Otu0661"	"Bacteroides.Otu0069"	"Clostridium_XI.Otu1804"	"Bacteroides.Otu2765"	"Bacteroides.Otu0480"	"Bacteroides.Otu0786"	"Bacteroides.Otu0006"	"Akkermansia.Otu1935"	"Bacteroides.Otu2481"	"Bacteroides.Otu2437"	"Faecalibacterium.Otu0751"	"Bacteroides.Otu1726"	"Clostridium_XlVa.Otu0236"	"Prevotella.Otu1633"	"Dorea.Otu1142"	"Bacteroides.Otu1624"	"Bifidobacterium.Otu1244"	"Bacteroides.Otu2343"	"Prevotella.Otu2602"	"Sutterella.Otu0171"	"Bacteroides.Otu2104"	"Lactobacillus.Otu0959"	"Megamonas.Otu2657"	"Prevotella.Otu1803"	"Lachnospiraceae.Otu0220"	"Lachnospiraceae.Otu2512"	"Ruminococcaceae.Otu1504"	"Clostridiales.Otu1597"	"Prevotella.Otu0634"	"Bacteroides.Otu0877"	"Parabacteroides.Otu1378"	"Lachnospiraceae.Otu2222"	"Clostridium_XI.Otu2681"	"Bacteroides.Otu1565"	"Gemmiger.Otu0907"	"Enterococcus.Otu1019"	"Bacteroides.Otu2216"	"Lachnospiraceae.Otu0898"	"Megamonas.Otu1877"	"Ruminococcus.Otu0422"	"Sutterella.Otu1997"	"Clostridium_IV.Otu1864"	"Prevotella.Otu1319"	"Phascolarctobacterium.Otu1814"	"Prevotella.Otu0738"	"Lachnospiracea_incertae_sedis.Otu1152"	"Lachnospiracea_incertae_sedis.Otu0113"	"Roseburia.Otu1051"	"Klebsiella.Otu1452"	"Blautia.Otu2495"	"Prevotella.Otu1563"	"Bacteroides.Otu2120"	"Bacteroides.Otu2375"	"Lachnospiraceae.Otu0790"	"Parabacteroides.Otu1107"	"Bacteroidales.Otu1168"	"Lachnospiraceae.Otu2599"	"Prevotella.Otu0773"	"Bacteroides.Otu2534"	"Lachnospiracea_incertae_sedis.Otu0778"	"Bacteria.Otu0435"	"Alistipes.Otu0529"	"Lachnospiracea_incertae_sedis.Otu1990"	"Bacteroides.Otu2460"	"Streptococcus.Otu0749"	"Prevotella.Otu0882"	"Oscillibacter.Otu0154"	"Lachnospiraceae.Otu0272"	"Blautia.Otu0620"	"Lachnospiracea_incertae_sedis.Otu2549"	"Roseburia.Otu2084"	"Lachnospiraceae.Otu0875"	"Bacteroides.Otu2416"	"Ruminococcaceae.Otu0064"	"Bacteroides.Otu1411"	"Lachnospiracea_incertae_sedis.Otu2746"	"Ruminococcus.Otu1429"	"Prevotella.Otu2666"	"Bacteroides.Otu1669"	"Lachnospiracea_incertae_sedis.Otu0651"	"Bacteroides.Otu2383"	"Blautia.Otu0591"	"Lachnospiraceae.Otu1734"	"Bacteroides.Otu0775"	"Catenibacterium.Otu2320"	"Lachnospiraceae.Otu0578"	"Prevotellaceae.Otu2503"	"Lachnospiraceae.Otu2612"	"Prevotella.Otu2327"	"Bacteroides.Otu0752"	"Prevotella.Otu2501"	"Ruminococcaceae.Otu2507"	"Prevotella.Otu2702"	"Prevotella.Otu2220"	"Bacteroides.Otu1854"	"Bacteroides.Otu0801"	"other"
68	585	0	22	18	61	0	195	26	20	209	1	0	151	289	0	0	2	17	13	0	22	9	5	18	0	0	4	0	0	42	5	0	82	0	28	128	0	0	0	454	12	0	0	0	8	15	0	0	9	77	1	9	0	458	5	1	27	2	0	0	33	0	0	0	0	3	36	9	0	14	0	2	4	0	0	1	6	0	0	0	0	31	2	23	0	0	6	2	1	3	23	5	0	0	1	6	0	0	10	2	4	0	2	21	0	0	0	6	0	15	0	1	0	0	2	0	1027
184	70	2359	1	97	410	2	72	15	55	16	108	0	0	12	377	85	0	69	212	0	39	24	28	12	0	0	21	0	0	1	134	0	42	485	238	0	1	0	272	202	7	10	0	281	10	102	0	0	122	0	7	30	0	0	175	0	0	0	0	0	25	5	121	0	5	22	46	34	0	39	177	29	2	27	5	2	45	243	0	43	0	11	60	1	0	65	5	9	24	26	44	42	7	0	0	54	0	3	2	4	6	21	36	0	597	116	29	15	69	5	18	45	2	8	0	0	3162
48	33	0	0	537	2	1	486	20	6	39	30	0	0	0	0	44	1	78	2	0	3	4	70	7	42	3	6	66	0	11	0	0	1	1	10	0	0	3	0	9	3	0	0	0	0	0	0	0	36	1	31	0	21	0	0	0	0	1	0	0	0	6	0	31	0	6	0	0	1	4	0	0	1	0	0	0	1	0	0	0	0	18	1	0	0	0	7	0	0	0	0	4	1	0	0	2	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	494
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	623	0	712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	334	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	794
98	0	0	0	0	45	305	0	0	0	0	11	0	0	0	0	0	1	0	21	4	0	0	21	0	0	0	29	18	0	0	3	0	99	0	29	0	0	0	0	0	0	0	0	0	96	1	0	126	0	0	0	91	4	0	0	0	0	0	0	0	0	0	0	0	0	55	10	37	0	11	0	0	0	5	0	0	8	0	0	4	0	0	14	0	0	0	8	56	1	71	5	6	0	0	0	34	30	0	0	4	0	3	2	0	0	3	0	5	0	0	0	0	0	0	0	0	898
217	10	2278	1	21	160	21	102	6	13	21	37	24	0	0	673	0	0	19	44	0	7	29	4	10	15	0	33	3	1	17	74	0	7	17	12	0	2	0	475	0	2	0	0	355	42	112	0	5	245	0	1	53	1	6	65	0	0	0	0	0	16	5	284	0	10	14	31	5	0	4	153	89	9	107	0	0	6	9	0	17	0	7	24	0	0	227	0	8	5	15	10	12	4	0	2	13	3	1	1	5	1	12	8	3	0	6	1	16	104	1	10	1	0	10	0	0	1247
844	635	0	328	101	90	16	0	59	67	1025	1	0	0	24	0	0	6	51	179	3	131	125	130	82	1025	133	58	0	3	1336	42	0	10	0	338	5	5	89	0	0	43	0	304	0	107	10	0	0	0	15	20	171	9	58	1	0	0	7	1482	0	0	0	0	40	0	45	17	48	0	15	0	37	25	19	68	0	29	0	1	22	0	0	95	5	1092	0	0	263	83	53	38	2	19	0	124	114	0	0	45	6	14	21	29	115	0	156	0	0	0	50	0	6	0	0	0	0	2640
420	45	0	26	0	1	18	0	89	9	1	0	2	0	7	0	0	35	1	2	11	1	52	4	3	0	607	26	0	0	0	0	0	5	1	0	0	0	316	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	5	0	0	0	5	3	31	0	5	3	0	16	15	0	0	2	1	0	0	3	0	0	0	0	1	62	0	0	1	0	0	1	0	0	0	2	0	0	2	0	1	0	1	0	0	0	0	0	0	560
473	43	3639	177	13	143	28	25	23	8	20	73	0	14	12	0	0	1	13	36	0	8	51	24	15	0	11	59	0	0	7	52	0	10	37	27	0	0	7	100	239	10	0	0	212	16	2	0	0	297	0	114	7	0	0	21	0	2	0	0	0	18	0	100	1	4	6	3	1	0	11	131	31	9	8	27	1	5	128	0	4	0	0	5	0	0	45	0	1	6	1	4	1	4	0	5	3	0	0	3	7	0	0	3	4	0	8	0	8	134	3	10	9	0	0	0	0	954
115	2642	0	6654	48	16	9	0	141	72	69	0	0	0	1696	0	0	0	144	33	7	68	8	0	38	0	362	7	0	0	0	4	0	13	0	13	2	0	238	0	0	20	0	0	0	0	0	0	0	0	69	0	1	0	3	69	1158	0	2	0	0	0	0	0	0	0	0	3	26	0	24	0	1	11	0	0	393	41	0	5	0	0	0	0	169	0	0	16	0	5	5	17	2	7	0	20	0	0	0	42	0	7	4	38	1	0	0	0	0	0	7	0	0	0	0	18	0	1548
25	7	773	4	3	377	1	52	0	0	0	3	1	22	0	0	0	10	0	32	0	1	7	208	0	0	0	1	0	0	10	116	0	9	29	24	0	16	0	12	0	0	1029	740	9	26	20	0	0	140	1	1	25	14	0	24	0	2	0	0	0	10	4	2	194	0	4	24	10	0	7	58	1	0	2	6	0	4	7	0	9	0	4	18	0	0	1	3	0	3	2	4	9	0	0	0	10	32	0	0	11	0	9	5	0	0	96	0	17	0	0	1	0	0	0	1	0	1335
