"feature","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","i.baseMean","baseVar","allZero","dispGeneEst","dispGeneIter","dispFit","dispersion","dispIter","dispOutlier","dispMAP","Intercept","Sample.type_patient_vs_control","SE_Intercept","SE_Sample.type_patient_vs_control","WaldStatistic_Intercept","WaldStatistic_Sample.type_patient_vs_control","WaldPvalue_Intercept","WaldPvalue_Sample.type_patient_vs_control","betaConv","betaIter","deviance","maxCooks","replace"
"Prevotella.Otu1994",23.8047468314745,-24.2429943632004,2.93839136310382,-8.25043071784436,1.57824654136446e-16,1.14176456644045e-14,23.8047468314745,16239.7356301048,FALSE,41,37,8.90593184976595,41,9,FALSE,41,5.76047373961845,-24.2429943632004,2.17784133016075,2.93839136310382,2.64503830460103,-8.25043071784436,0.00816816700225928,1.57824654136446e-16,TRUE,100,50.4250426286963,NA,TRUE
"Ruminococcus.Otu0422",5.13789507390627,-22.8809273440585,2.78626915374488,-8.21203052594737,2.17478965036277e-16,1.14176456644045e-14,5.13789507390627,609.716695716814,FALSE,41,8,8.35096028239709,36.7365088979171,5,FALSE,36.7365088979171,3.54949658210548,-22.8809273440585,2.06347926645622,2.78626915374488,1.72015131908803,-8.21203052594737,0.0854049392923547,2.17478965036277e-16,TRUE,100,63.4166611572225,NA,TRUE
"Ruminococcus.Otu1859",60.7534348631167,-5.81163002219175,1.21101432356386,-4.79897711291215,1.59478015307189e-06,5.58173053575162e-05,60.7534348631167,40516.80627629,FALSE,6.77001241107351,9,8.34346314024018,6.84019356375444,8,FALSE,6.84019356375444,7.08006325798635,-5.81163002219175,0.889840450648682,1.21101432356386,7.95655361905056,-4.79897711291215,1.76897492301451e-15,1.59478015307189e-06,TRUE,16,243.102115921232,NA,TRUE
"Lachnospiraceae.Otu2512",23.5068774434619,-3.4754037031759,0.733402015375686,-4.73874304994324,2.15047984256424e-06,5.64500958673113e-05,23.5068774434619,1343.29160903156,FALSE,2.32853739040622,8,8.82001697587545,2.44968795830881,8,FALSE,2.44968795830881,5.59336940612111,-3.4754037031759,0.53451751041852,0.733402015375686,10.4643333419359,-4.73874304994324,1.25960050785193e-25,2.15047984256424e-06,TRUE,7,284.656624500304,NA,FALSE
"Erysipelotrichaceae_incertae_sedis.Otu0818",13.9971215980079,3.58748575372446,0.891364539778257,4.024712217761,5.70450318200721e-05,0.00119794566822151,13.9971215980079,1953.76550963315,FALSE,3.44745140204227,9,6.55029039306436,3.54416850874031,8,FALSE,3.54416850874031,0.96031900547356,3.58748575372446,0.684047287938582,0.891364539778257,1.4038780979127,4.024712217761,0.160355152711778,5.70450318200721e-05,TRUE,9,234.404449656733,NA,TRUE
"Lachnospiracea_incertae_sedis.Otu0113",15.994219495989,-2.09688747692723,0.590818638861796,-3.54912208079091,0.00038651783969272,0.00676406219462261,15.994219495989,368.641536480473,FALSE,1.47964217961243,8,6.82481974606979,1.57573961436864,9,FALSE,1.57573961436864,4.81516103667547,-2.09688747692723,0.431719323690964,0.590818638861796,11.1534526541654,-3.54912208079091,6.88807084850334e-29,0.00038651783969272,TRUE,6,292.55074842168,NA,FALSE
"Bacteroides.Otu2654",149.855331918187,3.10239755909282,0.919236216549153,3.37497316058688,0.000738228901497712,0.0110734335224657,149.855331918187,177767.497483635,FALSE,4.03133167549197,11,5.99873176126132,4.07657865558673,11,FALSE,4.07657865558673,4.83407255532565,3.10239755909282,0.689582304206451,0.919236216549153,7.01014588953025,3.37497316058688,2.38069751422143e-12,0.000738228901497712,TRUE,15,395.816696866297,NA,TRUE
"Lachnospiracea_incertae_sedis.Otu1990",11.1042124692929,-2.54170943105939,0.794073936769416,-3.20084731832403,0.00137024118541566,0.0179844155585806,11.1042124692929,228.185191002526,FALSE,2.74464857812093,12,6.43723458179394,2.8525454918916,10,FALSE,2.8525454918916,4.38125215321083,-2.54170943105939,0.579221595623036,0.794073936769416,7.56403453586389,-3.20084731832403,3.90755916818993e-14,0.00137024118541566,TRUE,9,245.02396396131,NA,FALSE
"Lachnospiracea_incertae_sedis.Otu2746",9.20786534782824,-2.42001001931654,0.778359304672014,-3.10911683690386,0.00187647498172072,0.0205964797543241,9.20786534782824,185.880128690312,FALSE,2.59089314124212,11,6.66616235808595,2.70599628771362,10,FALSE,2.70599628771362,4.09181910209432,-2.42001001931654,0.565504849047913,0.778359304672014,7.23569233576568,-3.10911683690386,4.63160229408587e-13,0.00187647498172072,TRUE,9,235.607698776783,NA,FALSE
"Bacteroides.Otu2416",13.4142175731435,2.59110382417962,0.836922532208761,3.09599004025058,0.00196156950041182,0.0205964797543241,13.4142175731435,1587.17655720811,FALSE,3.11086232628355,11,6.49620048525752,3.20478128810062,7,FALSE,3.20478128810062,1.78899317069351,2.59110382417962,0.635473823451568,0.836922532208761,2.81521142912956,3.09599004025058,0.0048745152585803,0.00196156950041182,TRUE,9,250.074763930104,NA,FALSE
