"rownames","Prob(selection)"
"Lachnospiraceae.Otu2512",0.66
"Lachnospiracea_incertae_sedis.Otu1990",0.49875
"Lachnospiracea_incertae_sedis.Otu0113",0.38375
"Ruminococcus.Otu1859",0.22625
"Lachnospiraceae.Otu2612",0.21125
"Bacteroides.Otu2481",0.14875
"Bacteroides.Otu2375",0.1475
"Bacteroides.Otu0006",0.14125
"Bacteroides.Otu0001",0.135
"Lachnospiraceae.Otu0578",0.13375
"Clostridium_IV.Otu1864",0.10125
"Gemmiger.Otu0907",0.095
"Lachnospiracea_incertae_sedis.Otu2746",0.08625
"Bifidobacterium.Otu1244",0.085
"Lachnospiracea_incertae_sedis.Otu2549",0.08
"Ruminococcus.Otu0422",0.0725
"Blautia.Otu2475",0.07
"Prevotella.Otu1987",0.06875
"Blautia.Otu0591",0.06875
"Lachnospiraceae.Otu0220",0.06625
"Prevotella.Otu1994",0.0625
"Lachnospiraceae.Otu0875",0.0575
"Bacteroides.Otu2460",0.04875
"Prevotella.Otu2702",0.04875
"Bacteroides.Otu2416",0.0475
"Bacteroides.Otu2654",0.0425
"Bacteroides.Otu0863",0.04125
"Alistipes.Otu2508",0.04
"Lachnospiraceae.Otu2222",0.03875
"Bacteroides.Otu2765",0.0375
"Erysipelotrichaceae_incertae_sedis.Otu0818",0.035
"Parabacteroides.Otu1378",0.03375
"Bacteroides.Otu2104",0.0325
"Bacteroides.Otu2437",0.03125
"Dorea.Otu1142",0.03
"Phascolarctobacterium.Otu1814",0.03
"Clostridiales.Otu1597",0.02875
"Ruminococcaceae.Otu1504",0.0275
"Lachnospiraceae.Otu0272",0.0275
"Bacteroides.Otu1565",0.02625
"Klebsiella.Otu1452",0.02625
"Ruminococcus.Otu1429",0.02375
"Bacteroides.Otu1726",0.0225
"Clostridium_XI.Otu2681",0.0225
"Prevotella.Otu2327",0.0225
"Lachnospiracea_incertae_sedis.Otu1152",0.02125
"Bacteroides.Otu2120",0.02125
"Oscillibacter.Otu0154",0.02125
"Bacteroides.Otu2431",0.02
"Bacteroides.Otu1201",0.02
"Lachnospiraceae.Otu0790",0.02
"Prevotella.Otu0773",0.02
"Bacteroides.Otu2343",0.01875
"Alistipes.Otu1466",0.0175
"Escherichia_Shigella.Otu2393",0.0175
"Enterococcus.Otu1019",0.0175
"Prevotella.Otu1563",0.0175
"Prevotella.Otu2220",0.0175
"Blautia.Otu2495",0.01625
"Sutterella.Otu0171",0.015
"Roseburia.Otu2084",0.015
"Bacteroides.Otu2065",0.01375
"Bacteroides.Otu0480",0.01375
"Faecalibacterium.Otu0751",0.01375
"Bacteroides.Otu1624",0.01375
"Lactobacillus.Otu0959",0.0125
"Alistipes.Otu0529",0.01125
"Bacteroides.Otu0775",0.01125
"Prevotellaceae.Otu2503",0.01125
"Bacteroides.Otu0752",0.01125
"Ruminococcaceae.Otu2507",0.01125
"Prevotella.Otu2602",0.01
"Bacteroides.Otu2216",0.01
"Bacteroides.Otu1411",0.01
"Bacteroides.Otu0848",0.00875
"Sutterella.Otu1997",0.00875
"Ruminococcaceae.Otu0064",0.00875
"Prevotella.Otu2666",0.00875
"Parabacteroides.Otu1736",0.0075
"Akkermansia.Otu1935",0.0075
"Prevotella.Otu1633",0.0075
"Prevotella.Otu0634",0.0075
"Lachnospiraceae.Otu0898",0.0075
"Prevotella.Otu1319",0.0075
"Lachnospiracea_incertae_sedis.Otu0778",0.0075
"Clostridium_XI.Otu1804",0.00625
"Prevotella.Otu0738",0.00625
"Parabacteroides.Otu1107",0.00625
"Bacteroides.Otu1854",0.00625
"Megamonas.Otu2657",0.005
"Lachnospiraceae.Otu2599",0.005
"Streptococcus.Otu0749",0.005
"Catenibacterium.Otu2320",0.005
"Bacteroides.Otu2520",0.00375
"Bacteroides.Otu0069",0.00375
"Clostridium_XlVa.Otu0236",0.00375
"Roseburia.Otu1051",0.00375
"Bacteroides.Otu1669",0.00375
"Bacteroides.Otu0877",0.0025
"Lachnospiracea_incertae_sedis.Otu0651",0.0025
"Prevotella.Otu2501",0.0025
"Bacteroides.Otu2038",0.00125
"Bacteroides.Otu0929",0.00125
"Bacteroides.Otu0786",0.00125
"Prevotella.Otu0882",0.00125
"Blautia.Otu0620",0.00125
"Bacteroides.Otu2383",0.00125
"Lachnospiraceae.Otu1734",0.00125
"Faecalibacterium.Otu0067",0
"Bacteroides.Otu2625",0
"Bacteroides.Otu0661",0
"Prevotella.Otu1803",0
"Megamonas.Otu1877",0
"Bacteroidales.Otu1168",0
"Bacteroides.Otu2534",0
"Bacteria.Otu0435",0
"Bacteroides.Otu0801",0
