"feature","Sample.type","mean","sd","median","incidence"
"Bacteroides.Otu0001","control",0.0500195273761099,0.0471293466898213,0.0412399606399276,0.888888888888889
"Bacteroides.Otu0001","patient",0.11675918413341,0.125454568865507,0.0906339330755003,0.826086956521739
"Bacteroides.Otu2520","control",0.0475365696724749,0.070145005001854,0.015179967107927,0.777777777777778
"Bacteroides.Otu2520","patient",0.0610762200690524,0.105389018663095,0.0147321428571429,0.869565217391304
"Prevotella.Otu1987","control",0.0577761758366136,0.10878069301472,0,0.333333333333333
"Prevotella.Otu1987","patient",0.0312448259331014,0.0999365283669306,0,0.260869565217391
"Bacteroides.Otu2654","control",0.00532565178131188,0.00840712484711663,0.00069684911111732,0.777777777777778
"Bacteroides.Otu2654","patient",0.0478346565772067,0.0967655452716759,0.0107571369466281,0.782608695652174
"Bacteroides.Otu0863","control",0.0104646229504603,0.0186404327867986,0.00608253072538787,0.777777777777778
"Bacteroides.Otu0863","patient",0.0322862588919039,0.057896506384693,0.0149273803119957,0.869565217391304
"Faecalibacterium.Otu0067","control",0.0256566175232895,0.0238867467089008,0.0204006823386747,0.944444444444444
"Faecalibacterium.Otu0067","patient",0.0176795536781917,0.0193244314889582,0.0116596002422774,0.956521739130435
"Bacteroides.Otu2038","control",0.0128039628084638,0.0318881655155183,0.00241943426248226,0.833333333333333
"Bacteroides.Otu2038","patient",0.0262285634222685,0.0646505431867635,0.00360128617363344,0.869565217391304
"Alistipes.Otu2508","control",0.0202712383397744,0.030546265054525,0.00764553987698285,0.666666666666667
"Alistipes.Otu2508","patient",0.0177410072664021,0.0458923992311264,0.000519525500043294,0.521739130434783
"Bacteroides.Otu0848","control",0.0108943885413816,0.0218382499892685,0.00131017983888036,0.722222222222222
"Bacteroides.Otu0848","patient",0.0225169330095199,0.0349480355677239,0.00655792836724399,0.869565217391304
"Bacteroides.Otu0929","control",0.00769931519668504,0.00962091094138415,0.00451109558147661,0.833333333333333
"Bacteroides.Otu0929","patient",0.0229685090900464,0.0487752997704163,0.00372362432767894,0.739130434782609
"Bacteroides.Otu2431","control",0.0168031952699355,0.0211013322382734,0.00694759440029328,0.777777777777778
"Bacteroides.Otu2431","patient",0.0155315180493766,0.0234117210325469,0.00753693096171239,0.826086956521739
"Parabacteroides.Otu1736","control",0.00448497261592414,0.00498595672172609,0.00389978894393941,0.833333333333333
"Parabacteroides.Otu1736","patient",0.0250903272967537,0.0991605204189888,0.000132790368271955,0.565217391304348
"Ruminococcus.Otu1859","control",0.0326307909943573,0.0591568623619103,0.00508857206946855,0.722222222222222
"Ruminococcus.Otu1859","patient",0.0015155937094567,0.00567954391975773,0,0.260869565217391
"Bacteroides.Otu2065","control",0.00721689465672808,0.0137129497999959,0,0.333333333333333
"Bacteroides.Otu2065","patient",0.0211195202041401,0.0820742750956232,0,0.217391304347826
"Bacteroides.Otu2625","control",0.0059411616390482,0.0156975383111386,0.00080372297264347,0.666666666666667
"Bacteroides.Otu2625","patient",0.0195112380538638,0.04502573986349,0.000667759363807442,0.652173913043478
"Prevotella.Otu1994","control",0.0264586621413298,0.0608823454549685,0,0.222222222222222
"Prevotella.Otu1994","patient",0.00336150613975317,0.0135592007392791,0,0.0869565217391304
"Alistipes.Otu1466","control",0.0162689704843501,0.0402786684320615,0.000269929818247256,0.5
"Alistipes.Otu1466","patient",0.0108559510698663,0.0178693208636543,0.00257648953301127,0.521739130434783
