"feature","Sample.type","age.quant","mean","sd","median","incidence"
"Lachnospiraceae.Otu2512","control","[3.18,6.27]",0.0101861396815898,0.0107939023538115,0.00984032648920607,0.75
"Lachnospiraceae.Otu2512","control","(6.27,8.71]",0.000220070422535211,0.000311226576226473,0.000220070422535211,0.5
"Lachnospiraceae.Otu2512","control","(8.71,15.3]",0.00853447729515455,0.00684412109389095,0.0118869874813369,1
"Lachnospiraceae.Otu2512","control","(15.3,26.4]",0.00893352325881746,0.00661783741752226,0.00868602571744869,1
"Lachnospiraceae.Otu2512","patient","[3.18,6.27]",0.000238976066329512,0.000165458354706065,0.000288025824066757,0.75
"Lachnospiraceae.Otu2512","patient","(6.27,8.71]",0.000334060708467775,0.000488390431347409,6.63951841359773e-05,0.5
"Lachnospiraceae.Otu2512","patient","(8.71,15.3]",0.000189322226429383,0.000378644452858766,0,0.25
"Lachnospiraceae.Otu2512","patient","(15.3,26.4]",0.00141017005456634,0.00233210510879984,0.000173175166681098,0.777777777777778
"Lachnospiracea_incertae_sedis.Otu1990","control","[3.18,6.27]",0.00411357484477384,0.00317008144499518,0.00439295279835597,0.75
"Lachnospiracea_incertae_sedis.Otu1990","control","(6.27,8.71]",0.00348388680187491,0.00378738416935713,0.00348388680187491,1
"Lachnospiracea_incertae_sedis.Otu1990","control","(8.71,15.3]",0.00327772609990389,0.00250103292414268,0.00309437854564208,1
"Lachnospiracea_incertae_sedis.Otu1990","control","(15.3,26.4]",0.00346495839304268,0.00206218416698876,0.00356092274345874,1
"Lachnospiracea_incertae_sedis.Otu1990","patient","[3.18,6.27]",0,0,0,0
"Lachnospiracea_incertae_sedis.Otu1990","patient","(6.27,8.71]",6.91743011417926e-05,0.000148814180473196,0,0.333333333333333
"Lachnospiracea_incertae_sedis.Otu1990","patient","(8.71,15.3]",0.000111607142857143,0.000223214285714286,0,0.25
"Lachnospiracea_incertae_sedis.Otu1990","patient","(15.3,26.4]",0.00147186269477882,0.00306030202285584,0.000121410793419535,0.666666666666667
"Lachnospiracea_incertae_sedis.Otu0113","control","[3.18,6.27]",0.00785423304540528,0.0094507260429059,0.00491127336092032,0.75
"Lachnospiracea_incertae_sedis.Otu0113","control","(6.27,8.71]",0.00246930481627341,0.0027324071637224,0.00246930481627341,1
"Lachnospiracea_incertae_sedis.Otu0113","control","(8.71,15.3]",0.00371512686165027,0.00267022650837983,0.00399690562145436,1
"Lachnospiracea_incertae_sedis.Otu0113","control","(15.3,26.4]",0.00418925291979812,0.00128772695105606,0.00422758499207328,1
"Lachnospiracea_incertae_sedis.Otu0113","patient","[3.18,6.27]",0.000544810030512115,0.000776662186472843,0.000265896832029173,0.5
"Lachnospiracea_incertae_sedis.Otu0113","patient","(6.27,8.71]",0.000879700716696935,0.00115554532019904,0.000436030342442758,0.666666666666667
"Lachnospiracea_incertae_sedis.Otu0113","patient","(8.71,15.3]",0.000525529233363881,0.000610773115270778,0.000483091787439614,0.5
"Lachnospiracea_incertae_sedis.Otu0113","patient","(15.3,26.4]",0.00141998045873746,0.00191929461301139,0.000385852090032154,0.777777777777778
"Ruminococcus.Otu1859","control","[3.18,6.27]",0.0410396058410921,0.0484894694772045,0.0314223824577825,0.75
"Ruminococcus.Otu1859","control","(6.27,8.71]",0.10529143164115,0.148904570628593,0.10529143164115,0.5
"Ruminococcus.Otu1859","control","(8.71,15.3]",0.00758887628742839,0.00733330759129191,0.00660699062233589,0.714285714285714
"Ruminococcus.Otu1859","control","(15.3,26.4]",0.031898163447953,0.0606399753932158,0.00141018861272695,0.8
"Ruminococcus.Otu1859","patient","[3.18,6.27]",0.000622714543271161,0.00100784220019991,0.000190258751902588,0.5
"Ruminococcus.Otu1859","patient","(6.27,8.71]",0.00455963522918167,0.0111687797247133,0,0.166666666666667
"Ruminococcus.Otu1859","patient","(8.71,15.3]",0,0,0,0
"Ruminococcus.Otu1859","patient","(15.3,26.4]",0.000556665085481046,0.000911956757384908,0,0.333333333333333
"Lachnospiraceae.Otu2612","control","[3.18,6.27]",0.00426799317438281,0.00321674018456689,0.00501267028658946,0.75
"Lachnospiraceae.Otu2612","control","(6.27,8.71]",0.00110035211267606,0.00155613288113237,0.00110035211267606,0.5
"Lachnospiraceae.Otu2612","control","(8.71,15.3]",0.00209628493967508,0.00283619408291151,0.00136394635144351,0.857142857142857
"Lachnospiraceae.Otu2612","control","(15.3,26.4]",0.00216417137612411,0.0014422104773398,0.00183992640294388,1
"Lachnospiraceae.Otu2612","patient","[3.18,6.27]",0.000449846876215982,0.000801606109737232,7.59705234369065e-05,0.5
"Lachnospiraceae.Otu2612","patient","(6.27,8.71]",6.39795265515035e-05,0.000156717194036032,0,0.166666666666667
"Lachnospiraceae.Otu2612","patient","(8.71,15.3]",0.000223214285714286,0.000446428571428571,0,0.25
"Lachnospiraceae.Otu2612","patient","(15.3,26.4]",0.00113165327452441,0.00238157663195226,0.000168152009416513,0.555555555555556
"Bacteroides.Otu2481","control","[3.18,6.27]",5.18134715025907e-05,0.000103626943005181,0,0.25
"Bacteroides.Otu2481","control","(6.27,8.71]",0,0,0,0
"Bacteroides.Otu2481","control","(8.71,15.3]",0.0390618267413985,0.103105881014009,0.000128932439401753,0.571428571428571
"Bacteroides.Otu2481","control","(15.3,26.4]",0,0,0,0
"Bacteroides.Otu2481","patient","[3.18,6.27]",0,0,0,0
"Bacteroides.Otu2481","patient","(6.27,8.71]",0,0,0,0
"Bacteroides.Otu2481","patient","(8.71,15.3]",0,0,0,0
"Bacteroides.Otu2481","patient","(15.3,26.4]",0,0,0,0
"Bacteroides.Otu2375","control","[3.18,6.27]",0.000943308827530619,0.00145020073267752,0.000357015351660121,0.5
"Bacteroides.Otu2375","control","(6.27,8.71]",0.00040290088638195,0.000569787897813495,0.00040290088638195,0.5
"Bacteroides.Otu2375","control","(8.71,15.3]",0.00256203220492549,0.00265463245399473,0.00172366243794815,1
"Bacteroides.Otu2375","control","(15.3,26.4]",0.000333076359703702,0.000405504297775952,0.000170314229753896,0.6
"Bacteroides.Otu2375","patient","[3.18,6.27]",0.00145177694905952,0.00265593991732663,0.000190258751902588,0.5
"Bacteroides.Otu2375","patient","(6.27,8.71]",0.00456171747063476,0.0040609121562748,0.00411789028400789,0.833333333333333
"Bacteroides.Otu2375","patient","(8.71,15.3]",0.00169980452460697,0.00174061711472357,0.00162827249526868,0.75
