"Bacteroidetes"	"Firmicutes"	"Proteobacteria"	"Actinobacteria"	"Unclassified_Bacteria"	"Verrucomicrobia"	"Spirochaetes"	"TM7"	"Fusobacteria"	"Lentisphaerae"	"Cyanobacteria_Chloroplast"
3012	782	533	12	60	0	0	0	0	0	0
6619	4334	639	32	108	0	0	0	0	11	0
1691	449	11	2	18	68	0	0	0	0	1
0	1724	1161	705	113	0	0	0	0	0	0
500	1561	146	18	27	20	0	0	0	0	0
6102	1524	86	19	22	3	0	0	0	0	0
7745	6348	78	34	245	0	0	0	54	0	0
14308	1670	91	3	59	0	0	0	0	0	0
1317	3974	79	218	88	0	0	1	0	0	0
949	4193	106	45	234	30	0	0	0	0	0
1593	943	32	19	18	0	0	0	0	0	0
5019	1608	137	34	122	51	0	0	1	0	0
2888	1609	52	15	23	105	0	0	0	0	0
1881	1750	8	21	61	1	0	1	0	0	0
2513	253	1	4	7	0	0	0	0	0	0
1984	2485	79	85	192	0	0	0	0	0	0
8821	4545	128	104	51	0	0	1	0	0	0
2659	3475	265	9	45	0	0	1	0	5	0
14326	2885	142	23	37	0	0	1	0	0	0
9052	2225	253	8	10	0	0	0	0	1	0
2420	68	0	1	0	2	0	0	0	0	0
2278	187	159	0	4	0	0	0	0	0	0
15393	753	249	7	69	0	0	0	2	0	0
1727	690	58	67	19	544	0	0	0	0	0
3092	209	7	3	6	0	0	0	0	0	0
1506	1115	65	2	38	49	0	26	0	0	0
21005	1507	27	0	51	2	0	0	0	0	0
9129	813	339	3	16	1	0	0	0	1	0
10053	896	148	0	60	0	189	0	0	0	0
902	6747	1451	19	30	0	0	1	29	0	0
2225	363	29	2	59	18	0	0	1	0	0
6765	7096	176	5	89	0	0	0	0	0	0
3378	2453	78	8	28	0	0	2	0	0	0
170	2373	17	66	15	0	0	0	0	0	0
