"Bacteroidetes"	"Firmicutes"	"Proteobacteria"	"Actinobacteria"	"Unclassified_Bacteria"	"Verrucomicrobia"	"other"
3012	782	533	12	60	0	0
6619	4334	639	32	108	0	11
1691	449	11	2	18	68	1
0	1724	1161	705	113	0	0
500	1561	146	18	27	20	0
6102	1524	86	19	22	3	0
7745	6348	78	34	245	0	54
14308	1670	91	3	59	0	0
1317	3974	79	218	88	0	1
949	4193	106	45	234	30	0
1593	943	32	19	18	0	0
5019	1608	137	34	122	51	1
2888	1609	52	15	23	105	0
1881	1750	8	21	61	1	1
2513	253	1	4	7	0	0
1984	2485	79	85	192	0	0
8821	4545	128	104	51	0	1
2659	3475	265	9	45	0	6
14326	2885	142	23	37	0	1
9052	2225	253	8	10	0	1
2420	68	0	1	0	2	0
2278	187	159	0	4	0	0
15393	753	249	7	69	0	2
1727	690	58	67	19	544	0
3092	209	7	3	6	0	0
1506	1115	65	2	38	49	26
21005	1507	27	0	51	2	0
9129	813	339	3	16	1	1
10053	896	148	0	60	0	189
902	6747	1451	19	30	0	30
2225	363	29	2	59	18	1
6765	7096	176	5	89	0	0
3378	2453	78	8	28	0	2
170	2373	17	66	15	0	0
