".record.id","feature","l2fc"
"MG1.patient","Bacteroidetes",1.79712897596468
"MG10.patient","Bacteroidetes",0.427868133686449
"MG13.patient","Bacteroidetes",0.0632646562507226
"MG14.patient","Bacteroidetes",0.639678703842331
"MG16.patient","Bacteroidetes",0.433111635912258
"MG17.patient","Bacteroidetes",-2.45354792708165
"MG19.patient","Bacteroidetes",0.741356370618346
"MG2.patient","Bacteroidetes",-2.6380093733675
"MG21.patient","Bacteroidetes",0.25560375366146
"MG22.patient","Bacteroidetes",0.0448795391641664
"MG23.patient","Bacteroidetes",1.78433395477496
"MG25.patient","Bacteroidetes",0.118284304519748
"MG3.patient","Bacteroidetes",0.147118283748278
"MG4.patient","Bacteroidetes",0.178285470802286
"MG6.patient","Bacteroidetes",0.260078626954739
"MG8.patient","Bacteroidetes",0.453390717171052
"MG1.patient","Firmicutes",-2.6589328553177
"MG10.patient","Firmicutes",-2.69577853411778
"MG13.patient","Firmicutes",-0.787774343994014
"MG14.patient","Firmicutes",-1.33521406798008
"MG16.patient","Firmicutes",-0.358684096329595
"MG17.patient","Firmicutes",0.915287201085189
"MG19.patient","Firmicutes",-2.32043340586901
"MG2.patient","Firmicutes",0.707648690986685
"MG21.patient","Firmicutes",-1.536166291129
"MG22.patient","Firmicutes",-0.816627952392909
"MG23.patient","Firmicutes",-2.25836147818342
"MG25.patient","Firmicutes",-1.45746548139863
"MG3.patient","Firmicutes",-1.30699024617901
"MG4.patient","Firmicutes",-0.260843911265499
"MG6.patient","Firmicutes",-0.757064104492484
"MG8.patient","Firmicutes",-2.37707264170618
"MG1.patient","Proteobacteria",-1.30258243119987
"MG10.patient","Proteobacteria",-42.3076645362718
"MG13.patient","Proteobacteria",0.21261499500524
"MG14.patient","Proteobacteria",0.814579507800619
"MG16.patient","Proteobacteria",-1.64493444871264
"MG17.patient","Proteobacteria",1.53330880777094
"MG19.patient","Proteobacteria",-2.57757990397408
"MG2.patient","Proteobacteria",-1.34681877620667
"MG21.patient","Proteobacteria",0.743661979658233
"MG22.patient","Proteobacteria",-0.312992530334732
"MG23.patient","Proteobacteria",-2.57827263446245
"MG25.patient","Proteobacteria",2.44711629823206
"MG3.patient","Proteobacteria",-2.77040833808626
"MG4.patient","Proteobacteria",1.19166400629755
"MG6.patient","Proteobacteria",-1.1742800847193
"MG8.patient","Proteobacteria",-2.1516749720026
"MG1.patient","Actinobacteria",-7.68950268733465
"MG10.patient","Actinobacteria",-2.76451017046092
"MG13.patient","Actinobacteria",34.1556829922744
"MG14.patient","Actinobacteria",0.969167445842944
"MG16.patient","Actinobacteria",-0.0507762251972785
"MG17.patient","Actinobacteria",-0.396679602369154
"MG19.patient","Actinobacteria",-1.96989125424344
"MG2.patient","Actinobacteria",0.504372304966969
"MG21.patient","Actinobacteria",-4.06577461317098
"MG22.patient","Actinobacteria",4.91732609048464
"MG23.patient","Actinobacteria",-3.41730272854028
"MG25.patient","Actinobacteria",-36.6829727926163
"MG3.patient","Actinobacteria",-35.7917453388522
"MG4.patient","Actinobacteria",1.63754875501126
"MG6.patient","Actinobacteria",-1.84018404871397
"MG8.patient","Actinobacteria",-3.07451342241857
"MG1.patient","Unclassified_Bacteria",-2.08336924527249
"MG10.patient","Unclassified_Bacteria",-39.1600297910234
"MG13.patient","Unclassified_Bacteria",-0.33628318134617
"MG14.patient","Unclassified_Bacteria",-2.86270035240942
"MG16.patient","Unclassified_Bacteria",-0.565343088861611
"MG17.patient","Unclassified_Bacteria",-1.49258700852664
"MG19.patient","Unclassified_Bacteria",-2.70090038158292
"MG2.patient","Unclassified_Bacteria",-2.80825449928116
"MG21.patient","Unclassified_Bacteria",-3.49394427090637
"MG22.patient","Unclassified_Bacteria",-1.14861603611285
"MG23.patient","Unclassified_Bacteria",0.880281765397777
"MG25.patient","Unclassified_Bacteria",-0.898082713287915
"MG3.patient","Unclassified_Bacteria",0.0874074712401391
"MG4.patient","Unclassified_Bacteria",-1.28956026343662
"MG6.patient","Unclassified_Bacteria",0.713057578135639
"MG8.patient","Unclassified_Bacteria",-1.04651023750711
"MG1.patient","Verrucomicrobia",0
"MG10.patient","Verrucomicrobia",35.0736343490229
"MG13.patient","Verrucomicrobia",0
"MG14.patient","Verrucomicrobia",0
"MG16.patient","Verrucomicrobia",0
"MG17.patient","Verrucomicrobia",0
"MG19.patient","Verrucomicrobia",-33.4938938921455
"MG2.patient","Verrucomicrobia",0
"MG21.patient","Verrucomicrobia",-6.23569244860337
"MG22.patient","Verrucomicrobia",3.31687627527374
"MG23.patient","Verrucomicrobia",-0.399387858640136
"MG25.patient","Verrucomicrobia",-34.0200091869483
"MG3.patient","Verrucomicrobia",31.8926194354316
"MG4.patient","Verrucomicrobia",0
"MG6.patient","Verrucomicrobia",0.439820486457872
"MG8.patient","Verrucomicrobia",0
