"Bacteroidales"	"Clostridiales"	"Erysipelotrichales"	"Lactobacillales"	"Selenomonadales"	"Enterobacteriales"	"Burkholderiales"	"Unclassified_Bacteria"	"Bifidobacteriales"	"Verrucomicrobiales"	"Unclassified_Firmicutes"	"Rhizobiales"	"Unclassified_Alphaproteobacteria"	"Coriobacteriales"	"Pasteurellales"	"Desulfovibrionales"	"Spirochaetales"	"Unclassified_Bacteroidetes"	"Actinomycetales"	"TM7_order_incertae_sedis"	"Fusobacteriales"	"Unclassified_Proteobacteria"	"Unclassified_Bacilli"	"Campylobacterales"	"Bacillales"	"Unclassified_Clostridia"	"Pseudomonadales"	"Victivallales"	"Flavobacteriales"	"Aeromonadales"	"Unclassified_Actinobacteria"	"Caulobacterales"	"Chloroplast_order_incertae_sedis"	"Sphingomonadales"	"Unclassified_Gammaproteobacteria"	"Unclassified_Betaproteobacteria"
3012	732	4	1	0	2	512	60	3	0	45	5	0	9	2	1	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6619	3552	680	20	43	1	396	108	15	0	33	175	1	14	1	60	0	0	1	0	0	3	0	0	0	6	0	11	0	0	2	0	0	0	0	2
1691	374	30	0	32	2	9	18	0	68	13	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	1219	0	253	84	1141	0	113	704	0	167	1	0	0	16	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0
498	1424	115	2	2	1	0	27	16	20	18	0	144	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
6101	1456	16	0	24	0	17	22	17	3	28	68	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7742	3091	13	1104	2116	6	48	245	23	0	22	1	0	10	23	0	0	3	1	0	54	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
14308	455	25	1174	1	0	14	59	0	0	14	69	0	3	0	4	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0
1316	1846	1	1057	1044	10	10	88	195	0	23	24	2	19	22	10	0	1	4	1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0
948	4068	27	24	5	17	13	234	44	30	68	36	0	1	38	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
1591	753	22	8	156	1	27	18	3	0	1	0	0	16	2	0	0	2	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0
5010	1570	9	6	4	2	9	122	26	51	19	75	4	8	0	45	0	9	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2886	1402	36	10	115	25	4	23	1	105	43	19	0	14	0	0	0	2	0	0	0	0	0	2	2	1	2	0	0	0	0	0	0	0	0	0
1880	1694	33	11	2	0	6	61	20	1	9	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0
2513	245	4	0	2	0	0	7	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
