"Bacteroidales"	"Clostridiales"	"Erysipelotrichales"	"Lactobacillales"	"Selenomonadales"	"Enterobacteriales"	"Burkholderiales"	"Unclassified_Bacteria"	"Bifidobacteriales"	"Verrucomicrobiales"	"Unclassified_Firmicutes"	"Rhizobiales"	"other"
3012	732	4	1	0	2	512	60	3	0	45	5	23
6619	3552	680	20	43	1	396	108	15	0	33	175	101
1691	374	30	0	32	2	9	18	0	68	13	0	3
0	1219	0	253	84	1141	0	113	704	0	167	1	21
498	1424	115	2	2	1	0	27	16	20	18	0	149
6101	1456	16	0	24	0	17	22	17	3	28	68	4
7742	3091	13	1104	2116	6	48	245	23	0	22	1	93
14308	455	25	1174	1	0	14	59	0	0	14	69	12
1316	1846	1	1057	1044	10	10	88	195	0	23	24	63
948	4068	27	24	5	17	13	234	44	30	68	36	43
1591	753	22	8	156	1	27	18	3	0	1	0	25
5010	1570	9	6	4	2	9	122	26	51	19	75	69
2886	1402	36	10	115	25	4	23	1	105	43	19	23
1880	1694	33	11	2	0	6	61	20	1	9	0	6
2513	245	4	0	2	0	0	7	4	0	2	0	1
1984	2418	10	1	5	2	25	192	46	0	51	45	46
8820	4302	188	5	21	9	83	51	81	0	28	20	42
2656	3227	65	9	11	0	166	45	0	0	162	57	61
14321	2616	41	5	197	0	31	37	14	0	26	99	27
9051	1974	143	5	28	1	160	10	7	0	71	86	13
2420	63	0	4	0	0	0	0	0	2	0	0	2
2278	185	0	1	1	0	152	4	0	0	0	5	2
15389	714	24	3	5	0	220	69	1	0	5	13	30
1726	535	75	15	55	0	16	19	65	544	9	37	9
3092	173	20	11	1	0	6	6	1	0	2	1	4
1503	1052	21	1	34	1	6	38	1	49	4	54	37
20964	1423	17	2	45	0	1	51	0	2	19	26	42
9125	596	89	1	121	3	318	16	0	1	6	2	24
9960	774	52	1	47	17	113	60	0	0	22	6	294
902	5916	436	213	160	1342	1	30	11	0	18	11	139
2225	349	7	4	1	0	20	59	0	18	2	0	12
6763	6845	104	22	1	0	0	89	0	0	123	174	10
3378	2334	74	16	9	16	6	28	2	0	13	40	31
168	797	1023	503	0	9	3	15	27	0	35	2	59
