".record.id","feature","abundance.diff"
"MG1","Bacteroidales",0.569378616005444
"MG10","Bacteroidales",0.220986752292425
"MG13","Bacteroidales",0.0417626633376929
"MG14","Bacteroidales",0.257909277556865
"MG16","Bacteroidales",0.140784863439507
"MG17","Bacteroidales",-0.439300234355711
"MG19","Bacteroidales",0.326635929975245
"MG2","Bacteroidales",-0.33683695750447
"MG21","Bacteroidales",0.13040917944588
"MG22","Bacteroidales",0.0169233130236259
"MG23","Bacteroidales",0.53459211861034
"MG25","Bacteroidales",0.0618157089774176
"MG3","Bacteroidales",0.0794379928524392
"MG4","Bacteroidales",0.0667967912013111
"MG6","Bacteroidales",0.11535021261607
"MG8","Bacteroidales",0.224589823669331
"MG1","Clostridiales",-0.291495143930369
"MG10","Clostridiales",-0.1403545889822
"MG13","Clostridiales",-0.0248349806725359
"MG14","Clostridiales",-0.297109432501615
"MG16","Clostridiales",-0.0978337451173849
"MG17","Clostridiales",0.308573598555291
"MG19","Clostridiales",-0.352534544264622
"MG2","Clostridiales",-0.184853942009718
"MG21","Clostridiales",-0.165504839160709
"MG22","Clostridiales",-0.195806394197359
"MG23","Clostridiales",-0.462591460339557
"MG25","Clostridiales",-0.116302429564852
"MG3","Clostridiales",-0.0867192727980373
"MG4","Clostridiales",0.073645767682103
"MG6","Clostridiales",-0.128331561508668
"MG8","Clostridiales",-0.258035686802522
"MG1","Erysipelotrichales",0.00137366092889055
"MG10","Erysipelotrichales",-0.000909297442324504
"MG13","Erysipelotrichales",-0.00312616794124583
"MG14","Erysipelotrichales",0.00502206887549313
"MG16","Erysipelotrichales",0.00237962014646752
"MG17","Erysipelotrichales",-0.010392640553898
"MG19","Erysipelotrichales",-0.00742381912511324
"MG2","Erysipelotrichales",0.376195150001934
"MG21","Erysipelotrichales",0.00734811430745176
"MG22","Erysipelotrichales",0.0166549890298967
"MG23","Erysipelotrichales",-0.047999135410375
"MG25","Erysipelotrichales",-0.00206291756725915
"MG3","Erysipelotrichales",-0.00160194661439756
"MG4","Erysipelotrichales",0.00754889276956748
"MG6","Erysipelotrichales",0.00571989780614317
"MG8","Erysipelotrichales",-0.00774295013850885
"MG1","Lactobacillales",-0.112415544372212
"MG10","Lactobacillales",0.00137845573087787
"MG13","Lactobacillales",9.39794009412902e-05
"MG14","Lactobacillales",-0.00112392227038965
"MG16","Lactobacillales",0.00129702480403774
"MG17","Lactobacillales",0.0214999186238366
"MG19","Lactobacillales",-0.00295460220134667
"MG2","Lactobacillales",0.18911784914824
"MG21","Lactobacillales",-0.000763516561478729
"MG22","Lactobacillales",0.00447388374004451
