"Bacteroides"	"Prevotella"	"Unclassified_Lachnospiraceae"	"Alistipes"	"Faecalibacterium"	"Ruminococcus"	"Unclassified_Ruminococcaceae"	"Lachnospiracea_incertae_sedis"	"Blautia"	"Clostridium_XI"	"Unclassified_Clostridiales"	"Erysipelotrichaceae_incertae_sedis"	"Clostridium_IV"	"Parabacteroides"	"Unclassified_Bacteria"	"Megamonas"	"Escherichia_Shigella"	"Bifidobacterium"	"Sutterella"	"Akkermansia"	"Roseburia"	"Dorea"	"Clostridium_XlVa"	"Lactobacillus"	"Unclassified_Firmicutes"	"Unclassified_Bacteroidales"	"Unclassified_Lactobacillales"	"Streptococcus"	"Gemmiger"	"Enterococcus"	"Clostridium_sensu_stricto"	"Clostridium_XVIII"	"Phascolarctobacterium"	"Oscillibacter"	"Odoribacter"	"Klebsiella"	"Barnesiella"	"Unclassified_Prevotellaceae"	"Coprococcus"	"Flavonifractor"	"Catenibacterium"	"other"
2748	9	116	235	100	47	35	62	32	6	50	0	80	7	60	0	2	3	511	0	39	41	96	0	45	4	0	0	5	1	0	4	0	16	4	0	5	0	3	1	0	32
743	5212	887	307	681	36	263	376	317	29	202	56	35	156	108	0	0	15	238	0	174	330	109	16	33	39	0	3	175	0	1	4	0	53	116	0	0	36	5	3	597	388
962	37	25	556	9	18	22	11	6	92	18	0	16	68	18	0	1	0	9	68	6	10	2	0	13	1	0	0	0	0	63	4	31	7	39	1	27	0	7	19	0	74
0	0	352	0	0	0	0	0	739	0	0	0	0	0	113	0	623	704	0	0	17	0	0	0	167	0	0	46	0	207	110	0	0	0	0	338	0	0	0	0	0	287
483	0	423	0	55	42	43	236	66	28	213	4	67	13	27	0	1	16	0	20	52	36	118	0	18	0	0	1	0	0	1	101	0	8	0	0	0	0	3	28	0	169
579	5233	552	110	277	59	74	186	69	5	61	4	9	42	22	0	0	17	17	3	38	22	18	0	28	11	0	0	68	0	1	10	0	4	23	0	92	10	62	2	0	48
7603	4	1088	0	173	17	10	539	337	140	72	3	29	126	245	1952	6	23	0	0	192	454	23	0	22	9	0	1104	1	0	2	8	40	0	0	0	0	0	1	3	0	278
13891	4	177	4	25	2	17	11	67	0	42	7	1	1	59	0	0	0	0	0	43	13	17	10	14	408	0	1	69	1158	0	18	0	16	0	0	0	0	0	2	0	54
102	1123	296	59	601	59	117	136	56	236	59	0	96	12	88	743	10	195	10	0	23	31	37	1029	23	3	0	10	24	0	1	1	196	75	5	0	8	3	0	5	0	205
800	3	616	64	664	1017	154	540	323	76	230	8	135	75	234	0	0	44	0	30	63	68	46	0	68	6	0	2	35	21	14	19	0	33	0	0	0	0	7	18	0	144
1519	0	290	21	33	1	33	76	26	4	88	8	90	49	18	130	1	3	0	0	44	36	15	0	1	2	0	8	0	0	0	13	24	6	0	0	0	0	1	4	0	61
2264	15	268	2141	98	200	392	129	122	45	81	1	4	162	122	0	2	26	9	51	22	19	20	1	19	120	0	5	75	0	6	6	0	125	142	0	120	0	1	4	0	155
2152	10	109	545	99	115	253	41	20	50	95	4	395	107	23	0	22	1	0	105	28	21	24	0	43	8	0	7	19	0	29	27	115	71	0	1	62	0	26	7	0	58
