"name","statistic","pval","pval.adjusted","common.lang.eff.size","rank.biserial.corr.eff.size","r.eff.size","l2fc.patient.by.control","mean.control","mean.patient","l2fc.paired.median","median.paired.control","median.paired.patient"
"Lachnospiracea_incertae_sedis",0,3.0517578125e-05,0.001251220703125,0,-1,1.04239233083728,-1.92330371827281,0.033497244564111,0.00883155085489047,-2.08536593991401,0.0279963711384967,0.00347377508261954
"Ruminococcus",2,9.1552734375e-05,0.0018768310546875,0.0625,-0.875,0.977988248470767,-3.2899785955837,0.0566159889952612,0.00578837762142487,-3.15926097685343,0.0221875571982279,0.00260473233904357
"Bacteroides",127,0.001007080078125,0.0103225708007812,0.875,0.75,0.822135324922612,0.881884681966683,0.294165662270888,0.542082913480487,0.518220328280409,0.345151389881895,0.537146358008953
"Unclassified_Firmicutes",15,0.004180908203125,0.034283447265625,0.125,-0.75,0.716044911725815,-1.8669592857652,0.00850173132182734,0.00233075503054048,-1.87436975599784,0.00321014077691259,0.000791285100068378
"Unclassified_Lachnospiraceae",19,0.009185791015625,0.053802490234375,0.1875,-0.625,0.651265244505831,-1.15533493659387,0.0654412395230891,0.0293806260602259,-1.5796967480585,0.0537126018676697,0.0111418618737573
"Unclassified_Bacteria",18,0.00762939453125,0.0521341959635417,0.1875,-0.625,0.667011352848248,-1.61923676825198,0.0143945244513362,0.00468552742749968,-1.21908814977474,0.0105401809393453,0.00346293484414857
"Gemmiger",4,0.0008544921875,0.0103225708007812,0.1875,-0.625,0.891185813661157,-1.38864287544707,0.00597933671545512,0.00228365162280947,-2.24257358665958,0.00495631137263987,0.000712524073758287
"Unclassified_Ruminococcaceae",24,0.021392822265625,0.0877105712890625,0.1875,-0.625,0.575244731620866,-1.13700055362217,0.0338981324453342,0.0154136147683637,-2.26471969754593,0.0215012337273373,0.00693017688927815
"Blautia",26,0.02899169921875,0.108059969815341,0.1875,-0.625,0.545899844823249,-1.29591399559108,0.0288611991011135,0.0117545331840543,-1.21899663488376,0.0126241067865446,0.00364392835726108
"Clostridium_IV",28,0.03863525390625,0.132003784179688,0.25,-0.5,0.517012680156087,-1.49968703180389,0.0171167833757958,0.006053009753849,-2.38134386143537,0.0120743711323955,0.00185339566062318
"Coprococcus",14,0.013427734375,0.0622829861111111,0.25,-0.5,0.660728239413318,-3.22684556201341,0.00339920892065535,0.000363078516482289,-4.34446106034046,0.000347193074605468,0
"Unclassified_Clostridiales",33,0.07391357421875,0.216461181640625,0.1875,-0.625,0.446786995358712,-0.919137389089467,0.0190951768481995,0.0100980091679359,-1.38231308936291,0.0127922077353941,0.00653715731418561
"Bifidobacterium",34,0.083251953125,0.227555338541667,0.3125,-0.375,0.433030345207307,-2.72682131318701,0.0149984063149199,0.00226563584239754,-3.09919708072754,0.00143156257704501,0.000181091315287088
"Roseburia",35,0.09344482421875,0.239452362060547,0.3125,-0.375,0.419374904344806,-0.617695120870756,0.00932007564421078,0.00607399846264321,-0.807534357059591,0.00671920716644222,0.00318287506211163
"Flavonifractor",95,0.17535400390625,0.378395482113487,0.6875,0.375,0.338799875045673,0.582176099601,0.0015669791815447,0.0023459334907479,1.13482638349022,0.000697937590268858,0.00144036185172513
"Dorea",41,0.17535400390625,0.378395482113487,0.25,-0.5,0.338799875045673,-0.421464424955526,0.00856198078378593,0.00639294274270078,-2.06962519468591,0.00533972053574365,0.00103240504781437
"Oscillibacter",40,0.1590576171875,0.378395482113487,0.375,-0.25,0.35206202557238,-1.03116357220494,0.00446334075991523,0.00218398111785167,-2.21214301509521,0.00326238898588213,0.00111895011124257
"Unclassified_Bacteroidales",94,0.19281005859375,0.387195933948864,0.6875,0.375,0.325577775064703,1.87316455860266,0.00222869426954757,0.00816449289355719,0.797256905066056,0.00136747174667396,0.00239588389961503
"Barnesiella",4,0.013671875,0.0622829861111111,0.3125,-0.375,0.77974522185544,-0.769092888257069,0.00267871257973643,0.00157183186365403,-0.0662987389122547,0.000116849317971374,0
"Erysipelotrichaceae_incertae_sedis",82,0.22930908203125,0.391736348470052,0.59375,0.1875,0.310391352606689,4.57887401751017,0.0011319659880629,0.0270527739447861,2.08711537806861,0.000568745676357583,0.00109175603225663
"Prevotella",37,0.207763671875,0.387195933948864,0.40625,-0.1875,0.325263110711857,-0.995617262769001,0.131767326774365,0.0660841144985508,-1.39476504658542,0.00141001583121917,0.000309866970815004
"Faecalibacterium",50,0.375457763671875,0.592068011944111,0.4375,-0.125,0.221574130063501,-0.436182201284731,0.0402067396226731,0.0297163134923103,-0.306461334032693,0.0305260370161005,0.0165699413679108
"Clostridium_XlVa",53,0.4637451171875,0.679055350167411,0.375,-0.25,0.183173486514981,-0.68027896730525,0.00872624308588466,0.00544556482498729,-0.188055078492746,0.00485743349790142,0.00434381923500768
"Alistipes",67,0.979949951171875,0.979949951171875,0.4375,-0.125,0.00628291373135269,-0.171602945497829,0.0444158856723091,0.039434895346079,-1.36120942074374,0.024986099029536,0.0128582852203458
"Parabacteroides",81,0.528167724609375,0.721829223632813,0.5,0,0.157701368176004,0.784766919568378,0.00883896792097965,0.0152278973329954,0.00533103270492674,0.00660952595714561,0.00492493496053811
"Clostridium_XI",59,0.668548583984375,0.830620967980587,0.3125,-0.375,0.107035210242973,1.16773237036535,0.0093556064062116,0.0210181464111522,-1.65156373681799,0.00726521319830604,0.00166768153679507
"Enterococcus",32,0.0546875,0.172475961538462,0.6875,0.375,0.67930008077055,0.536448756856571,0.00334147120203187,0.00484646286643251,0,0,0
"Odoribacter",18,0.2060546875,0.387195933948864,0.28125,-0.4375,0.381257676828172,-0.375774169907976,0.00353095465162781,0.00272127757721136,-0.873077238220266,0.000544000322003582,0
"Clostridium_XVIII",64,0.860260009765625,0.904375907702324,0.4375,-0.125,0.0440107980696929,-0.568976637637796,0.00442285787490201,0.00298142541398814,-1.18265551001654,0.00112109760925979,0.00131522043270716
"Escherichia_Shigella",31,0.5693359375,0.752992691532258,0.3125,-0.375,0.16426474529464,-0.239230971656468,0.00985908551781444,0.00835258560426143,-1.75029452078206,0.000385347158692325,0
"Clostridium_sensu_stricto",59,0.71484375,0.862017463235294,0.4375,-0.125,0.0976461898487813,0.565809365715741,0.00312311886138084,0.00462289579483046,-0.582314871941991,0.000261370264005804,3.03526983362414e-05
"Streptococcus",44,0.625732421875,0.801719665527344,0.3125,-0.375,0.130354599248869,-0.96617305846706,0.0055273587177661,0.00282924514294586,-1.57742878503921,0.00034780608635569,7.52596744743303e-05
"Sutterella",42,0.83935546875,0.904375907702324,0.40625,-0.1875,0.0562238517129746,-0.508087386026459,0.0101017722067808,0.00710310161166184,-0.874559396659436,0.00158584049054501,7.66038926541711e-05
"Unclassified_Prevotellaceae",6,0.21875,0.389945652173913,0.34375,-0.3125,0.46484291780308,-0.432521145797109,0.00234600720106566,0.00173831109533912,0,0,0
"Akkermansia",20,0.84375,0.904375907702324,0.5,0,0.0696850495350836,1.94495179243772,0.0034467271931738,0.0132707583232008,0,0,0
"Megamonas",1,0.25,0.41,0.4375,-0.125,0.575174690188004,-2.29407169343921,0.0153238324036502,0.0031245177885412,0,0,0
"Phascolarctobacterium",15,0.9375,0.9609375,0.59375,0.1875,0.0296371062560528,-0.615803927885271,0.00410676961289847,0.00267993885994085,0,0,0
"Lactobacillus",9,0.84375,0.904375907702324,0.4375,-0.125,0.0804653642151458,-4.35934510179906,0.010111267386603,0.000492619907242588,0,0,0
"Klebsiella",11,0.4375,0.664351851851852,0.59375,0.1875,0.347226367427374,-3.3955707058725,0.00511006415283941,0.000485576563847805,0,0,0
"Unclassified_Lactobacillales",3,0.5,0.706896551724138,0.5625,0.125,0.47693627620447,45.2436485773917,0,0.0092498685399775,0,0,0
"Catenibacterium",2,0.75,0.878571428571429,0.46875,-0.0625,0.183966522559243,-2.93776020578647,0.00306798603588776,0.000400404948853568,0,0,0
