".record.id","feature","abundance.diff"
"MG1","Bacteroides",0.761733546342465
"MG10","Bacteroides",0.26600404147259
"MG13","Bacteroides",0.396743271565778
"MG14","Bacteroides",0.310675185158896
"MG16","Bacteroides",0.110742219669394
"MG17","Bacteroides",0.0177364936699794
"MG19","Bacteroides",0.418870337308189
"MG2","Bacteroides",0.0136361785037451
"MG21","Bacteroides",-0.0346465095346957
"MG22","Bacteroides",0.00730534836573138
"MG23","Bacteroides",0.49990468427734
"MG25","Bacteroides",0.445422520043613
"MG3","Bacteroides",0.0398410083167259
"MG4","Bacteroides",0.051535733902729
"MG6","Bacteroides",-0.0266764263565487
"MG8","Bacteroides",0.242986937165255
"MG1","Prevotella",-0.1962998566736
"MG10","Prevotella",-0.00204591809987083
"MG13","Prevotella",-0.382232506602376
"MG14","Prevotella",0.000118229947346393
"MG16","Prevotella",-0.000774113562567507
"MG17","Prevotella",-0.4223629582099
"MG19","Prevotella",0.000359971194529682
"MG2","Prevotella",-0.307062000470564
"MG21","Prevotella",0.434084090074779
"MG22","Prevotella",0
"MG23","Prevotella",0.000741564633553569
"MG25","Prevotella",-0.452418312115965
"MG3","Prevotella",7.53653076169475e-05
"MG4","Prevotella",-0.000275785986575753
"MG6","Prevotella",0.0143858204301183
"MG8","Prevotella",-0.000219780218010867
"MG1","Unclassified_Lachnospiraceae",-0.0411441778447505
"MG10","Unclassified_Lachnospiraceae",-0.0251622390474155
"MG13","Unclassified_Lachnospiraceae",-0.00627477952698794
"MG14","Unclassified_Lachnospiraceae",-0.00523589287839336
"MG16","Unclassified_Lachnospiraceae",-0.0522553342119674
"MG17","Unclassified_Lachnospiraceae",0.0236233473227656
"MG19","Unclassified_Lachnospiraceae",-0.0193208006333826
"MG2","Unclassified_Lachnospiraceae",0.00637134432179987
"MG21","Unclassified_Lachnospiraceae",-0.0365857111155071
"MG22","Unclassified_Lachnospiraceae",-0.0349839444905617
"MG23","Unclassified_Lachnospiraceae",-0.173997190065684
"MG25","Unclassified_Lachnospiraceae",-0.071110759955524
"MG3","Unclassified_Lachnospiraceae",-0.0327373597485653
"MG4","Unclassified_Lachnospiraceae",0.0361520909639431
"MG6","Unclassified_Lachnospiraceae",-0.0120684598938992
"MG8","Unclassified_Lachnospiraceae",-0.05758154359372
"MG1","Alistipes",-0.0101446562805222
"MG10","Alistipes",-0.0533958555055707
"MG13","Alistipes",0.0784446033651661
"MG14","Alistipes",-0.0543568946978584
"MG16","Alistipes",0.0770947546126226
