"feature","age.quant","mean","sd","median","incidence"
"Lachnospiracea_incertae_sedis","[3.18,6.27]",-0.0142234555331716,NA,-0.0142234555331716,0
"Lachnospiracea_incertae_sedis","(6.27,8.71]",-0.0549504233955861,0.0636807774155173,-0.0549504233955861,0
"Lachnospiracea_incertae_sedis","(8.71,15.3]",-0.0183156404345386,0.0111506138491015,-0.0161471464557837,0
"Lachnospiracea_incertae_sedis","(15.3,26.4]",-0.0187947435100676,0.0143688837744794,-0.0163262666012289,0
"Ruminococcus","[3.18,6.27]",-0.0776084958852747,NA,-0.0776084958852747,0
"Ruminococcus","(6.27,8.71]",-0.144482198054655,0.18447950473879,-0.144482198054655,0
"Ruminococcus","(8.71,15.3]",-0.0174654487672636,0.0112648008492633,-0.0160672353266106,0
"Ruminococcus","(15.3,26.4]",-0.0476342771317547,0.0889705395870376,-0.010268641152144,0.2
"Bacteroides","[3.18,6.27]",0.0136361785037451,NA,0.0136361785037451,1
"Bacteroides","(6.27,8.71]",0.459387510792765,0.0572999362509097,0.459387510792765,1
"Bacteroides","(8.71,15.3]",0.123971581671925,0.173805727692165,0.0456883711097275,0.75
"Bacteroides","(15.3,26.4]",0.319526143281303,0.289937894666078,0.310675185158896,1
"Unclassified_Firmicutes","[3.18,6.27]",0.00268241657850756,NA,0.00268241657850756,1
"Unclassified_Firmicutes","(6.27,8.71]",-0.00443917416153032,0.00387736847260615,-0.00443917416153032,0
"Unclassified_Firmicutes","(8.71,15.3]",-0.00263824887086634,0.00346093708274489,-0.00179554905496873,0.125
"Unclassified_Firmicutes","(15.3,26.4]",-0.00622347047024518,0.00936059786055137,-0.0025564776126954,0
"Unclassified_Lachnospiraceae","[3.18,6.27]",0.00637134432179987,NA,0.00637134432179987,1
"Unclassified_Lachnospiraceae","(6.27,8.71]",-0.0966589953495331,0.109372723857031,-0.0966589953495331,0
"Unclassified_Lachnospiraceae","(8.71,15.3]",-0.0292597408601562,0.0321674189534065,-0.0338606521195635,0.125
"Unclassified_Lachnospiraceae","(15.3,26.4]",-0.0162573674278667,0.030523774818901,-0.00627477952698794,0.2
"Unclassified_Bacteria","[3.18,6.27]",-0.0341026156119132,NA,-0.0341026156119132,0
"Unclassified_Bacteria","(6.27,8.71]",-0.00193660810354692,0.0168680311175278,-0.00193660810354692,0.5
"Unclassified_Bacteria","(8.71,15.3]",-0.00587343160548625,0.00691418275804542,-0.00468721769151585,0.25
"Unclassified_Bacteria","(15.3,26.4]",-0.00531240712526326,0.00418675533369635,-0.00543229224663215,0
"Gemmiger","[3.18,6.27]",-0.00856900083692963,NA,-0.00856900083692963,0
"Gemmiger","(6.27,8.71]",0,0,0,0
"Gemmiger","(8.71,15.3]",-0.00446778224495185,0.00364130413922291,-0.00429181776996575,0
"Gemmiger","(15.3,26.4]",-0.00409601106643884,0.00574480335748209,-0.00209875129045224,0.4
"Unclassified_Ruminococcaceae","[3.18,6.27]",-0.0654531353746236,NA,-0.0654531353746236,0
"Unclassified_Ruminococcaceae","(6.27,8.71]",-0.0106581400845941,0.00172814093074175,-0.0106581400845941,0
