"feature","age.quant","mean","sd","median","incidence"
"Lachnospiracea_incertae_sedis","[3.18,6.27]",-5.52373231972206,0.64196915521109,-5.52373231972206,0
"Lachnospiracea_incertae_sedis","(6.27,8.71]",-2.72815223994439,1.9569844721429,-2.87904553842537,0
"Lachnospiracea_incertae_sedis","(8.71,15.3]",-10.7488975840539,18.9826252956421,-1.48990436137924,0
"Lachnospiracea_incertae_sedis","(15.3,26.4]",-2.42381805060342,2.28737132868885,-1.16418260432976,0
"Ruminococcus","[3.18,6.27]",-3.87418733632524,0.632286831618075,-3.87418733632524,0
"Ruminococcus","(6.27,8.71]",-2.19917811339855,0.531814143897924,-2.14745826809975,0
"Ruminococcus","(8.71,15.3]",-12.5830071110805,17.5578771247064,-4.95777561702142,0
"Ruminococcus","(15.3,26.4]",-3.31704004585975,2.92454121106948,-3.38758628941376,0.166666666666667
"Bacteroides","[3.18,6.27]",1.65052931292283,1.62787799275826,1.65052931292283,1
"Bacteroides","(6.27,8.71]",0.767263277239694,0.806840281525527,0.620764090605866,1
"Bacteroides","(8.71,15.3]",0.268924685219326,0.353566290447811,0.279456348871679,0.75
"Bacteroides","(15.3,26.4]",2.40676071902602,3.25543649745745,0.625562969884016,0.833333333333333
"Unclassified_Firmicutes","[3.18,6.27]",-19.5044012371168,25.0853163132907,-19.5044012371168,0
"Unclassified_Firmicutes","(6.27,8.71]",-1.99380479619692,1.07176875507869,-1.86492012612028,0
"Unclassified_Firmicutes","(8.71,15.3]",-9.5141403454296,19.4994389855346,-0.166410854218886,0.5
"Unclassified_Firmicutes","(15.3,26.4]",-1.94422567960935,1.20725002310559,-2.22454088909032,0
"Unclassified_Lachnospiraceae","[3.18,6.27]",-22.4389767317923,27.0162573337703,-22.4389767317923,0
"Unclassified_Lachnospiraceae","(6.27,8.71]",-2.08291182881634,1.95267668343298,-2.42137894831417,0.25
"Unclassified_Lachnospiraceae","(8.71,15.3]",-1.61727915943721,1.97915435025981,-1.0870066047974,0.25
"Unclassified_Lachnospiraceae","(15.3,26.4]",-1.33142810121149,1.7386289941416,-0.797321724871301,0.166666666666667
"Unclassified_Bacteria","[3.18,6.27]",-0.972296475397513,0.104954108890125,-0.972296475397513,0
"Unclassified_Bacteria","(6.27,8.71]",-0.755692852095407,1.57650223067371,-0.601076396098242,0.5
"Unclassified_Bacteria","(8.71,15.3]",-10.6009606870705,19.0936335508242,-1.97843526769701,0.25
"Unclassified_Bacteria","(15.3,26.4]",-1.80570452455378,1.25221639282275,-1.78797812689956,0
"Gemmiger","[3.18,6.27]",-2.24257358665958,0.0543114292114345,-2.24257358665958,0
"Gemmiger","(6.27,8.71]",-8.45911360354776,15.4202246879072,-1.15223690719416,0
"Gemmiger","(8.71,15.3]",-19.3249024192851,19.8725018130173,-19.5987496938852,0
"Gemmiger","(15.3,26.4]",-1.69871572128197,2.45970332103228,-0.558682660282648,0.333333333333333
"Unclassified_Ruminococcaceae","[3.18,6.27]",-2.73904001060185,2.825370758214,-2.73904001060185,0
"Unclassified_Ruminococcaceae","(6.27,8.71]",0.812644791555919,2.57331932522015,0.238355901969225,0.5
"Unclassified_Ruminococcaceae","(8.71,15.3]",-3.11471114853119,0.936154562749486,-2.93132583018078,0
"Unclassified_Ruminococcaceae","(15.3,26.4]",-2.39350241754725,1.64289238014101,-2.65539031134616,0.166666666666667
"Blautia","[3.18,6.27]",-2.0559419470102,1.2816363651589,-2.0559419470102,0
"Blautia","(6.27,8.71]",-2.13632665091734,1.24522261017739,-1.67834311548109,0
"Blautia","(8.71,15.3]",-1.50538319539595,1.85663938754538,-0.944644130505784,0.25
"Blautia","(15.3,26.4]",-0.921191250365406,1.85319444150003,-0.647743887372484,0.333333333333333
"Clostridium_IV","[3.18,6.27]",-19.1039372084138,23.3359863466709,-19.1039372084138,0
"Clostridium_IV","(6.27,8.71]",-0.0600990164196991,3.27670771175318,-0.518901420304497,0.5
"Clostridium_IV","(8.71,15.3]",-21.0736430021612,21.042011947728,-21.2798773987036,0
"Clostridium_IV","(15.3,26.4]",-2.04396034146889,3.40734507131304,-1.76490693509933,0.333333333333333
"Coprococcus","[3.18,6.27]",-19.1946138339612,27.1452832085021,-19.1946138339612,0
"Coprococcus","(6.27,8.71]",-16.3996897536971,21.0923496462356,-16.1422478802281,0.5
"Coprococcus","(8.71,15.3]",-1.20295784221167,28.4709687580397,-2.36472560649981,0.25
"Coprococcus","(15.3,26.4]",-18.3895934387483,18.535025471839,-18.6777071249979,0
"Unclassified_Clostridiales","[3.18,6.27]",-2.10794781682139,0.956665882135511,-2.10794781682139,0
"Unclassified_Clostridiales","(6.27,8.71]",-1.7117712422458,3.20063646291243,-2.66772243206934,0.25
