"Bacteroides.Otu0001"	"Bacteroides.Otu2520"	"Prevotella.Otu1987"	"Bacteroides.Otu2654"	"Bacteroides.Otu0863"	"Bacteroides.Otu2038"	"Faecalibacterium.Otu0067"	"Alistipes.Otu2508"	"Ruminococcus.Otu1859"	"Bacteroides.Otu2065"	"Bacteroides.Otu0848"	"Prevotella.Otu1994"	"Bacteroides.Otu2431"	"Alistipes.Otu1466"	"Bacteroides.Otu2625"	"Erysipelotrichaceae_incertae_sedis.Otu0818"	"Blautia.Otu2475"	"Bacteroides.Otu0480"	"Bacteroides.Otu0929"	"Clostridium_XI.Otu1804"	"Bacteroides.Otu0069"	"Escherichia_Shigella.Otu2393"	"Bacteroides.Otu2765"	"Bacteroides.Otu0661"	"Bacteroides.Otu2481"	"Bacteroides.Otu1201"	"Bacteroides.Otu0006"	"Bacteroides.Otu2437"	"Akkermansia.Otu1935"	"Bacteroides.Otu1726"	"Faecalibacterium.Otu0751"	"Bifidobacterium.Otu1244"	"Prevotella.Otu1633"	"Dorea.Otu1142"	"Lactobacillus.Otu0959"	"Megamonas.Otu2657"	"Prevotella.Otu2602"	"Clostridium_XlVa.Otu0236"	"Ruminococcaceae.Otu1504"	"Sutterella.Otu0171"	"Lachnospiraceae.Otu2512"	"Lactobacillales.Otu0504"	"Bacteroides.Otu2104"	"Prevotella.Otu1803"	"Lachnospiraceae.Otu0220"	"Bacteroides.Otu1565"	"Enterococcus.Otu1019"	"Gemmiger.Otu0907"	"Clostridium_XI.Otu2681"	"Bacteroides.Otu2216"	"Megamonas.Otu1877"	"Ruminococcus.Otu0422"	"Parabacteroides.Otu1736"	"Lachnospiraceae.Otu2222"	"Sutterella.Otu1997"	"Clostridium_IV.Otu1864"	"Bacteroides.Otu0877"	"Lachnospiraceae.Otu0898"	"Phascolarctobacterium.Otu1814"	"Prevotella.Otu0634"	"Prevotella.Otu0738"	"Parabacteroides.Otu1378"	"Clostridiales.Otu1597"	"Lachnospiracea_incertae_sedis.Otu1152"	"Prevotella.Otu1319"	"Klebsiella.Otu1452"	"Lachnospiracea_incertae_sedis.Otu0113"	"Blautia.Otu2495"	"Roseburia.Otu1051"	"Bacteroidales.Otu1168"	"Alistipes.Otu0529"	"Bacteroides.Otu2375"	"Prevotella.Otu1563"	"Bacteroides.Otu2120"	"Lachnospiraceae.Otu2599"	"Parabacteroides.Otu1107"	"Streptococcus.Otu0749"	"Bacteroides.Otu1624"	"Bacteroides.Otu2534"	"Lachnospiraceae.Otu0272"	"Lachnospiracea_incertae_sedis.Otu1990"	"Prevotella.Otu0882"	"Bacteroides.Otu0786"	"Lachnospiraceae.Otu0875"	"Lachnospiracea_incertae_sedis.Otu0778"	"Ruminococcaceae.Otu0064"	"Bacteroides.Otu1411"	"Prevotella.Otu0773"	"Lachnospiracea_incertae_sedis.Otu2549"	"Roseburia.Otu2084"	"Coprococcus.Otu0802"	"Prevotella.Otu2666"	"Lachnospiracea_incertae_sedis.Otu2746"	"Catenibacterium.Otu2320"	"Lachnospiraceae.Otu0790"	"Bacteroides.Otu2460"	"Prevotellaceae.Otu2503"	"Ruminococcus.Otu1429"	"Lachnospiraceae.Otu0578"	"Blautia.Otu0591"	"Ruminococcaceae.Otu2510"	"Ruminococcus.Otu1027"	"Lachnospiraceae.Otu1734"	"Prevotella.Otu2501"	"Lachnospiraceae.Otu2612"	"Oscillibacter.Otu1518"	"Ruminococcaceae.Otu2507"	"Bacteroides.Otu1669"	"Bacteroides.Otu0752"	"Lachnospiracea_incertae_sedis.Otu0651"	"Bacteroides.Otu2343"	"Bacteroides.Otu0775"	"Bacteroides.Otu2383"	"Blautia.Otu0620"	"Prevotella.Otu2702"	"Prevotella.Otu2220"	"Ruminococcus.Otu1915"	"Ruminococcus.Otu2545"	"Prevotella.Otu2327"	"Roseburia.Otu2637"	"Bacteroides.Otu0801"	"Bacteroides.Otu2277"	"other"
68	585	0	22	18	0	61	195	0	151	26	0	209	0	289	0	13	0	20	5	9	2	18	22	0	17	4	42	0	0	5	0	0	28	0	0	0	82	0	454	15	0	12	0	8	458	1	5	0	27	0	0	1	9	33	0	77	2	0	9	0	1	0	3	0	0	36	14	9	1	31	4	0	2	6	0	0	128	0	2	2	0	0	5	0	0	1	0	3	23	3	0	6	0	0	23	0	0	0	0	0	32	2	0	6	10	1	10	15	2	0	21	4	1	0	0	2	1	0	4	0	0	983
184	70	2359	1	97	2	410	72	0	0	15	377	16	85	12	0	212	0	55	28	24	0	12	39	0	69	21	1	0	0	134	1	485	238	10	0	272	42	0	202	102	0	7	281	10	0	0	175	0	0	0	0	108	30	25	5	0	0	0	122	5	7	0	22	121	0	46	39	34	2	11	2	177	29	45	5	0	0	0	9	60	65	0	42	43	0	0	243	26	44	5	3	54	597	27	1	29	0	116	21	0	3	36	18	15	47	45	2	5	4	0	0	6	24	2	8	0	5	69	39	0	2	3073
48	33	0	0	537	1	2	486	0	0	20	0	39	44	0	0	2	42	6	70	4	1	7	3	0	78	6	11	66	0	0	0	1	10	0	0	0	1	0	9	0	0	3	0	0	0	0	0	21	0	0	0	30	0	0	6	1	1	31	36	0	31	0	6	0	1	0	4	0	0	18	1	0	0	1	0	0	0	0	0	1	0	3	4	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	3	5	0	0	0	0	0	0	0	1	0	0	493
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	712	0	0	0	0	623	0	0	0	0	0	0	0	0	0	667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	334	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	794
98	0	0	0	0	305	45	0	0	0	0	0	0	0	0	4	21	0	0	21	0	1	0	0	0	0	29	0	18	0	3	0	0	29	0	0	0	99	0	0	1	0	0	0	96	0	0	0	4	0	0	0	11	91	0	0	0	0	0	0	0	0	126	55	0	0	10	11	37	0	0	0	0	0	8	0	0	0	0	56	14	0	0	6	4	0	0	0	71	5	3	0	34	0	5	0	0	30	3	3	0	9	2	0	5	0	0	0	0	4	0	0	0	1	0	0	0	0	0	3	0	0	891
217	10	2278	1	21	21	160	102	24	0	6	673	21	0	0	0	44	15	13	4	29	0	10	7	1	19	33	17	3	0	74	2	17	12	0	0	475	7	0	0	112	0	2	355	42	6	0	65	1	0	0	0	37	53	16	5	0	0	0	245	10	1	5	14	284	0	31	4	5	0	7	9	153	89	6	0	0	0	0	8	24	227	0	12	17	0	2	9	15	10	62	1	13	0	107	0	1	3	6	12	12	11	8	10	16	3	1	1	1	5	0	3	1	5	0	10	6	3	104	8	0	0	1146
844	635	0	328	101	16	90	0	0	0	59	0	1025	0	24	3	179	1025	67	130	125	6	82	131	3	51	58	1336	0	0	42	5	0	338	0	304	0	10	0	0	10	0	43	0	107	58	0	1	9	0	1482	0	1	171	0	0	15	7	40	0	0	20	0	45	0	0	17	15	48	0	0	25	0	37	29	68	1092	5	1	263	95	0	133	2	22	0	124	0	53	38	1	0	114	0	19	5	0	0	156	21	0	15	29	0	0	0	6	45	50	6	89	115	14	83	0	0	0	0	0	81	0	337	2225
115	2642	0	6654	48	9	16	0	0	0	141	0	69	0	1696	7	33	0	72	0	8	0	38	68	0	144	7	0	0	0	4	0	0	13	0	0	0	13	0	0	0	0	20	0	0	3	1158	69	0	0	0	0	0	1	0	0	69	2	0	0	0	0	0	0	0	0	3	24	26	393	0	11	0	1	41	0	0	2	5	0	0	0	362	2	0	0	20	0	5	17	0	0	0	0	0	169	0	0	0	4	0	0	38	0	0	0	0	42	7	0	238	1	7	5	0	0	0	0	0	0	0	0	1589
25	7	773	4	3	1	377	52	1	22	0	0	0	0	0	0	32	0	0	208	7	10	0	1	0	0	1	10	0	0	116	16	29	24	1029	740	12	9	0	0	20	0	0	9	26	0	0	24	14	2	0	0	3	25	10	4	1	0	194	140	0	1	0	4	2	0	24	7	10	0	4	0	58	1	4	6	0	0	0	0	18	1	0	9	9	0	0	7	2	4	0	0	10	0	2	0	0	32	96	9	0	8	5	1	17	71	0	0	0	11	0	0	0	3	0	0	1	2	0	2	0	0	1255
524	0	0	0	0	35	450	0	563	0	0	0	3	3	0	7	103	0	6	59	84	0	0	3	0	0	10	0	11	0	77	0	3	53	0	0	0	33	0	0	99	0	0	0	65	0	21	35	16	0	0	228	64	57	0	117	6	25	0	0	0	2	0	134	0	0	120	159	15	0	5	17	0	1	32	2	0	0	0	39	27	0	0	8	32	0	3	0	13	23	7	0	9	0	1	2	0	4	0	47	0	146	14	0	20	5	6	0	10	0	0	1	0	8	0	0	5	17	0	3	0	0	1860
