"name","statistic","pval","pval.adjusted","common.lang.eff.size","rank.biserial.corr.eff.size","r.eff.size","l2fc.patient.by.control","mean.control","mean.patient","l2fc.paired.median","median.paired.control","median.paired.patient"
"Lachnospiracea_incertae_sedis.Otu0113",3,0.000152587890625,0.0046539306640625,0.0625,-0.875,0.946704861980343,-2.40222033846238,0.00462809684529004,0.000875511913559711,-3.4752051162977,0.00431448331956504,0.000476702128125282
"Lachnospiraceae.Otu2512",7,0.000579833984375,0.00785997178819444,0.125,-0.75,0.860219024359932,-3.83912663968549,0.0080882138255617,0.000565145596926461,-6.40053496358787,0.00610444835227053,0.000120867348556922
"Lachnospiraceae.Otu2222",0,6.103515625e-05,0.00372314453125,0.03125,-0.9375,1.03506063306318,-2.77631717083607,0.00617957790682241,0.000901994866628423,-34.2501047428102,0.00266929492772317,0
"Lachnospiracea_incertae_sedis.Otu2549",0,6.103515625e-05,0.00372314453125,0.03125,-0.9375,1.03506063306318,-2.93589205181455,0.00334584921284112,0.000437234872980535,-19.0345833817309,0.00181950719865613,0
"Lachnospiracea_incertae_sedis.Otu1990",14,0.00335693359375,0.0341288248697917,0.125,-0.75,0.733252435281608,-2.43271309814361,0.0035383689077412,0.000655365381418669,-36.0494315872607,0.00374403699587651,0
"Ruminococcus.Otu1027",0,0.0001220703125,0.0046539306640625,0.0625,-0.875,1.02679916634869,-6.80489042093523,0.00311966613464012,2.79017847874886e-05,-35.8384878226672,0.00136498526688258,0
"Lachnospiraceae.Otu0272",1,0.000244140625,0.00496419270833333,0.125,-0.75,0.980402240485241,-2.35969960285628,0.00352347252090068,0.000686484170887901,-2.68672508128841,0.000610531363506635,0
"Lachnospiracea_incertae_sedis.Otu2746",16,0.005157470703125,0.04840087890625,0.125,-0.75,0.699257558158955,-2.53676961839365,0.00306127790284943,0.000527544390470381,-36.171321948771,0.00219673808629013,0
"Gemmiger.Otu0907",4,0.0008544921875,0.0104248046875,0.1875,-0.625,0.891185813661157,-1.44575618182706,0.00559361080117108,0.00205341281516838,-2.13402537224969,0.00492759930180621,0.000712524073758287
"Ruminococcus.Otu2545",0,0.000244140625,0.00496419270833333,0.09375,-0.8125,1.01741148713778,-3.16022988589027,0.0020367788564034,0.00022783471039306,-32.5697157860403,0.000731027403052113,0
"Lachnospiraceae.Otu0220",24,0.021392822265625,0.12428211030506,0.1875,-0.625,0.575244731620866,-1.67501824787813,0.00619635023957275,0.00194046235456735,-4.85157087173562,0.00459761798017931,0.000153207784618458
"Blautia.Otu2495",16,0.01025390625,0.08935546875,0.21875,-0.5625,0.662834566564785,-2.13811510502391,0.00431031311324725,0.000979201429658789,-2.86594212750809,0.00209929319108081,0.00028455385615506
"Bacteroides.Otu2375",103,0.012451171875,0.094940185546875,0.78125,0.5625,0.64526297320241,1.35935043495899,0.00134325195934399,0.00344637664275774,1.71264064375957,0.000829158250653136,0.00310480419432329
"Ruminococcus.Otu1859",0,0.00048828125,0.0074462890625,0.125,-0.75,1.00664024660136,-3.93414558097782,0.032509425603219,0.00212673544373918,-4.59787118959468,0.00508854424365696,0
"Roseburia.Otu2637",17,0.012451171875,0.094940185546875,0.34375,-0.3125,0.64526297320241,-1.60478631732665,0.00168686557641384,0.000554615059204215,-18.8364837226077,0.000914049138895502,0
"Lachnospiraceae.Otu2612",18,0.01507568359375,0.100328947368421,0.28125,-0.4375,0.627566814476465,-1.98980024334624,0.00248707225271854,0.000626179497354665,-35.7908332944733,0.00186747561019285,0
"Bacteroides.Otu1201",108,0.03863525390625,0.204934825067935,0.75,0.5,0.517012680156087,1.40884150739491,0.00444158582907951,0.011793470137139,1.35924833210512,0.00288786428575953,0.00593010435649442
"Bacteroides.Otu0001",107,0.0443115234375,0.207923302283654,0.6875,0.375,0.502782982277313,1.26599674048551,0.049930163126601,0.120078700207506,0.748852264282053,0.0412282061064587,0.0969985975967135
"Ruminococcus.Otu1915",0,0.00048828125,0.0074462890625,0.125,-0.75,1.00664024660136,-3.40810912967361,0.00211937786510067,0.000199648162620943,-32.3857392183607,0.000697678088610652,0
"Blautia.Otu2475",30,0.0506591796875,0.213117928340517,0.125,-0.75,0.488588895764675,-1.49421115735326,0.0187554547270649,0.00665771530235767,-0.957938667549639,0.00616980709482844,0.00182802712684891
"Bacteroides.Otu0863",107,0.0443115234375,0.207923302283654,0.625,0.25,0.502782982277313,1.90258031789815,0.01045964409632,0.0391066533918452,2.03304707949391,0.00744405767466746,0.0138403370969067
"Lachnospiracea_incertae_sedis.Otu1152",29,0.0443115234375,0.207923302283654,0.3125,-0.375,0.502782982277313,-1.62865489839901,0.00455802958067153,0.00147401927406262,-34.8616884889382,0.00186936966191184,0
"Bacteroides.Otu2038",103,0.07391357421875,0.257601351351351,0.75,0.5,0.446786995358712,1.40685789583252,0.0127811204497743,0.0338902953715679,1.98510904205276,0.00241943180162303,0.0044145041146554
"Lachnospiraceae.Otu0578",0,0.0009765625,0.0108309659090909,0.15625,-0.6875,0.994141198992439,-2.22064782627492,0.00274275306997069,0.000588443953047209,-4.35731480699527,0.00112467919288707,0
"Blautia.Otu0591",23,0.03533935546875,0.195972789417614,0.21875,-0.5625,0.543366227840332,-0.67463448270861,0.00208978963076258,0.00130923423934046,-0.519565537606472,0.00135691312620187,0.000574289172783335
"Bacteroides.Otu0006",95,0.04791259765625,0.208762032645089,0.78125,0.5625,0.510754278697225,1.10230073520242,0.00508835747445499,0.010924541024904,1.14248156901346,0.00412682193061605,0.00726449597705659
"Lachnospiraceae.Otu0898",95,0.04791259765625,0.208762032645089,0.78125,0.5625,0.510754278697225,-1.96514580186143,0.00556746056278797,0.00142590081475982,17.9958095456194,0,0.00046666327717943
"Bacteroides.Otu0848",103,0.07391357421875,0.257601351351351,0.6875,0.375,0.446786995358712,1.25412519875642,0.0108879811725014,0.0259702819334885,0.899315746178892,0.001504164264868,0.00839871158352451
"Coprococcus.Otu0802",12,0.01708984375,0.104248046875,0.28125,-0.4375,0.66141594523857,-3.22345964485876,0.00339124053922031,0.000363078516482289,-2.36472560649981,0.000347193074605468,0
