"feature","mean","sd","median","incidence"
"Lachnospiracea_incertae_sedis.Otu0113",-0.0029815528183114,0.00221467472634973,-0.00327907996486564,0.0625
"Lachnospiraceae.Otu2512",-0.00742069334786033,0.00714930566015604,-0.00604997618765446,0.125
"Lachnospiraceae.Otu2222",-0.00540895820138128,0.00951578912695635,-0.0026148227631071,0
"Lachnospiracea_incertae_sedis.Otu2549",-0.00318063363994516,0.00757476184988643,-0.00126326699309889,0
"Lachnospiracea_incertae_sedis.Otu1990",-0.00302162978905938,0.00339039527600296,-0.00354892110260913,0.125
"Ruminococcus.Otu1027",-0.00183983841189087,0.00195436083326306,-0.00136498526688258,0
"Lachnospiraceae.Otu0272",-0.00283879006121365,0.00631042481369852,-0.000556059198890563,0.0625
"Lachnospiracea_incertae_sedis.Otu2746",-0.00281516961264468,0.00421756293332868,-0.00171880688158293,0.125
"Gemmiger.Otu0907",-0.00384575428711772,0.00423065554765381,-0.00296752950800371,0.125
"Ruminococcus.Otu2545",-0.00187234151336644,0.00381625456862161,-0.000442561965998224,0
"Lachnospiraceae.Otu0220",-0.00429938840996846,0.0111667908158314,-0.00303882026039121,0.1875
"Blautia.Otu2495",-0.00208185969213304,0.00421904393084278,-0.000977100877269776,0.1875
"Bacteroides.Otu2375",0.00212641817819007,0.00292734782162896,0.00129136601581543,0.75
"Ruminococcus.Otu1859",-0.0281250475759267,0.0538743833740809,-0.00508854424365696,0
"Roseburia.Otu2637",-0.00130936748861941,0.00210018297679293,-0.000741510438069951,0.3125
"Lachnospiraceae.Otu2612",-0.00194683575736593,0.00338991842464831,-0.00162948589205366,0.25
"Bacteroides.Otu1201",0.00679668607942458,0.0123858555581446,0.00315751184986097,0.75
"Bacteroides.Otu0001",0.0697920353867932,0.140929003847359,0.0264137617933222,0.6875
"Ruminococcus.Otu1915",-0.00212841656440362,0.00399508031056338,-0.000697678088610652,0
"Blautia.Otu2475",-0.00133934707712327,0.00717198435863209,-0.0027766181870096,0.125
"Bacteroides.Otu0863",0.0273395537834852,0.0511294071718708,0.00975543494952186,0.625
"Lachnospiracea_incertae_sedis.Otu1152",-0.002146801870972,0.00704031501108122,-0.00117138979227312,0.3125
"Bacteroides.Otu2038",0.0199051799146032,0.0462800090799762,0.0021699226126066,0.75
"Lachnospiraceae.Otu0578",-0.00249715325066982,0.00438208405000102,-0.00104700835538322,0
"Blautia.Otu0591",-9.12208705522252e-05,0.00176851878328012,-0.00030461830728226,0.1875
"Bacteroides.Otu0006",0.00531260956304264,0.0108113355534716,0.0035312744591394,0.75
"Lachnospiraceae.Otu0898",0.00107338880729449,0.00281399622610882,0.000437586054766508,0.75
"Bacteroides.Otu0848",0.0137213031144244,0.0339520970919346,0.00446226553207542,0.6875
"Coprococcus.Otu0802",-0.00337333758063944,0.00707317094887743,-0.000205066693722739,0.1875
