"feature","age.quant","mean","sd","median","incidence"
"Lachnospiracea_incertae_sedis.Otu0113","[3.18,6.27]",-0.00404539085286994,NA,-0.00404539085286994,0
"Lachnospiracea_incertae_sedis.Otu0113","(6.27,8.71]",-0.000266228313978947,0.00165309045358618,-0.000266228313978947,0.5
"Lachnospiracea_incertae_sedis.Otu0113","(8.71,15.3]",-0.00363263179606469,0.00242509615225483,-0.00383594723215692,0
"Lachnospiracea_incertae_sedis.Otu0113","(15.3,26.4]",-0.00281318864872743,0.00160161838696606,-0.00288316044501751,0
"Lachnospiraceae.Otu2512","[3.18,6.27]",-0.00110799505911595,NA,-0.00110799505911595,0
"Lachnospiraceae.Otu2512","(6.27,8.71]",0.000139900755777561,0.000820302678562472,0.000139900755777561,0.5
"Lachnospiraceae.Otu2512","(8.71,15.3]",-0.00988985837231815,0.00790828309497048,-0.0121729278073686,0.125
"Lachnospiraceae.Otu2512","(15.3,26.4]",-0.00775680660793184,0.00558378657885017,-0.00857697216943232,0
"Lachnospiraceae.Otu2222","[3.18,6.27]",-0.00613356048526096,NA,-0.00613356048526096,0
"Lachnospiraceae.Otu2222","(6.27,8.71]",-0.0200210578244339,0.0283140515083704,-0.0200210578244339,0
"Lachnospiraceae.Otu2222","(8.71,15.3]",-0.00347454084156018,0.0024144381138642,-0.002414898643958,0
"Lachnospiraceae.Otu2222","(15.3,26.4]",-0.00251426567109807,0.0020234623985918,-0.00244576633816902,0
"Lachnospiracea_incertae_sedis.Otu2549","[3.18,6.27]",-0.00166594889448903,NA,-0.00166594889448903,0
"Lachnospiracea_incertae_sedis.Otu2549","(6.27,8.71]",-0.0156224579854275,0.0220934919605954,-0.0156224579854275,0
"Lachnospiracea_incertae_sedis.Otu2549","(8.71,15.3]",-0.00141029092550192,0.000870068945010773,-0.00128280705180451,0
"Lachnospiracea_incertae_sedis.Otu2549","(15.3,26.4]",-0.00133938919395267,0.0018246685529903,-0.000352547145878754,0
"Lachnospiracea_incertae_sedis.Otu1990","[3.18,6.27]",-0.0076683186286644,NA,-0.0076683186286644,0
"Lachnospiracea_incertae_sedis.Otu1990","(6.27,8.71]",-0.00329847609002132,0.00352517394936873,-0.00329847609002132,0
"Lachnospiracea_incertae_sedis.Otu1990","(8.71,15.3]",-0.00329755569832088,0.00241479666406598,-0.00351076619061413,0.125
"Lachnospiracea_incertae_sedis.Otu1990","(15.3,26.4]",-0.0015400720459352,0.00463268274132974,-0.00317068343144885,0.2
"Ruminococcus.Otu1027","[3.18,6.27]",-0.00393781365731887,NA,-0.00393781365731887,0
"Ruminococcus.Otu1027","(6.27,8.71]",-0.00198062862295437,0.00280103186060641,-0.00198062862295437,0
"Ruminococcus.Otu1027","(8.71,15.3]",-0.00205628947370032,0.00222281120285814,-0.00136951618038554,0
"Ruminococcus.Otu1027","(15.3,26.4]",-0.00101760557948476,0.0012907943737971,-0.000309645451004784,0
"Lachnospiraceae.Otu0272","[3.18,6.27]",-0.00135111095394919,NA,-0.00135111095394919,0
"Lachnospiraceae.Otu0272","(6.27,8.71]",-0.0123226961660007,0.0174269240429611,-0.0123226961660007,0
