"feature","age.quant","mean","sd","median","incidence"
"Lachnospiracea_incertae_sedis.Otu0113","[3.18,6.27]",-37.1091106348905,0.396161603681112,-37.1091106348905,0
"Lachnospiracea_incertae_sedis.Otu0113","(6.27,8.71]",-9.46452688583152,17.5341767056171,-1.83054150980139,0.25
"Lachnospiracea_incertae_sedis.Otu0113","(8.71,15.3]",-19.0092039437134,19.4974410169432,-17.7121400244516,0
"Lachnospiracea_incertae_sedis.Otu0113","(15.3,26.4]",-8.19661424189119,14.4655489138342,-2.85924600812747,0
"Lachnospiraceae.Otu2512","[3.18,6.27]",-22.3303965712361,23.9171160379279,-22.3303965712361,0
"Lachnospiraceae.Otu2512","(6.27,8.71]",-1.25850223524559,28.434028433781,-2.87196254921462,0.5
"Lachnospiraceae.Otu2512","(8.71,15.3]",-27.8519154529727,17.9094303099736,-35.1601141128114,0
"Lachnospiraceae.Otu2512","(15.3,26.4]",-9.96413009494476,13.6016577196178,-6.19610444453289,0
"Lachnospiraceae.Otu2222","[3.18,6.27]",-37.5152060392324,0.916056707356486,-37.5152060392324,0
"Lachnospiraceae.Otu2222","(6.27,8.71]",-11.3490572343217,19.6366202386792,-2.34121155750084,0
"Lachnospiraceae.Otu2222","(8.71,15.3]",-27.7383981897381,17.8180125923193,-35.9525961266834,0
"Lachnospiraceae.Otu2222","(15.3,26.4]",-19.4297849862533,16.926464741231,-19.8108484517647,0
"Lachnospiracea_incertae_sedis.Otu2549","[3.18,6.27]",-35.1416974803174,1.69739418431306,-35.1416974803174,0
"Lachnospiracea_incertae_sedis.Otu2549","(6.27,8.71]",-11.4474126176338,19.3518969264296,-2.71687069495993,0
"Lachnospiracea_incertae_sedis.Otu2549","(8.71,15.3]",-27.1740588978916,17.6077725169075,-35.4991510632267,0
"Lachnospiracea_incertae_sedis.Otu2549","(15.3,26.4]",-12.6151511160915,17.0452680423779,-3.17454136481035,0
"Lachnospiracea_incertae_sedis.Otu1990","[3.18,6.27]",-37.4896894680371,0.664231428716756,-37.4896894680371,0
"Lachnospiracea_incertae_sedis.Otu1990","(6.27,8.71]",-20.6638445700864,18.4401215455573,-20.2494069374578,0
"Lachnospiracea_incertae_sedis.Otu1990","(8.71,15.3]",-27.4698987149931,18.4399347839032,-35.808514663568,0.25
"Lachnospiracea_incertae_sedis.Otu1990","(15.3,26.4]",-19.5766937304319,19.7413587220376,-21.4964348303872,0.166666666666667
"Ruminococcus.Otu1027","[3.18,6.27]",-36.2570035076009,0.512688691608778,-36.2570035076009,0
"Ruminococcus.Otu1027","(6.27,8.71]",-27.1517335492369,18.1207543083139,-35.6153081388985,0
"Ruminococcus.Otu1027","(8.71,15.3]",-27.7609002894486,18.2169406583123,-36.1360858938729,0
"Ruminococcus.Otu1027","(15.3,26.4]",-29.4217575791918,14.4887585558742,-34.7921394944341,0
"Lachnospiraceae.Otu0272","[3.18,6.27]",-35.8775078958227,0.625734954410437,-35.8775078958227,0
"Lachnospiraceae.Otu0272","(6.27,8.71]",-10.8728749591951,19.4513875107256,-1.7389471343786,0
"Lachnospiraceae.Otu0272","(8.71,15.3]",-17.673136418395,19.6761992073134,-17.6918690283917,0
"Lachnospiraceae.Otu0272","(15.3,26.4]",-11.8570586016062,16.4656812566407,-2.68672508128841,0.166666666666667
"Lachnospiracea_incertae_sedis.Otu2746","[3.18,6.27]",-36.6548011226405,0.734422822255716,-36.6548011226405,0
"Lachnospiracea_incertae_sedis.Otu2746","(6.27,8.71]",-29.3434022308884,17.026455519812,-37.0903386655527,0
"Lachnospiracea_incertae_sedis.Otu2746","(8.71,15.3]",-27.1507602265806,18.818503398619,-36.3712807792297,0.25
"Lachnospiracea_incertae_sedis.Otu2746","(15.3,26.4]",-24.4179431995208,19.3052373805939,-36.1276880544967,0.166666666666667
"Gemmiger.Otu0907","[3.18,6.27]",-2.13402537224969,0.00714291136490382,-2.13402537224969,0
"Gemmiger.Otu0907","(6.27,8.71]",-8.46959782469157,15.4146585481317,-1.17320534948177,0
