"Bacteroidetes"	"Firmicutes"	"Proteobacteria"	"Verrucomicrobia"	"Unclassified_Bacteria"	"other"
9052	2225	253	0	10	9
23519	2156	83	97	29	2
21005	1507	27	2	51	0
1691	449	11	68	18	3
170	2373	17	0	15	66
1980	343	54	0	36	4
487	1594	77	0	3	0
14308	1670	91	0	59	3
679	1732	0	0	0	0
2710	6043	61	0	19	6
1755	169	616	0	2	0
19160	291	5	0	4	2
1727	690	58	544	19	67
0	5207	1	0	0	0
3092	209	7	0	6	3
902	6747	1451	0	30	49
11164	2179	534	0	24	3
2242	753	63	0	6	0
2513	253	1	0	7	4
4775	1336	61	0	1	1
2420	68	0	2	0	1
15596	1314	1008	0	40	4
13556	3554	591	0	47	6
8681	1461	25	0	46	5
2225	363	29	18	59	3
3006	597	5	0	29	5
9129	813	339	1	16	4
11	3142	23	0	21	26
2278	187	159	0	4	0
9838	1517	326	0	34	15
1613	705	106	0	6	1
1497	847	51	7	14	8
8400	3277	229	22	1190	45
