"feature","Drug.Before.Diet","mean","sd","median","incidence"
"Unclassified_Bacteria","DrugBefore_NO",0.00220338219015788,0.00275707211284453,0.00226469112271544,0.75
"Unclassified_Bacteria","DrugBefore_YES",0.00188414494951844,0.00415284891027025,0.00129204455047575,0.6
"Firmicutes","DrugBefore_NO",0.102063383319668,0.56480417740359,0.197546708218067,0.5
"Firmicutes","DrugBefore_YES",-0.191539699816204,0.301906828694747,-0.0507613605069118,0.4
"Bacteroidetes","DrugBefore_NO",-0.157835453198947,0.61003227624059,-0.26710282153909,0.5
"Bacteroidetes","DrugBefore_YES",0.151974029780865,0.316284356756459,-0.0090364757005893,0.5
"Proteobacteria","DrugBefore_NO",0.0263568079338584,0.0864313699738326,-0.00978521400945643,0.25
"Proteobacteria","DrugBefore_YES",0.0207728115642319,0.071831072390893,-0.000825638328598427,0.5
"Verrucomicrobia","DrugBefore_NO",0.0068661743473359,0.0137323486946718,0,0.25
"Verrucomicrobia","DrugBefore_YES",0.0170755537441539,0.0552611100581014,0,0.2
