".record.id","feature","l2fc"
"SB11.before.diet","Bacteroidetes",0.255742277156873
"SB16.before.diet","Bacteroidetes",-0.0706334863581608
"SB18.before.diet","Bacteroidetes",1.83825867900291
"SB28.before.diet","Bacteroidetes",-0.0734484343324467
"SB29.before.diet","Bacteroidetes",1.54675035328652
"SB34.before.diet","Bacteroidetes",-0.0830206136651629
"SB36.before.diet","Bacteroidetes",0.0931905652212818
"SB39.before.diet","Bacteroidetes",-0.407015511305259
"SB4.before.diet","Bacteroidetes",-0.0640094654727713
"SB41.before.diet","Bacteroidetes",0.0273525286337732
"SB43.before.diet","Bacteroidetes",1.40286717310115
"SB44.before.diet","Bacteroidetes",7.78424908635444
"SB5.before.diet","Bacteroidetes",-2.97409837471706
"SB9.before.diet","Bacteroidetes",-3.4679469170973
"SB11.before.diet","Firmicutes",-0.783151709036243
"SB16.before.diet","Firmicutes",0.952451081288756
"SB18.before.diet","Firmicutes",-2.72489431380401
"SB28.before.diet","Firmicutes",-1.87302440909156
"SB29.before.diet","Firmicutes",-2.87599872545926
"SB34.before.diet","Firmicutes",0.570210799787939
"SB36.before.diet","Firmicutes",-1.1344553759643
"SB39.before.diet","Firmicutes",0.148535599222694
"SB4.before.diet","Firmicutes",2.0742933787388
"SB41.before.diet","Firmicutes",-0.319722101078232
"SB43.before.diet","Firmicutes",-3.01945124363893
"SB44.before.diet","Firmicutes",-2.40357855051677
"SB5.before.diet","Firmicutes",2.25699189693273
"SB9.before.diet","Firmicutes",1.9113705955702
"SB11.before.diet","Proteobacteria",-2.09900213406352
"SB16.before.diet","Proteobacteria",-1.32809743148888
"SB18.before.diet","Proteobacteria",-2.65875931691745
"SB28.before.diet","Proteobacteria",3.54523510830703
"SB29.before.diet","Proteobacteria",33.9163128951757
"SB34.before.diet","Proteobacteria",-0.343229206363107
"SB36.before.diet","Proteobacteria",0.655125318382128
"SB39.before.diet","Proteobacteria",-0.83337194864036
"SB4.before.diet","Proteobacteria",3.03813483021666
"SB41.before.diet","Proteobacteria",-1.42378974241138
"SB43.before.diet","Proteobacteria",2.25318593689016
"SB44.before.diet","Proteobacteria",-2.37794880350206
"SB5.before.diet","Proteobacteria",6.00772678960615
"SB9.before.diet","Proteobacteria",-0.618139806439403
"SB11.before.diet","Verrucomicrobia",3.3937793783174
"SB16.before.diet","Verrucomicrobia",0
"SB18.before.diet","Verrucomicrobia",0
"SB28.before.diet","Verrucomicrobia",0
"SB29.before.diet","Verrucomicrobia",0
"SB34.before.diet","Verrucomicrobia",0
"SB36.before.diet","Verrucomicrobia",0
"SB39.before.diet","Verrucomicrobia",42.835930084808
"SB4.before.diet","Verrucomicrobia",0
"SB41.before.diet","Verrucomicrobia",-5.40354940927737
"SB43.before.diet","Verrucomicrobia",32.0255069835664
"SB44.before.diet","Verrucomicrobia",0
"SB5.before.diet","Verrucomicrobia",0
"SB9.before.diet","Verrucomicrobia",0
"SB11.before.diet","Unclassified_Bacteria",0.476453540461591
"SB16.before.diet","Unclassified_Bacteria",2.74160337999414
"SB18.before.diet","Unclassified_Bacteria",1.39761289524813
"SB28.before.diet","Unclassified_Bacteria",-1.31550946058553
"SB29.before.diet","Unclassified_Bacteria",36.7236663216136
"SB34.before.diet","Unclassified_Bacteria",-1.74309783066666
"SB36.before.diet","Unclassified_Bacteria",-0.181499534857206
"SB39.before.diet","Unclassified_Bacteria",1.20881027237381
"SB4.before.diet","Unclassified_Bacteria",3.1376707821277
"SB41.before.diet","Unclassified_Bacteria",1.01080348146812
"SB43.before.diet","Unclassified_Bacteria",-0.46889636287526
"SB44.before.diet","Unclassified_Bacteria",0.289331801220093
"SB5.before.diet","Unclassified_Bacteria",-0.461965108843327
"SB9.before.diet","Unclassified_Bacteria",5.13200402670685
