"Bacteroidales"	"Clostridiales"	"Lactobacillales"	"Erysipelotrichales"	"Selenomonadales"	"Enterobacteriales"	"Burkholderiales"	"Verrucomicrobiales"	"Unclassified_Bacteria"	"Unclassified_Firmicutes"	"Rhizobiales"	"Bifidobacteriales"	"Pasteurellales"	"Unclassified_Bacilli"	"Coriobacteriales"	"Actinomycetales"	"Unclassified_Bacteroidetes"	"Unclassified_Proteobacteria"	"Desulfovibrionales"	"Bacillales"	"Campylobacterales"	"Fusobacteriales"	"Unclassified_Clostridia"	"Pseudomonadales"	"Unclassified_Alphaproteobacteria"	"Chloroplast_order_incertae_sedis"	"Flavobacteriales"	"TM7_order_incertae_sedis"	"Unclassified_Betaproteobacteria"	"Victivallales"	"Unclassified_Gammaproteobacteria"	"Unclassified_Actinobacteria"	"Caulobacterales"
9051	1974	5	143	28	1	160	0	10	71	86	7	3	0	1	0	1	0	0	0	3	0	4	0	0	0	0	0	0	1	0	0	0
23514	1792	17	141	197	50	0	97	29	7	10	0	20	1	1	0	5	0	0	1	0	0	0	2	0	0	0	1	0	0	1	0	0
20964	1423	2	17	45	0	1	2	51	19	26	0	0	0	0	0	41	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1691	374	0	30	32	2	9	68	18	13	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
168	797	503	1023	0	9	3	0	15	35	2	27	3	12	21	18	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
1978	251	3	68	1	36	18	0	36	19	0	1	0	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
487	1546	3	6	14	2	32	0	3	17	28	0	15	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
14308	455	1174	25	1	0	14	0	59	14	69	0	0	0	3	0	0	1	4	1	0	0	0	3	0	0	0	0	0	0	0	0	0
679	4	1713	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2710	5502	72	301	117	43	0	0	19	43	15	3	0	4	1	2	0	3	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0
1755	127	2	30	9	605	0	0	2	0	0	0	1	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
19160	217	69	5	0	0	0	0	4	0	2	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1726	535	15	75	55	0	16	544	19	9	37	65	1	0	2	0	0	0	2	1	2	0	0	0	0	0	1	0	0	0	0	0	0
0	0	5207	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3092	173	11	20	1	0	6	0	6	2	1	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
902	5916	213	436	160	1342	1	0	30	18	11	11	76	0	2	6	0	1	0	1	18	29	3	1	0	0	0	1	0	0	1	0	0
11164	2073	1	67	0	0	468	0	24	38	34	1	29	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
2242	651	0	30	71	62	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2513	245	0	4	2	0	0	0	7	2	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4749	741	22	6	312	3	38	0	1	156	1	0	15	99	1	0	26	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
2420	63	4	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
15596	1262	9	16	9	4	1004	0	40	14	0	4	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
13555	3411	5	48	82	0	355	0	47	7	216	5	2	0	0	0	1	13	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0
8680	1443	9	4	4	1	0	0	46	1	4	2	12	0	1	0	0	0	4	0	4	2	0	0	0	0	1	0	0	0	0	0	0
2225	349	4	7	1	0	20	18	59	2	0	0	0	0	1	1	0	0	7	0	0	1	0	2	0	0	0	0	0	0	0	0	0
3006	570	0	18	8	4	0	0	29	1	0	2	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
9125	596	1	89	121	3	318	1	16	6	2	0	0	0	0	3	4	9	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0
9	2865	26	4	228	1	0	0	21	18	0	25	18	0	1	0	2	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0
2278	185	1	0	1	0	152	0	4	0	5	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
9836	1463	1	35	2	2	143	0	34	13	180	15	1	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
1613	193	4	0	508	0	105	0	6	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1497	725	1	40	7	1	45	7	14	74	1	4	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8393	3110	19	83	31	0	216	22	1190	19	0	43	0	0	1	0	7	2	0	0	0	0	15	0	11	0	0	1	0	0	0	0	0
