"Bacteroidales"	"Clostridiales"	"Lactobacillales"	"Erysipelotrichales"	"Selenomonadales"	"Enterobacteriales"	"Burkholderiales"	"Verrucomicrobiales"	"Unclassified_Bacteria"	"Unclassified_Firmicutes"	"Rhizobiales"	"other"
9051	1974	5	143	28	1	160	0	10	71	86	20
23514	1792	17	141	197	50	0	97	29	7	10	32
20964	1423	2	17	45	0	1	2	51	19	26	42
1691	374	0	30	32	2	9	68	18	13	0	3
168	797	503	1023	0	9	3	0	15	35	2	86
1978	251	3	68	1	36	18	0	36	19	0	7
487	1546	3	6	14	2	32	0	3	17	28	23
14308	455	1174	25	1	0	14	0	59	14	69	12
679	4	1713	15	0	0	0	0	0	0	0	0
2710	5502	72	301	117	43	0	0	19	43	15	17
1755	127	2	30	9	605	0	0	2	0	0	12
19160	217	69	5	0	0	0	0	4	0	2	5
1726	535	15	75	55	0	16	544	19	9	37	74
0	0	5207	0	0	0	0	0	0	0	0	1
3092	173	11	20	1	0	6	0	6	2	1	5
902	5916	213	436	160	1342	1	0	30	18	11	150
11164	2073	1	67	0	0	468	0	24	38	34	35
2242	651	0	30	71	62	0	0	6	1	0	1
2513	245	0	4	2	0	0	0	7	2	0	5
4749	741	22	6	312	3	38	0	1	156	1	145
2420	63	4	0	0	0	0	2	0	0	0	2
15596	1262	9	16	9	4	1004	0	40	14	0	8
13555	3411	5	48	82	0	355	0	47	7	216	28
8680	1443	9	4	4	1	0	0	46	1	4	26
2225	349	4	7	1	0	20	18	59	2	0	12
3006	570	0	18	8	4	0	0	29	1	0	6
9125	596	1	89	121	3	318	1	16	6	2	24
9	2865	26	4	228	1	0	0	21	18	0	51
2278	185	1	0	1	0	152	0	4	0	5	2
9836	1463	1	35	2	2	143	0	34	13	180	21
1613	193	4	0	508	0	105	0	6	0	0	2
1497	725	1	40	7	1	45	7	14	74	1	12
8393	3110	19	83	31	0	216	22	1190	19	0	80
