"feature","Drug.Before.Diet","mean","sd","median","incidence"
"Unclassified_Bacteria","DrugBefore_NO",0.00220338219015788,0.00275707211284453,0.00226469112271544,0.75
"Unclassified_Bacteria","DrugBefore_YES",0.00188414494951844,0.00415284891027025,0.00129204455047575,0.6
"Erysipelotrichales","DrugBefore_NO",0.10501279130999,0.183002826006849,0.0229318697764373,0.5
"Erysipelotrichales","DrugBefore_YES",0.00298676285177389,0.0147795127773777,0.00285586526417826,0.6
"Clostridiales","DrugBefore_NO",-0.030535054500934,0.471599534484714,0.0245192722975183,0.5
"Clostridiales","DrugBefore_YES",-0.123324522641664,0.255925449060214,-0.0128638528030199,0.4
"Bacteroidales","DrugBefore_NO",-0.157172100294003,0.609322300622318,-0.265813408543683,0.5
"Bacteroidales","DrugBefore_YES",0.151806903324015,0.316501828200579,-0.00962983824689878,0.5
"Lactobacillales","DrugBefore_NO",0.0697495698292507,0.0829324865999137,0.0468245200399271,0.75
"Lactobacillales","DrugBefore_YES",-0.0671422365059827,0.208782861581436,3.97381260481009e-05,0.5
"Unclassified_Firmicutes","DrugBefore_NO",-0.010466947791259,0.0110994092639661,-0.00950557360835004,0.25
"Unclassified_Firmicutes","DrugBefore_YES",0.000386662377299227,0.00388215608154677,0.000586771784480913,0.6
"Selenomonadales","DrugBefore_NO",-0.00712331806490212,0.0306049526588622,0.00249049961305889,0.5
"Selenomonadales","DrugBefore_YES",-0.00785632258050876,0.0227779891209847,0.000107077745403811,0.5
"Enterobacteriales","DrugBefore_NO",0.0370165537935131,0.0723994235837136,0.00170110031582968,0.75
"Enterobacteriales","DrugBefore_YES",0.0224446701388006,0.0680490832727363,0,0.3
"Burkholderiales","DrugBefore_NO",-0.00834872367142309,0.00712452242993602,-0.00947919753445023,0.25
"Burkholderiales","DrugBefore_YES",-0.000472837785204915,0.0213552563278011,2.21317280380988e-05,0.5
"Rhizobiales","DrugBefore_NO",-0.00192235935029119,0.00453583032302317,9.13890209474666e-05,0.5
"Rhizobiales","DrugBefore_YES",-0.000923057724242984,0.00251884024870683,0,0.2
"Verrucomicrobiales","DrugBefore_NO",0.0068661743473359,0.0137323486946718,0,0.25
"Verrucomicrobiales","DrugBefore_YES",0.0170755537441539,0.0552611100581014,0,0.2
