".record.id","feature","l2fc"
"SB11.before.diet","Bacteroidales",0.255742277156873
"SB16.before.diet","Bacteroidales",-0.0718695477570763
"SB18.before.diet","Bacteroidales",1.83825867900291
"SB28.before.diet","Bacteroidales",-0.0734484343324467
"SB29.before.diet","Bacteroidales",1.54675035328652
"SB34.before.diet","Bacteroidales",-0.082910011235211
"SB36.before.diet","Bacteroidales",0.0931905652212818
"SB39.before.diet","Bacteroidales",-0.407688847011483
"SB4.before.diet","Bacteroidales",-0.0640094654727713
"SB41.before.diet","Bacteroidales",0.0252947385276863
"SB43.before.diet","Bacteroidales",1.40234200895104
"SB44.before.diet","Bacteroidales",8.07375477765696
"SB5.before.diet","Bacteroidales",-2.97395878828076
"SB9.before.diet","Bacteroidales",-3.47822239623947
"SB11.before.diet","Clostridiales",-0.826850263097792
"SB16.before.diet","Clostridiales",0.562307890485045
"SB18.before.diet","Clostridiales",-4.55997411196712
"SB28.before.diet","Clostridiales",-2.07829728241677
"SB29.before.diet","Clostridiales",5.73035875082155
"SB34.before.diet","Clostridiales",0.451395868352119
"SB36.before.diet","Clostridiales",-1.07854763918579
"SB39.before.diet","Clostridiales",-0.15540928978793
"SB4.before.diet","Clostridiales",2.2251625257586
"SB41.before.diet","Clostridiales",-0.13607718782465
"SB43.before.diet","Clostridiales",-3.3461499589768
"SB44.before.diet","Clostridiales",-2.36070800294527
"SB5.before.diet","Clostridiales",2.10759387819322
"SB9.before.diet","Clostridiales",1.31247144377198
"SB11.before.diet","Lactobacillales",-34.1129697859079
"SB16.before.diet","Lactobacillales",1.30869580855412
"SB18.before.diet","Lactobacillales",5.71091861069965
"SB28.before.diet","Lactobacillales",35.0443953464168
"SB29.before.diet","Lactobacillales",-44.7593941730151
"SB34.before.diet","Lactobacillales",2.34436312705874
"SB36.before.diet","Lactobacillales",2.40346277255914
"SB39.before.diet","Lactobacillales",4.10043583699327
"SB4.before.diet","Lactobacillales",-0.0963834019904777
"SB41.before.diet","Lactobacillales",-2.89110268092808
"SB43.before.diet","Lactobacillales",-6.39087842978597
"SB44.before.diet","Lactobacillales",-38.4023794080251
"SB5.before.diet","Lactobacillales",4.71935930108852
"SB9.before.diet","Lactobacillales",5.73149882096819
"SB11.before.diet","Erysipelotrichales",-0.301124190105678
"SB16.before.diet","Erysipelotrichales",4.98093138511548
"SB18.before.diet","Erysipelotrichales",-0.841169935016355
"SB28.before.diet","Erysipelotrichales",0.269441828774164
"SB29.before.diet","Erysipelotrichales",-2.1112967355818
"SB34.before.diet","Erysipelotrichales",2.05298867407018
"SB36.before.diet","Erysipelotrichales",-37.6590150505918
"SB39.before.diet","Erysipelotrichales",3.15919661746909
"SB4.before.diet","Erysipelotrichales",4.55270033237248
"SB41.before.diet","Erysipelotrichales",-2.85572145517127
"SB43.before.diet","Erysipelotrichales",-1.9785948532011
"SB44.before.diet","Erysipelotrichales",1.99359276453261
"SB5.before.diet","Erysipelotrichales",6.92234624954793
"SB9.before.diet","Erysipelotrichales",8.60450694190299
"SB11.before.diet","Selenomonadales",2.30648898205066
"SB16.before.diet","Selenomonadales",-0.276266362839701
"SB18.before.diet","Selenomonadales",-6.70740973093461
"SB28.before.diet","Selenomonadales",-2.71024377986224
"SB29.before.diet","Selenomonadales",34.9163128016595
"SB34.before.diet","Selenomonadales",3.82978859131758
"SB36.before.diet","Selenomonadales",33.9963942151716
"SB39.before.diet","Selenomonadales",1.93921633152144
"SB4.before.diet","Selenomonadales",33.6604804916894
"SB41.before.diet","Selenomonadales",-1.93382569321529
"SB43.before.diet","Selenomonadales",-0.172461904490513
"SB44.before.diet","Selenomonadales",-5.00801681441932
"SB5.before.diet","Selenomonadales",5.47655902797805
"SB9.before.diet","Selenomonadales",-41.0489427920127
"SB11.before.diet","Enterobacteriales",1.11389081572377
"SB16.before.diet","Enterobacteriales",6.0635302942458
"SB18.before.diet","Enterobacteriales",-35.2786602474448
"SB28.before.diet","Enterobacteriales",3.54279991294109
"SB29.before.diet","Enterobacteriales",0
"SB34.before.diet","Enterobacteriales",-0.977564918836249
"SB36.before.diet","Enterobacteriales",0
"SB39.before.diet","Enterobacteriales",0
"SB4.before.diet","Enterobacteriales",0
"SB41.before.diet","Enterobacteriales",-36.3401146714714
"SB43.before.diet","Enterobacteriales",-4.06226596424373
"SB44.before.diet","Enterobacteriales",1.82367299911251
"SB5.before.diet","Enterobacteriales",10.5397730224305
"SB9.before.diet","Enterobacteriales",2.81008094653571
"SB11.before.diet","Burkholderiales",-2.20795815313291
"SB16.before.diet","Burkholderiales",-2.90722288312371
"SB18.before.diet","Burkholderiales",-4.09265743874858
"SB28.before.diet","Burkholderiales",0
"SB29.before.diet","Burkholderiales",0
"SB34.before.diet","Burkholderiales",0.184481420364092
"SB36.before.diet","Burkholderiales",0.780494512714791
"SB39.before.diet","Burkholderiales",-1.95610654796649
"SB4.before.diet","Burkholderiales",36.2454422274305
"SB41.before.diet","Burkholderiales",30.8926194372067
"SB43.before.diet","Burkholderiales",40.3381609158557
"SB44.before.diet","Burkholderiales",0
"SB5.before.diet","Burkholderiales",32.1920225342472
"SB9.before.diet","Burkholderiales",-2.4378350329226
"SB11.before.diet","Verrucomicrobiales",3.3937793783174
"SB16.before.diet","Verrucomicrobiales",0
"SB18.before.diet","Verrucomicrobiales",0
"SB28.before.diet","Verrucomicrobiales",0
"SB29.before.diet","Verrucomicrobiales",0
"SB34.before.diet","Verrucomicrobiales",0
"SB36.before.diet","Verrucomicrobiales",0
"SB39.before.diet","Verrucomicrobiales",42.835930084808
"SB4.before.diet","Verrucomicrobiales",0
"SB41.before.diet","Verrucomicrobiales",-5.40354940927737
"SB43.before.diet","Verrucomicrobiales",32.0255069835664
"SB44.before.diet","Verrucomicrobiales",0
"SB5.before.diet","Verrucomicrobiales",0
"SB9.before.diet","Verrucomicrobiales",0
"SB11.before.diet","Unclassified_Bacteria",0.476453540461591
"SB16.before.diet","Unclassified_Bacteria",2.74160337999414
"SB18.before.diet","Unclassified_Bacteria",1.39761289524813
"SB28.before.diet","Unclassified_Bacteria",-1.31550946058553
"SB29.before.diet","Unclassified_Bacteria",36.7236663216136
"SB34.before.diet","Unclassified_Bacteria",-1.74309783066666
"SB36.before.diet","Unclassified_Bacteria",-0.181499534857206
"SB39.before.diet","Unclassified_Bacteria",1.20881027237381
"SB4.before.diet","Unclassified_Bacteria",3.1376707821277
"SB41.before.diet","Unclassified_Bacteria",1.01080348146812
"SB43.before.diet","Unclassified_Bacteria",-0.46889636287526
"SB44.before.diet","Unclassified_Bacteria",0.289331801220093
"SB5.before.diet","Unclassified_Bacteria",-0.461965108843327
"SB9.before.diet","Unclassified_Bacteria",5.13200402670685
"SB11.before.diet","Unclassified_Firmicutes",-2.39490676657197
"SB16.before.diet","Unclassified_Firmicutes",3.33421649856431
"SB18.before.diet","Unclassified_Firmicutes",-3.18015812045365
"SB28.before.diet","Unclassified_Firmicutes",-33.7749432027863
"SB29.before.diet","Unclassified_Firmicutes",34.9163128016595
"SB34.before.diet","Unclassified_Firmicutes",2.47173368495202
"SB36.before.diet","Unclassified_Firmicutes",-36.840857160852
"SB39.before.diet","Unclassified_Firmicutes",2.87804702535002
"SB4.before.diet","Unclassified_Firmicutes",34.6604804260741
"SB41.before.diet","Unclassified_Firmicutes",1.63693249701171
"SB43.before.diet","Unclassified_Firmicutes",-3.0622660254695
"SB44.before.diet","Unclassified_Firmicutes",-4.34624425369661
"SB5.before.diet","Unclassified_Firmicutes",4.32462802576662
"SB9.before.diet","Unclassified_Firmicutes",-0.930886772911106
"SB11.before.diet","Rhizobiales",-34.1129697859079
"SB16.before.diet","Rhizobiales",0
"SB18.before.diet","Rhizobiales",-1.59885940001105
"SB28.before.diet","Rhizobiales",0
"SB29.before.diet","Rhizobiales",0
"SB34.before.diet","Rhizobiales",-1.04310998324292
"SB36.before.diet","Rhizobiales",-0.362071372446181
"SB39.before.diet","Rhizobiales",-0.0299537601766042
"SB4.before.diet","Rhizobiales",1.55270903861296
"SB41.before.diet","Rhizobiales",1.57487139880859
"SB43.before.diet","Rhizobiales",-3.12785929253021
"SB44.before.diet","Rhizobiales",0
"SB5.before.diet","Rhizobiales",1.6141352570946
"SB9.before.diet","Rhizobiales",2.22512104970621
